split,regime_label,trade_count,net_pnl,no_cost_net_pnl,funding_adjusted_net_pnl,win_rate
oos_ext,broad_downtrend,311,-6.575328464999989,-5.514289999999988,-7.332629200129764,0.21864951768488747
oos_ext,broad_uptrend,170,-13.616431499999994,-12.841719999999995,-14.235767298505175,0.2823529411764706
oos_ext,funding_supportive,420,-11.447400029999995,-9.863939999999996,-13.178703811388964,0.2619047619047619
oos_ext,high_vol_chop,3,-0.0074055349999999995,-0.007009999999999999,-0.0076217016549615995,0.0
oos_ext,narrow_single_symbol_trend,7,-0.3518752250000042,-0.304910000000004,-0.3861550634306587,0.14285714285714285
oos_ext,neutral,113,-4.041354084999999,-3.597909999999999,-4.523044512461736,0.30973451327433627
train_ext,broad_downtrend,64,-1.0457328449999987,-0.9477699999999988,-1.0838056439941277,0.171875
train_ext,broad_uptrend,720,7.604191735000018,9.034670000000023,4.23294423506783,0.25
train_ext,compression,34,3.489980045000004,3.576210000000004,3.34437635899906,0.3235294117647059
train_ext,funding_overheated,18,-1.09384705,-1.05084,-1.4136453722606206,0.2777777777777778
train_ext,funding_supportive,315,1.2540317950000142,1.8248100000000143,0.5631345119044213,0.2984126984126984
train_ext,high_vol_chop,205,-11.397802224999998,-10.888169999999999,-11.95431629571599,0.17073170731707318
train_ext,missing_regime,6,-0.09501952999999941,-0.0860999999999994,-0.09824770005497019,0.0
train_ext,narrow_single_symbol_trend,60,-0.4644550250000007,-0.360270000000001,-0.6554743969889378,0.31666666666666665
train_ext,neutral,202,10.102777940000003,10.40558,9.260289635723229,0.4405940594059406
train_ext,trend_friendly,134,-3.1956711399999964,-2.9195799999999945,-3.9207405939676185,0.20149253731343283
train_ext,trend_hostile,10,-0.6490576300000009,-0.6153800000000009,-0.6588175368178397,0.0
validation_ext,broad_downtrend,392,-6.016937219999987,-4.906739999999985,-7.0815813877887255,0.22959183673469388
validation_ext,broad_uptrend,129,-25.18079067,-24.71452,-26.073502887602373,0.29457364341085274
validation_ext,compression,4,-0.10358836499999999,-0.09343000000000001,-0.10541416711285491,0.0
validation_ext,funding_overheated,2,0.0164305,0.029,-0.026540694597653,1.0
validation_ext,funding_supportive,342,-3.6269469299999977,-2.5618399999999983,-5.188771091099314,0.2807017543859649
validation_ext,high_vol_chop,100,0.40035753000000507,0.7770200000000049,0.021883530261826586,0.3
validation_ext,narrow_single_symbol_trend,38,18.619780130000013,18.743580000000016,17.74737575320976,0.5263157894736842
validation_ext,neutral,139,-5.140750129999992,-4.717159999999993,-5.558606390687287,0.31654676258992803
validation_ext,trend_friendly,11,1.4121910750000002,1.4241099999999998,1.338374033189099,0.36363636363636365
validation_ext,trend_hostile,2,0.3409380249999992,0.3545099999999992,0.334706823167353,1.0
