filter_name,policy_name,research_only,requires_pretrade_implementation_audit,not_tradable,filter_description,train_ext_trade_count,train_ext_no_cost_net_pnl,train_ext_net_pnl,train_ext_funding_adjusted_net_pnl,validation_ext_trade_count,validation_ext_no_cost_net_pnl,validation_ext_net_pnl,validation_ext_funding_adjusted_net_pnl,oos_ext_trade_count,oos_ext_no_cost_net_pnl,oos_ext_net_pnl,oos_ext_funding_adjusted_net_pnl,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,active_symbol_count,stable_candidate_like,funding_adjusted_gate_passed,min_split_trade_count_passed,strict_rejected_reasons
original_all,v3_1d_ema_50_200_atr5,True,True,True,All V3 extended trades.,69,3.0200400000000025,2.867048760000003,2.068762134791575,57,2.0247800000000047,1.8245112800000043,1.146581452320496,36,1.7021799999999978,1.5523690499999976,1.1777287236630674,0.34617725727010673,1.9817725334062826,5,False,True,True,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly,v3_1d_ema_50_200_atr5,True,True,True,Keep trades whose completed daily regime is trend_friendly.,5,0.9229800000000005,0.9120547500000004,0.7836098581539634,1,1.3124999999999998,1.3081157499999998,1.2418217015974389,0,0.0,0.0,,,,0,False,True,False,oos_no_cost_net_pnl_not_positive;train_ext_trade_count_under_10;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_1d_ema_50_200_atr5,True,True,True,"Drop trend_hostile, high_vol_chop, and funding_overheated trades.",65,3.494230000000002,3.351907315000003,2.5769384954815755,53,2.6990900000000044,2.5151490050000036,1.8454307667957794,36,1.7021799999999978,1.5523690499999976,1.1777287236630674,0.34617725727010673,1.9817725334062826,5,False,True,True,oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly_exclude_funding_overheated,v3_1d_ema_50_200_atr5,True,True,True,Keep trend_friendly trades and drop funding_overheated.,5,0.9229800000000005,0.9120547500000004,0.7836098581539634,1,1.3124999999999998,1.3081157499999998,1.2418217015974389,0,0.0,0.0,,,,0,False,True,False,oos_no_cost_net_pnl_not_positive;train_ext_trade_count_under_10;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_1d_ema_50_200_atr5,True,True,True,Drop funding_overheated trades only.,68,3.035430000000003,2.8847057150000026,2.1004941544025955,57,2.0247800000000047,1.8245112800000043,1.146581452320496,36,1.7021799999999978,1.5523690499999976,1.1777287236630674,0.34617725727010673,1.9817725334062826,5,False,True,True,oos_top_5pct_trade_pnl_contribution_over_0p8
original_all,v3_4h_donchian_100_30_atr5,True,True,True,All V3 extended trades.,71,0.9109900000000002,0.7840235650000006,0.21648400437096688,57,-4.498789999999999,-4.661865815,-5.0682796045260385,42,-5.799139999999998,-5.964576719999998,-6.295622282990852,1.0,-0.5841487994138841,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_4h_donchian_100_30_atr5,True,True,True,Keep trades whose completed daily regime is trend_friendly.,10,-0.7631600000000007,-0.7919831100000005,-0.8448727360936732,1,-0.0124199999999999,-0.0125781199999999,-0.0127175672822102,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_donchian_100_30_atr5,True,True,True,"Drop trend_hostile, high_vol_chop, and funding_overheated trades.",63,2.146490000000001,2.0375403550000004,1.4890330878653446,52,-4.484710000000001,-4.631616675000002,-4.993947461441886,42,-5.799139999999998,-5.964576719999998,-6.295622282990852,1.0,-0.5841487994138841,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_100_30_atr5,True,True,True,Keep trend_friendly trades and drop funding_overheated.,10,-0.7631600000000007,-0.7919831100000005,-0.8448727360936732,1,-0.0124199999999999,-0.0125781199999999,-0.0127175672822102,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_donchian_100_30_atr5,True,True,True,Drop funding_overheated trades only.,70,0.9489900000000004,0.8248645649999998,0.2600832523442201,57,-4.498789999999999,-4.661865815,-5.0682796045260385,42,-5.799139999999998,-5.964576719999998,-6.295622282990852,1.0,-0.5841487994138841,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
original_all,v3_4h_donchian_20_10_atr4,True,True,True,All V3 extended trades.,245,-1.683829999999995,-2.0837283249999965,-2.8362079229003303,152,-5.168019999999993,-5.648036489999992,-6.27330709782296,120,-6.612829999999996,-7.051841784999996,-7.464502732937506,1.0,-0.5664417072567662,5,False,False,True,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_4h_donchian_20_10_atr4,True,True,True,Keep trades whose completed daily regime is trend_friendly.,21,0.6990100000000002,0.6586127150000003,0.6084380756601612,0,0.0,0.0,,0,0.0,0.0,,,,0,False,True,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_donchian_20_10_atr4,True,True,True,"Drop trend_hostile, high_vol_chop, and funding_overheated trades.",212,1.5178500000000048,1.185184335000005,0.6576924914525093,139,-4.878609999999995,-5.313457144999993,-5.916098366559191,120,-6.612829999999996,-7.051841784999996,-7.464502732937506,1.0,-0.5664417072567662,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_20_10_atr4,True,True,True,Keep trend_friendly trades and drop funding_overheated.,21,0.6990100000000002,0.6586127150000003,0.6084380756601612,0,0.0,0.0,,0,0.0,0.0,,,,0,False,True,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_donchian_20_10_atr4,True,True,True,Drop funding_overheated trades only.,234,-0.2526799999999959,-0.6286979399999957,-1.2591473479786115,152,-5.168019999999993,-5.648036489999992,-6.27330709782296,120,-6.612829999999996,-7.051841784999996,-7.464502732937506,1.0,-0.5664417072567662,5,False,False,True,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
original_all,v3_4h_donchian_55_20_atr4,True,True,True,All V3 extended trades.,121,1.80319,1.6035465750000009,1.017826708795277,85,-6.00159,-6.265680145000001,-6.822860969851325,72,-7.884110000000002,-8.172770215000002,-8.553745426013075,1.0,-0.3994249947231632,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_4h_donchian_55_20_atr4,True,True,True,Keep trades whose completed daily regime is trend_friendly.,13,-0.8474400000000004,-0.8761305500000001,-0.9132959377209782,1,-0.01115,-0.011308755,-0.0113752378609454,0,0.0,0.0,,,,0,False,True,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_donchian_55_20_atr4,True,True,True,"Drop trend_hostile, high_vol_chop, and funding_overheated trades.",111,3.868340000000002,3.69134316,3.1260157980478365,77,-6.16051,-6.397880635000003,-6.881768058215897,71,-7.879340000000002,-8.167868360000005,-8.548735766766535,1.0,-0.39966470517406805,5,False,False,True,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
