split,policy_name,regime_label,trade_count,net_pnl,no_cost_net_pnl,funding_adjusted_net_pnl,win_rate
oos_ext,v3_1d_donchian_20_10_atr4,broad_downtrend,1,1.2032861749999988,1.211129999999999,1.1673528543977412,1.0
oos_ext,v3_1d_donchian_20_10_atr4,broad_uptrend,3,-1.4289939499999988,-1.4199599999999992,-1.472791271538321,0.3333333333333333
oos_ext,v3_1d_donchian_20_10_atr4,funding_supportive,8,-1.2065093449999988,-1.172169999999999,-1.4467035622625757,0.375
oos_ext,v3_1d_donchian_20_10_atr4,neutral,3,1.31309773,1.3252199999999998,1.183505177380113,0.6666666666666666
oos_ext,v3_1d_donchian_55_20_atr5,broad_downtrend,2,-2.2389184,-2.22884,-2.280365626800728,0.0
oos_ext,v3_1d_donchian_55_20_atr5,funding_supportive,2,-0.2593141199999993,-0.24469999999999925,-0.6030621294352854,0.5
oos_ext,v3_1d_donchian_55_20_atr5,neutral,4,1.3006994100000002,1.3079800000000001,1.2247321231885688,1.0
oos_ext,v3_1d_ema_50_200_atr5,broad_downtrend,4,0.4037144900000001,0.42034000000000016,0.2963026809578303,0.5
oos_ext,v3_1d_ema_50_200_atr5,broad_uptrend,4,0.10398895999999959,0.11311999999999961,0.08493784434655122,0.75
oos_ext,v3_1d_ema_50_200_atr5,funding_supportive,24,-0.4264887900000006,-0.32582000000000066,-0.6075798798841946,0.25
oos_ext,v3_1d_ema_50_200_atr5,neutral,4,1.4711543899999984,1.4945399999999984,1.4040680782428805,0.5
oos_ext,v3_4h_donchian_100_30_atr5,broad_downtrend,15,-0.11780517500000022,-0.05996999999999986,-0.23614659746709407,0.26666666666666666
oos_ext,v3_4h_donchian_100_30_atr5,broad_uptrend,9,-2.1969246149999986,-2.150509999999999,-2.297167166509283,0.1111111111111111
oos_ext,v3_4h_donchian_100_30_atr5,funding_supportive,14,-0.7204131699999988,-0.6750399999999986,-0.8204852257862555,0.42857142857142855
oos_ext,v3_4h_donchian_100_30_atr5,narrow_single_symbol_trend,1,-0.4418924800000006,-0.4349600000000006,-0.4446591016005758,0.0
oos_ext,v3_4h_donchian_100_30_atr5,neutral,3,-2.4875412799999994,-2.4786599999999996,-2.497164191627644,0.3333333333333333
oos_ext,v3_4h_donchian_20_10_atr4,broad_downtrend,41,-4.838489529999999,-4.706179999999998,-4.906324615215051,0.14634146341463414
oos_ext,v3_4h_donchian_20_10_atr4,broad_uptrend,17,-1.1209730499999975,-1.0585799999999974,-1.199477853454998,0.4117647058823529
oos_ext,v3_4h_donchian_20_10_atr4,funding_supportive,37,0.22665849999999937,0.3711799999999996,0.042947621669498955,0.4594594594594595
oos_ext,v3_4h_donchian_20_10_atr4,narrow_single_symbol_trend,2,1.0766309599999992,1.0863999999999994,1.0569887597483514,0.5
oos_ext,v3_4h_donchian_20_10_atr4,neutral,23,-2.395668664999999,-2.305650000000001,-2.458636645685307,0.30434782608695654
oos_ext,v3_4h_donchian_55_20_atr4,broad_downtrend,20,0.7613448249999987,0.8311499999999987,0.6572119103999969,0.4
oos_ext,v3_4h_donchian_55_20_atr4,broad_uptrend,13,-3.0534384949999995,-2.9799700000000002,-3.1748348755767326,0.3076923076923077
oos_ext,v3_4h_donchian_55_20_atr4,funding_supportive,25,-3.3945204350000004,-3.2962300000000004,-3.5144607533625103,0.4
oos_ext,v3_4h_donchian_55_20_atr4,high_vol_chop,1,-0.004901855,-0.00477,-0.0050096592465384,0.0
oos_ext,v3_4h_donchian_55_20_atr4,narrow_single_symbol_trend,1,-0.3030219500000011,-0.2960200000000011,-0.3056870132167471,0.0
oos_ext,v3_4h_donchian_55_20_atr4,neutral,12,-2.178232305,-2.1382700000000003,-2.2109650350105423,0.25
oos_ext,v3_4h_donchian_55_with_risk_filters,broad_downtrend,6,1.5028262800000003,1.5314200000000002,1.4452214406888901,0.3333333333333333
oos_ext,v3_4h_donchian_55_with_risk_filters,broad_uptrend,1,0.1795544149999999,0.1838299999999999,0.1739728677411519,1.0
oos_ext,v3_4h_donchian_55_with_risk_filters,funding_supportive,10,-0.42559700000000067,-0.3893800000000006,-0.4727328669554967,0.3
oos_ext,v3_4h_donchian_55_with_risk_filters,neutral,2,-0.08887535,-0.0859,-0.0907912311851834,0.0
oos_ext,v3_4h_ema_50_200_atr4,broad_downtrend,98,-0.256293269999995,0.07484000000000471,-0.35149262845120843,0.21428571428571427
oos_ext,v3_4h_ema_50_200_atr4,broad_uptrend,54,-2.6420965449999985,-2.384589999999999,-2.739977145521509,0.2222222222222222
oos_ext,v3_4h_ema_50_200_atr4,funding_supportive,136,-3.0983088399999974,-2.602319999999997,-3.2647272956830786,0.17647058823529413
oos_ext,v3_4h_ema_50_200_atr4,high_vol_chop,1,-0.00125184,-0.00112,-0.0013060212042116,0.0
oos_ext,v3_4h_ema_50_200_atr4,narrow_single_symbol_trend,1,-0.2875627950000006,-0.2784100000000006,-0.2914851005877863,0.0
oos_ext,v3_4h_ema_50_200_atr4,neutral,23,0.017076155000001682,0.12117000000000161,-0.01919989554173003,0.17391304347826086
oos_ext,v3_4h_vol_compression_donchian_breakout,broad_downtrend,23,-2.759173154999999,-2.6777099999999994,-2.7932089938176667,0.08695652173913043
oos_ext,v3_4h_vol_compression_donchian_breakout,broad_uptrend,12,-0.5674918950000002,-0.5304900000000002,-0.6015608573210507,0.5
oos_ext,v3_4h_vol_compression_donchian_breakout,funding_supportive,30,0.6220805049999995,0.7440299999999999,0.4726790195810023,0.4666666666666667
oos_ext,v3_4h_vol_compression_donchian_breakout,narrow_single_symbol_trend,1,-0.1445912050000005,-0.1375100000000005,-0.1472188670601171,0.0
oos_ext,v3_4h_vol_compression_donchian_breakout,neutral,13,-0.7406309949999997,-0.6980299999999997,-0.7655350776361629,0.5384615384615384
oos_ext,v3_ensemble_core,broad_downtrend,101,-0.23582070499999452,0.08953000000000505,-0.33117962482247626,0.21782178217821782
oos_ext,v3_ensemble_core,broad_uptrend,57,-2.8900563249999998,-2.6145700000000005,-3.008868840670984,0.22807017543859648
oos_ext,v3_ensemble_core,funding_supportive,134,-2.7649873349999985,-2.2734899999999985,-2.964578739270067,0.19402985074626866
oos_ext,v3_ensemble_core,high_vol_chop,1,-0.00125184,-0.00112,-0.0013060212042116,0.0
oos_ext,v3_ensemble_core,narrow_single_symbol_trend,1,-0.2514377550000006,-0.2444100000000006,-0.2540937407137837,0.0
oos_ext,v3_ensemble_core,neutral,26,-0.2524331749999989,-0.14030999999999927,-0.2930578145867294,0.19230769230769232
train_ext,v3_1d_donchian_20_10_atr4,broad_downtrend,3,-0.0868383849999999,-0.08442999999999991,-0.09517982256351301,0.3333333333333333
train_ext,v3_1d_donchian_20_10_atr4,broad_uptrend,14,1.6151044599999997,1.6389000000000002,1.1452034203130188,0.35714285714285715
train_ext,v3_1d_donchian_20_10_atr4,funding_supportive,6,-0.17612460999999976,-0.16197999999999982,-0.2325396429144022,0.5
train_ext,v3_1d_donchian_20_10_atr4,high_vol_chop,4,-0.4679560899999999,-0.46063999999999994,-0.49001135591480166,0.0
train_ext,v3_1d_donchian_20_10_atr4,narrow_single_symbol_trend,2,-0.0351554,-0.03442,-0.0361671300030343,0.0
train_ext,v3_1d_donchian_20_10_atr4,neutral,6,0.0810963299999999,0.08769999999999989,0.0016420376681797952,0.8333333333333334
train_ext,v3_1d_donchian_20_10_atr4,trend_friendly,9,-0.9197259899999992,-0.8977799999999986,-1.1034113206612228,0.3333333333333333
train_ext,v3_1d_donchian_55_20_atr5,broad_downtrend,1,-0.04910631,-0.0485,-0.0506154501062062,0.0
train_ext,v3_1d_donchian_55_20_atr5,broad_uptrend,6,-0.3344893899999999,-0.3216999999999999,-0.6566300369254467,0.16666666666666666
train_ext,v3_1d_donchian_55_20_atr5,funding_supportive,1,-0.00482602,-0.00472,-0.0057768078668727,0.0
train_ext,v3_1d_donchian_55_20_atr5,high_vol_chop,1,-0.0124348599999999,-0.0122399999999999,-0.0131840472807403,0.0
train_ext,v3_1d_donchian_55_20_atr5,narrow_single_symbol_trend,2,0.5309719650000002,0.5351700000000001,0.4545165709745948,0.5
train_ext,v3_1d_donchian_55_20_atr5,trend_friendly,8,-1.2600619599999991,-1.240639999999999,-1.4649361866171984,0.375
train_ext,v3_1d_ema_50_200_atr5,broad_downtrend,1,-0.0719435249999998,-0.0692099999999998,-0.0729248267978403,0.0
train_ext,v3_1d_ema_50_200_atr5,broad_uptrend,22,0.9935791300000009,1.038540000000001,0.6872798190179051,0.13636363636363635
train_ext,v3_1d_ema_50_200_atr5,compression,2,-0.5120704999999989,-0.5016399999999989,-0.5135536021265,0.0
train_ext,v3_1d_ema_50_200_atr5,funding_supportive,19,0.3253407350000011,0.37325000000000097,0.13252166732568832,0.2631578947368421
train_ext,v3_1d_ema_50_200_atr5,high_vol_chop,4,-0.4848585549999995,-0.47418999999999956,-0.5081763606900009,0.0
train_ext,v3_1d_ema_50_200_atr5,narrow_single_symbol_trend,4,-0.1465896200000003,-0.1397000000000003,-0.1581644382145106,0.5
train_ext,v3_1d_ema_50_200_atr5,neutral,12,1.8515363449999989,1.870009999999999,1.7181700181228696,0.6666666666666666
train_ext,v3_1d_ema_50_200_atr5,trend_friendly,5,0.9120547500000004,0.9229800000000005,0.7836098581539634,0.2
train_ext,v3_4h_donchian_100_30_atr5,broad_downtrend,4,-0.1175490849999999,-0.1124699999999999,-0.120766457983123,0.25
train_ext,v3_4h_donchian_100_30_atr5,broad_uptrend,21,0.750150815,0.7824300000000001,0.5544698962906227,0.38095238095238093
train_ext,v3_4h_donchian_100_30_atr5,funding_supportive,8,0.19893095500000013,0.21267000000000008,0.16785044967523072,0.625
train_ext,v3_4h_donchian_100_30_atr5,high_vol_chop,8,-1.2535167899999995,-1.2354999999999996,-1.2725490834943776,0.0
train_ext,v3_4h_donchian_100_30_atr5,narrow_single_symbol_trend,5,-0.20609040500000012,-0.20239,-0.2187459264293531,0.2
train_ext,v3_4h_donchian_100_30_atr5,neutral,15,2.2040811850000006,2.2294100000000006,1.95109786240564,0.5333333333333333
train_ext,v3_4h_donchian_100_30_atr5,trend_friendly,10,-0.7919831100000005,-0.7631600000000007,-0.8448727360936732,0.2
train_ext,v3_4h_donchian_20_10_atr4,broad_downtrend,8,-0.0847335200000002,-0.0736000000000002,-0.09120081895197779,0.375
train_ext,v3_4h_donchian_20_10_atr4,broad_uptrend,96,-2.4608775999999986,-2.304619999999998,-2.698214053213277,0.2604166666666667
train_ext,v3_4h_donchian_20_10_atr4,compression,4,0.7747813600000002,0.7821600000000002,0.7444782454427319,0.5
train_ext,v3_4h_donchian_20_10_atr4,funding_overheated,7,-1.2953866549999997,-1.2807499999999996,-1.4083875601709082,0.14285714285714285
train_ext,v3_4h_donchian_20_10_atr4,funding_supportive,47,0.6979496000000018,0.7613600000000019,0.5951223507611887,0.40425531914893614
train_ext,v3_4h_donchian_20_10_atr4,high_vol_chop,26,-1.973526005,-1.92093,-2.0855128541819328,0.2692307692307692
