datetime,split,number_of_symbols_above_ema50_1d,number_of_symbols_above_ema200_1d,ema50_ema200_breadth,average_ema_spread_pct,median_ema_spread_pct,strong_trend_symbol_count,trend_efficiency_mean,trend_efficiency_median,trend_efficiency_dispersion,average_pairwise_correlation_20d,average_pairwise_correlation_60d,return_dispersion_20d,return_dispersion_60d,market_breadth_return_20d,market_breadth_return_60d,average_atr_pct,median_atr_pct,atr_pct_dispersion,realized_volatility_mean,realized_volatility_dispersion,high_vol_symbol_count,low_vol_symbol_count,average_drawdown_from_60d_high,max_symbol_drawdown_from_60d_high,rebound_breadth,symbols_near_60d_high_count,average_funding_rate,median_funding_rate,funding_dispersion,positive_funding_symbol_count,negative_funding_symbol_count,extreme_positive_funding_count,extreme_negative_funding_count,funding_trend_7d,funding_trend_30d
2023-01-01 23:59:00+08:00,train_ext,0,0,0,0.0,0.0,0,,,,,,,,0,0,0.05747160084601386,0.017148981779206877,0.05912379173750656,,,0,0,0.0,0.0,0,5,-0.00011268765792304001,8.90466239659e-05,0.00045277864883111067,4,1,0,1,,
2023-01-02 23:59:00+08:00,train_ext,4,4,4,-0.00030553103291109393,0.0005186540076061711,0,,,,,,,,0,0,0.13382764111079393,0.026994871794871776,0.20041243482841964,,,0,0,-0.023898322741952294,-0.11949161370976147,0,4,-1.671343384309332e-05,4.4764153522966665e-05,0.00018744776391239353,4,1,0,0,,
2023-01-03 23:59:00+08:00,train_ext,5,5,4,0.000714257192976404,0.0006858430630882522,0,,,,,,,,0,0,0.12781371994424284,0.026446574369897054,0.18789387081709807,,,0,0,-0.00804241756303239,-0.0197513812154696,1,5,-5.7621239904459995e-05,-7.2220411712666655e-06,0.00022487497083924313,2,3,0,0,,
2023-01-04 23:59:00+08:00,train_ext,4,4,4,0.0013627653336001073,0.0017095166795843373,0,,,,,,,,0,0,0.1519785711682236,0.03241832199690969,0.23141388035261498,,,0,0,-0.02324157518132177,-0.11606975435964739,1,4,-0.0007625636754308533,-1.1003722033333258e-07,0.0016656094042032886,2,3,0,1,,
2023-01-05 23:59:00+08:00,train_ext,4,4,4,0.0015928726586196637,0.0022611751518119712,0,,,,,,,,0,0,0.16136461769105076,0.035574267807544815,0.2498032357609319,,,0,0,-0.035593655452003395,-0.15629101818863678,1,4,-0.0008429358218768734,-3.577603174866667e-06,0.0018293219355192472,2,3,0,1,,
2023-01-06 23:59:00+08:00,train_ext,5,5,5,0.0027748623191591695,0.0024531774606791662,0,,,,0.21325293078055757,0.21325293078055757,,,0,0,0.14298889250520644,0.03385232366124085,0.2144548251376426,0.04426977476012294,0.05772163979886607,0,0,-0.008561236061159615,-0.027529249827942248,2,5,-8.220719240124665e-05,5.714351908690001e-05,0.0004001895209451599,4,1,0,1,,
2023-01-07 23:59:00+08:00,train_ext,5,5,5,0.00426192674886592,0.004707663603956837,0,,,,0.17797059897415318,0.17797059897415318,,,0,0,0.13562958680525533,0.032865002947533896,0.2040519417469547,0.04107524436744153,0.05242078600799103,0,0,-0.00045576962916924477,-0.002278848145846224,2,5,1.2914938059026661e-05,0.00010583798943833332,0.00017823209364838493,4,1,0,0,,
2023-01-08 23:59:00+08:00,train_ext,5,5,5,0.006210506326088145,0.005647131758596523,0,,,,0.18056533920404175,0.18056533920404175,,,0,0,0.11999357493170495,0.03125534096735601,0.1775074191385576,0.03854782673729888,0.049537301236288536,0,0,0.0,0.0,2,5,-2.972605794809332e-05,5.006037581863333e-05,0.00025596586227798836,4,1,0,1,8.296159997494669e-05,
2023-01-09 23:59:00+08:00,train_ext,5,5,5,0.009764685057970176,0.008132240692669988,0,,,,0.5804427061877606,0.5804427061877606,,,0,0,0.1039761882083247,0.034877587761771155,0.13952865817281815,0.050155912827531034,0.061260868761422796,0,0,0.0,0.0,4,5,-9.051626117409999e-05,1.6372314815666667e-05,0.00023226370902656247,3,2,0,1,-7.380282733100666e-05,
2023-01-10 23:59:00+08:00,train_ext,4,4,5,0.014961841669056467,0.010519464582122232,0,,,,0.6525118293305292,0.6525118293305292,,,0,0,0.36555905380210585,0.05639138943248532,0.5678256304551991,0.07702332831762383,0.1119405903666766,0,0,-0.15736672172061117,-0.7168762796139222,3,4,0.00011045055880286665,0.00013578172533486665,8.471947501511843e-05,4,1,0,0,0.00016807179870732665,
2023-01-11 23:59:00+08:00,train_ext,4,4,5,0.011668329249130485,0.012289661162281642,0,,,,0.5722506349428497,0.5722506349428497,,,0,0,0.25781245605439884,0.05680638094431197,0.35841758105531724,0.08437475571572478,0.12726385957333347,0,0,-0.12960693817719593,-0.5449546651067563,4,4,-1.4308180960133321e-05,3.920084926466669e-06,0.00018428961711954063,3,2,0,0,0.00074825549447072,
2023-01-12 23:59:00+08:00,train_ext,5,5,5,0.013684743676956454,0.014197869851051308,0,,,,0.5942259578117126,0.5942259578117126,,,0,0,0.17617213133995538,0.0682724037528308,0.19888918245371978,0.09679461910747238,0.14600418992380362,0,0,-0.03750888703803612,-0.1751974261479965,5,4,1.0877123327126664e-05,-9.168933689533332e-06,6.207350153841121e-05,2,3,0,0,0.000853812945204,
2023-01-13 23:59:00+08:00,train_ext,5,5,5,0.017847860588305488,0.016834477640641988,0,,,,0.5434893768887298,0.5434893768887298,,,0,0,0.15479839446667837,0.06679139472122801,0.16334113895950733,0.09467109234486268,0.13890974621593913,0,0,-0.003556595495758974,-0.01778297747879487,5,5,4.206903730056e-05,8.755833419206666e-05,9.209877739425124e-05,4,1,0,0,0.00012427622970180666,
2023-01-14 23:59:00+08:00,train_ext,5,5,5,0.02283612472652798,0.02056447147921074,0,,,,0.6151323619746848,0.6151323619746848,,,0,0,0.1317041546142847,0.06820520406989167,0.11927948808610593,0.0959993696503074,0.13281234366516276,0,0,0.0,0.0,5,5,-2.9102127376000026e-06,2.2942940289266667e-05,0.0001019796398636872,3,2,0,0,-1.5825150796626662e-05,
2023-01-15 23:59:00+08:00,train_ext,5,5,5,0.02943448022661565,0.02525740746468894,0,,,,0.610819596372254,0.610819596372254,,,0,0,0.12915401028568113,0.06856460365549155,0.11305271571106174,0.09286701314345154,0.12816228350418643,0,0,-0.0025083419629502004,-0.012541709814751001,5,5,0.0004764754564777733,0.00046289299782419996,9.626762495990017e-05,5,0,1,0,0.0005062015144258667,
2023-01-16 23:59:00+08:00,train_ext,5,5,5,0.03637800570338037,0.029468471706882656,0,,,,0.6126075552745971,0.6126075552745971,,,0,0,0.13091623831914115,0.0722782094349138,0.10962165505105041,0.09160626532218834,0.1241723048199956,0,0,-0.023252169079780626,-0.04732868757259001,5,5,0.0002163477884366067,0.000219475003283,0.0001042043757930614,5,0,0,0,0.0003068640496107067,
2023-01-17 23:59:00+08:00,train_ext,5,5,5,0.042241562745395464,0.03281261495285036,0,,,,0.608595016422006,0.608595016422006,,,0,0,0.1269231448229952,0.0702768973147539,0.10255256096116602,0.08903726156907561,0.12072511997982398,0,0,-0.016045573592216054,-0.038027844897019936,5,5,0.00011935714782723334,0.0001440365980466,5.084899927435236e-05,5,0,0,0,8.906589024366689e-06,
2023-01-18 23:59:00+08:00,train_ext,5,5,5,0.049087215073398686,0.03589864816426462,0,,,,0.6089430888818093,0.6089430888818093,,,0,0,0.1310427174235262,0.0722093082015261,0.10427939288432325,0.0875766639343926,0.11803883171537195,0,0,-0.03525568125957457,-0.08122255994596417,5,3,-9.718982135773337e-06,1.9038894657733334e-05,0.00010992103212102621,3,2,0,0,4.589198824359984e-06,
2023-01-19 23:59:00+08:00,train_ext,5,5,5,0.05502567552563461,0.04036319681559484,0,,,,0.6200276339130714,0.6200276339130714,,,0,0,0.13364771037671921,0.0799190376236925,0.10202281448119649,0.08638990805353468,0.11494551964157315,0,0,-0.05746718404522442,-0.11009793988517391,5,2,9.495205408235332e-05,2.0854161801999998e-05,0.00012633236843368262,4,1,0,0,8.407493075522666e-05,
2023-01-20 23:59:00+08:00,train_ext,5,5,5,0.059006648640129264,0.04417351101341714,0,,,,0.6177577085675388,0.6177577085675388,,,0,0,0.12978035993643694,0.08191071866568554,0.09469322469569534,0.08424310999816245,0.11212240947724866,0,0,-0.043564767695402164,-0.09667342114150623,5,2,-2.8909811686566668e-05,5.728906013599999e-06,0.00013247897417512994,3,2,0,0,-7.097884898712666e-05,
2023-01-21 23:59:00+08:00,train_ext,5,5,5,0.05962543862858227,0.04672958398201331,4,0.5305864755667762,0.3953154875717018,0.21999968931695751,0.6256673561437855,0.6256673561437855,0.5325394352651447,,5,0,0.12113592692993588,0.08226683776959057,0.07748977840140747,0.08428376925102252,0.10842777264500968,0,0,-0.001461281785755375,-0.007306408928776875,5,5,0.00018249609502106,0.0001370909466428,0.00014005430123627954,5,0,0,0,0.00018540630775866002,
2023-01-22 23:59:00+08:00,train_ext,5,5,5,0.06593367654830151,0.05275778166562792,4,0.5085105922938944,0.39399293286219106,0.19530134367874719,0.631601414650447,0.6207109389792054,0.6699010517919097,,5,0,0.12254847441139756,0.08396405466068127,0.07596987184349152,0.08376535503511684,0.10714027640471697,0,0,-0.0065821174934758584,-0.012238108439938111,5,5,0.00010262656268388666,0.00011472341671646666,0.0001574289776251561,4,1,0,0,-0.00037384889379388664,
2023-01-23 23:59:00+08:00,train_ext,5,5,5,0.07225353425847651,0.05796955027012227,4,0.5173080556906756,0.43458980044345913,0.19865816563187436,0.6366852186526509,0.617969586212052,0.39275316126733406,,5,0,0.1179676242881957,0.08291877588959815,0.06853822261541154,0.08342108790005302,0.10693583924584966,0,0,-0.013029683946790849,-0.039882767634361715,5,5,0.00020047718753733336,0.00022438175882353328,5.763813213727635e-05,5,0,0,0,-1.5870600899273342e-05,
2023-01-24 23:59:00+08:00,train_ext,5,5,5,0.06914116221671571,0.06292756256480002,5,0.5406055485115873,0.4524208674290837,0.16745774646188255,0.6327549550114253,0.6024860342959404,1.0474743794877603,,5,0,0.08151031850405502,0.06778782361835406,0.035602595323149695,0.08517522231202426,0.11067006186807209,0,0,-0.003870838981519564,-0.016258583111229963,5,5,8.785209582868667e-05,0.00011521248663153332,7.453302142447976e-05,4,1,0,0,-3.150505199854667e-05,
2023-01-25 23:59:00+08:00,train_ext,5,5,5,0.077343933380584,0.06840645520375266,4,0.46233520479177903,0.42275986537242083,0.16450418419228424,0.6316605056519975,0.6052913937484263,1.0593407535355648,,5,0,0.08784767690457382,0.07538975964629109,0.04195885433733864,0.08628605213086174,0.11013510153493289,0,0,-0.03633712015346617,-0.062338734647538474,5,3,9.458979578482e-05,0.00011108559892496667,4.682759515379666e-05,5,0,0,0,0.00010430877792059333,
2023-01-26 23:59:00+08:00,train_ext,5,5,5,0.08725196913199369,0.07194822529616067,3,0.4572866876553888,0.4484700222765851,0.1762707630762306,0.6242970220242303,0.5955601242019383,0.57209660392497,,5,0,0.0922105507129553,0.07010374929155697,0.057995258992181824,0.0875255369254478,0.11288662364545411,0,0,-0.05781467857906717,-0.2176638953250648,5,4,-1.1460600084066673e-05,3.665276873883333e-05,0.00011443702079752444,3,2,0,0,-0.00010641265416641999,
