policy_name,month,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_1h_donchian_20_10_atr3,2026-01,15,6,9,-0.9715599999999991,-1.1091352899999989,-0.9715599999999991,0.13697529000000003,0.0006000000000000001,0.2,0.291784549031199,0.15232113333333394,-0.13050822416666674,-0.07394235266666659,-0.08342498500000088,1.1091352900002676,0.02218270580000535,-0.9999999999997577,-1.8580831194999703,1136.0,1020.0,-0.2986877957872944,0.3312851750000012,-0.37872991,0.1375752899999998
tf_1h_donchian_20_10_atr3,2026-02,16,6,10,0.49900999999999773,0.38801195499999785,0.49900999999999773,0.11035804500000002,0.00064,0.3125,1.315444361357404,0.3236121489999997,-0.11182261727272733,0.024250747187499866,-0.07379871500000058,1.162966779999806,0.02325251263965066,0.33363975796459344,0.3409406543842314,1841.25,1050.0,2.2223918461481555,0.8623146050000003,-0.2048852700000003,0.11099804499999988
tf_1h_donchian_20_10_atr3,2026-03,21,12,9,-1.6373299999999948,-1.7829761449999944,-1.6373299999999948,0.14480614500000002,0.00084,0.23809523809523808,0.15298636466997798,0.06440770899999995,-0.13156341812499964,-0.08490362595238068,-0.07568044,1.8873341950002214,0.037745896082382296,-0.9447061096669132,-3.2308088925247116,1536.4285714285713,1200.0,-0.13384189444665873,0.1342788549999997,-0.4057886650000003,0.1456461449999995
tf_1h_donchian_20_10_atr4,2026-01,13,5,8,-1.4585100000000006,-1.5776743050000008,-1.4585100000000006,0.118644305,0.0005200000000000001,0.15384615384615385,0.12446523708274297,0.11214038250000044,-0.1638140972727274,-0.12135956192307698,-0.08342498500000088,1.5776743050000732,0.031553486100001464,-0.9999999999999541,-2.5192240310879876,1435.3846153846155,1080.0,-0.11774164947181609,0.18575797500000116,-0.5085680500000006,0.11916430500000019
tf_1h_donchian_20_10_atr4,2026-02,16,6,10,0.4876499999999987,0.37663229499999873,0.4876499999999987,0.11037770500000002,0.00064,0.3125,1.3032598312839498,0.32371563299999995,-0.1129041700000001,0.02353951843749992,-0.07081301750000057,1.1771850200002518,0.02353679402327196,0.3199431598270917,0.32975946638856496,1901.25,1140.0,2.2895397353007216,0.8623146050000003,-0.2048852700000003,0.11101770499999997
tf_1h_donchian_20_10_atr4,2026-03,19,10,9,-1.3856099999999947,-1.5168165849999948,-1.3856099999999947,0.130446585,0.00076,0.2631578947368421,0.18527877307848364,0.06898897599999983,-0.13298296178571384,-0.079832451842105,-0.043541985,1.6211746349999885,0.032422815983629456,-0.9356281255905571,-2.4109130081908705,1843.421052631579,1260.0,-0.08852675816436972,0.1342788549999997,-0.4057886650000003,0.13120658500000015
tf_1h_donchian_20_10_atr5,2026-01,13,6,7,-1.5030800000000004,-1.6222220200000006,-1.5030800000000004,0.11862202000000001,0.0005200000000000001,0.15384615384615385,0.12146245693314822,0.11214038250000044,-0.16786388954545464,-0.12478630923076928,-0.08342498500000088,1.6222220199997537,0.03244444039999508,-1.000000000000152,-2.5827857526482503,1504.6153846153845,1080.0,-0.11450835502775451,0.18575797500000116,-0.5085680500000006,0.11914202000000018
tf_1h_donchian_20_10_atr5,2026-02,15,6,9,0.6757699999999984,0.5713982449999983,0.6757699999999984,0.10377175500000002,0.0006000000000000001,0.4666666666666667,1.5401845325757473,0.23274023857142842,-0.13222292812500008,0.038093216333333214,-0.053493840000000875,0.9849478449996241,0.019693178351366372,0.5801304585830291,0.5091895503384679,2112.0,1800.0,1.5091306502000246,0.8623146050000003,-0.2048852700000003,0.10437175500000018
tf_1h_donchian_20_10_atr5,2026-03,19,10,9,-1.391489999999995,-1.522693644999995,-1.391489999999995,0.13044364500000002,0.00076,0.2631578947368421,0.1846957403065993,0.06898897599999983,-0.13340275178571387,-0.08014177078947342,-0.043541985,1.6270516949998637,0.03254035473040408,-0.935860642706944,-2.4187297995194483,1846.578947368421,1320.0,-0.0881850761254081,0.1342788549999997,-0.4057886650000003,0.13120364500000004
tf_1h_donchian_55_20_atr3,2026-01,8,4,4,-0.8284599999999978,-0.9021462899999977,-0.8284599999999978,0.07336629000000001,0.00032,0.25,0.1301893975422011,0.06751463000000044,-0.1728625916666664,-0.11276828624999971,-0.08385938749999941,0.9021462900000188,0.018042925800000376,-0.9999999999999766,-2.1735228003375697,1552.5,1380.0,-0.096608982341435,0.08715543500000088,-0.37872991,0.07368628999999993
