policy_name,direction,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_1h_donchian_20_10_atr3,long,24,24,0,-1.961699999999993,-2.1423163299999928,-1.961699999999993,0.17965633,0.0009600000000000001,0.125,0.19141157155274197,0.16904526500000014,-0.12616438690476156,-0.08926318041666637,-0.1097207649999997,2.202506390000053,0.04404959753041739,-0.9726720157211172,-3.556055428285771,1395.0,1050.0,-0.21874127477710176,0.3312851750000012,-0.2562142900000003,0.18061632999999988
tf_1h_donchian_20_10_atr3,short,28,0,28,-0.14818000000000306,-0.3617831500000033,-0.14818000000000306,0.21248315,0.0011200000000000006,0.35714285714285715,0.839329601605076,0.18899268949999998,-0.12509500250000014,-0.012920826785714403,-0.051717260000000584,1.0201124349996462,0.02039956277407785,-0.35465026950693795,-0.2825029855847465,1617.3214285714287,1140.0,-4.055315304209128,0.8623146050000003,-0.4057886650000003,0.2136031500000002
tf_1h_donchian_20_10_atr4,long,21,21,0,-1.7642299999999929,-1.921178764999993,-1.7642299999999929,0.156108765,0.00084,0.19047619047619047,0.17049317618608037,0.0987176537500003,-0.13623819882352906,-0.09148470309523776,-0.10561449999999883,1.9211787650001497,0.03842357530000299,-0.9999999999999184,-3.286730474988492,1765.7142857142858,1260.0,-0.16964813006352514,0.18575797500000116,-0.3918925,0.1569487650000001
tf_1h_donchian_20_10_atr4,short,27,0,27,-0.592240000000004,-0.7966798300000034,-0.592240000000004,0.20335983,0.0010800000000000004,0.2962962962962963,0.6923556445272346,0.2241166493749998,-0.13629542236842118,-0.0295066603703705,-0.043541985,1.1936687999996138,0.023873375999992275,-0.667421172439341,-0.5821240095966359,1741.6666666666667,1140.0,-1.8415738540788635,0.8623146050000003,-0.5085680500000006,0.20443982999999943
tf_1h_donchian_20_10_atr5,long,22,22,0,-2.211369999999994,-2.377309954999994,-2.211369999999994,0.16505995500000004,0.00088,0.22727272727272727,0.1324937657532939,0.07261705700000018,-0.16119971999999969,-0.10805954340909064,-0.10837486499999913,2.3773099549998733,0.047546199099997466,-1.0000000000000508,-3.71664113127325,1761.8181818181818,1260.0,-0.12033110129301666,0.18575797500000116,-0.3918925,0.16593995500000025
tf_1h_donchian_20_10_atr5,short,25,0,25,-0.007430000000003316,-0.19620746500000324,-0.007430000000003316,0.187777465,0.0010000000000000002,0.36,0.903418845021493,0.2039246699999998,-0.12697059343750008,-0.00784829860000013,-0.02324750499999971,0.8484133199999633,0.016966053328135895,-0.23126400820771148,-0.1492276745435603,1902.6,1320.0,-7.477517458369771,0.8623146050000003,-0.5085680500000006,0.18877746499999992
tf_1h_donchian_55_20_atr3,long,12,12,0,-1.14595,-1.239223095,-1.14595,0.09279309500000002,0.00048,0.16666666666666666,0.07600179080221081,0.05096501999999957,-0.13411531349999992,-0.10326859125,-0.10881737249999927,1.239223094999943,0.024784461899998857,-1.000000000000046,-4.223652086902521,1885.0,1710.0,-0.043621051946259225,0.05405621499999913,-0.2562142900000003,0.09327309500000003
tf_1h_donchian_55_20_atr3,short,16,0,16,-0.1718700000000013,-0.29140956500000126,-0.1718700000000013,0.11889956500000001,0.00064,0.3125,0.8143447615534071,0.2556435839999998,-0.14269340772727274,-0.01821309781250008,-0.058263022500000004,0.9260871800006498,0.018519392831198325,-0.31466752946498705,-0.2858997726395689,2107.5,1800.0,-2.6615392154337703,0.7755979849999997,-0.37872991,0.11953956499999996
tf_1h_donchian_55_20_atr4,long,12,12,0,-1.4829499999999989,-1.576054594999999,-1.4829499999999989,0.092624595,0.00048,0.08333333333333333,0.03484173811412493,0.056894795000000005,-0.14844994454545443,-0.13133788291666657,-0.13865853250000001,1.5760545949997322,0.03152109189999465,-1.0000000000001692,-5.592214712855368,2155.0,1980.0,-0.03609950770772636,0.056894795000000005,-0.2569139400000003,0.09310459500000001
tf_1h_donchian_55_20_atr4,short,16,0,16,-0.5665200000000012,-0.6861462600000012,-0.5665200000000012,0.11898626000000001,0.00064,0.25,0.6290335261554924,0.29086792999999983,-0.15413483166666672,-0.04288414125000008,-0.08313158500000045,1.3265067149995957,0.02652673696532136,-0.5172580374010473,-0.6589892374715113,2223.75,2010.0,-1.1303683051482323,0.7755979849999997,-0.37872991,0.11962625999999998
tf_1h_donchian_55_20_atr5,long,11,11,0,-1.4469900000000013,-1.5307650250000011,-1.4469900000000013,0.08333502500000001,0.00044,0.18181818181818182,0.025472200478724383,0.02000556249999942,-0.17453068333333333,-0.13916045681818193,-0.14237940500000001,1.5704130750000331,0.031408012446711084,-0.9747531075541821,-4.736142611206944,2536.3636363636365,2280.0,-0.025900807343046915,0.03964804999999942,-0.2642724149999997,0.08377502499999978
tf_1h_donchian_55_20_atr5,short,14,0,14,0.23888000000000034,0.1333492300000004,0.23888000000000034,0.10497077,0.0005600000000000001,0.21428571428571427,1.0808257242460089,0.5943952433333334,-0.14998513636363636,0.00952494500000003,-0.10594798750000001,1.0810924300003535,0.021616598180531486,0.1233467428866899,0.0747548561711462,2648.5714285714284,2130.0,12.54095074264767,1.672326125,-0.37872991,0.10553076999999994
tf_1h_donchian_55_with_risk_filters_atr3,short,2,0,2,-0.39601999999999976,-0.4141999399999997,-0.39601999999999976,0.018099940000000002,8e-05,0.0,0.0,,-0.20709996999999986,-0.20709996999999986,-0.20709996999999986,0.41419993999988947,0.00828399879999779,-1.0000000000002662,-1.7064830666552742,1260.0,1260.0,0.08563504379068652,-0.03547002999999971,-0.37872991,0.01817993999999995
tf_1h_donchian_55_with_risk_filters_atr4,short,2,0,2,-0.39601999999999976,-0.4141999399999997,-0.39601999999999976,0.018099940000000002,8e-05,0.0,0.0,,-0.20709996999999986,-0.20709996999999986,-0.20709996999999986,0.41419993999988947,0.00828399879999779,-1.0000000000002662,-1.7064830666552742,1260.0,1260.0,0.08563504379068652,-0.03547002999999971,-0.37872991,0.01817993999999995
tf_1h_donchian_55_with_risk_filters_atr5,short,2,0,2,-0.39601999999999976,-0.4141999399999997,-0.39601999999999976,0.018099940000000002,8e-05,0.0,0.0,,-0.20709996999999986,-0.20709996999999986,-0.20709996999999986,0.41419993999988947,0.00828399879999779,-1.0000000000002662,-1.7064830666552742,1260.0,1260.0,0.08563504379068652,-0.03547002999999971,-0.37872991,0.01817993999999995
tf_1h_ema_cross_atr_trail_atr3,long,57,57,0,-0.6828199999999957,-1.1628150499999952,-0.6828199999999957,0.47771505000000003,0.0022800000000000003,0.19298245614035087,0.5631592630743183,0.13627809681818195,-0.05786682858695646,-0.020400264035087635,-0.02643706,1.3876003300001685,0.02775075900757662,-0.8380043048850053,-1.4935867574605282,543.1578947368421,240.0,-0.7556325100883464,0.3312851750000012,-0.21920849000000003,0.47999504999999953
tf_1h_ema_cross_atr_trail_atr3,short,79,0,79,-1.3335499999999987,-1.9317235649999984,-1.3335499999999987,0.595013565,0.003160000000000001,0.22784810126582278,0.5947234745740115,0.15748387944444453,-0.07813825237704917,-0.024452197025316435,-0.03593052,2.7504129549997742,0.05499973969240188,-0.7023394656022325,-1.3723133460463204,683.3544303797469,300.0,-0.9883990543957569,0.8434860149999998,-0.4057886650000003,0.5981735649999997
tf_1h_ema_cross_atr_trail_atr4,long,54,54,0,-0.6970799999999974,-1.1511381199999973,-0.6970799999999974,0.45189811999999996,0.0021600000000000005,0.2037037037037037,0.5128140145312308,0.11015389272727281,-0.05494955674418602,-0.021317372592592542,-0.02639846999999971,1.28758758999993,0.02575104905659946,-0.8940270385800004,-1.7801041732142628,577.7777777777778,180.0,-0.5770602488604953,0.25133880999999975,-0.21920849000000003,0.4540581199999999
tf_1h_ema_cross_atr_trail_atr4,short,78,0,78,-1.3275899999999978,-1.9192834649999977,-1.3275899999999978,0.5885734650000001,0.003120000000000001,0.23076923076923078,0.5840811326118115,0.14973770500000008,-0.07690936925,-0.02460619826923074,-0.03630409249999986,2.7379728550004074,0.054750976225639965,-0.7009870318819184,-1.3817391596822384,692.8846153846154,300.0,-0.9948054989365529,0.8434860149999998,-0.4057886650000003,0.5916934649999999
tf_1h_ema_cross_atr_trail_atr5,long,54,54,0,-0.6970799999999974,-1.1511381199999973,-0.6970799999999974,0.45189811999999996,0.0021600000000000005,0.2037037037037037,0.5128140145312308,0.11015389272727281,-0.05494955674418602,-0.021317372592592542,-0.02639846999999971,1.28758758999993,0.02575104905659946,-0.8940270385800004,-1.7801041732142628,577.7777777777778,180.0,-0.5770602488604953,0.25133880999999975,-0.21920849000000003,0.4540581199999999
tf_1h_ema_cross_atr_trail_atr5,short,75,0,75,-1.2626099999999991,-1.8340144749999994,-1.2626099999999991,0.568404475,0.0030000000000000005,0.22666666666666666,0.5919676563723784,0.15651545441176481,-0.07749615862068968,-0.024453526333333326,-0.03667766499999971,2.6527038650001487,0.053045860546438756,-0.6913755052714474,-1.3254199576146444,722.2,300.0,-1.0410570750811547,0.8434860149999998,-0.4057886650000003,0.5714044750000002
tf_1h_vol_compression_breakout_atr3,long,15,15,0,-1.1723699999999997,-1.2815345549999997,-1.1723699999999997,0.10856455500000001,0.0006000000000000001,0.06666666666666667,0.05260944834362687,0.07116476499999914,-0.09662137999999994,-0.08543563699999998,-0.0864973300000006,1.28153455499978,0.0256306910999956,-1.0000000000001714,-4.667168039839612,1116.0,960.0,-0.05553089826750646,0.07116476499999914,-0.21198250000000002,0.109164555
tf_1h_vol_compression_breakout_atr3,short,13,0,13,-0.9979600000000006,-1.0980133200000006,-0.9979600000000006,0.09953332,0.0005200000000000001,0.3076923076923077,0.11942586492984156,0.03722888999999963,-0.13854765333333327,-0.08446256307692313,-0.06497636500000087,1.0980133200000637,0.021960266400001274,-0.9999999999999426,-2.557918044902249,1241.5384615384614,960.0,-0.12229255561307728,0.1342788549999997,-0.37872991,0.10005332
tf_1h_vol_compression_breakout_atr4,long,14,14,0,-1.2593399999999992,-1.3612495799999995,-1.2593399999999992,0.10134958,0.0005600000000000001,0.07142857142857142,0.05156118737747916,0.07400334500000001,-0.11040407115384611,-0.09723211285714282,-0.0810888850000003,1.3612495799998214,0.027224991599996425,-1.0000000000001308,-3.42220262442056,1225.7142857142858,1080.0,-0.05436427389017085,0.07400334500000001,-0.3918925,0.10190958000000028
tf_1h_vol_compression_breakout_atr4,short,13,0,13,-1.3147500000000003,-1.414989955,-1.3147500000000003,0.09971995500000001,0.0005200000000000001,0.3076923076923077,0.09387542820253147,0.036648599999999705,-0.17350937277777764,-0.10884538115384615,-0.06333693500000029,1.4149899550002374,0.028299799100004748,-0.9999999999998322,-2.2896846110090694,1546.1538461538462,1140.0,-0.09489739098536547,0.1342788549999997,-0.5085680500000006,0.10023995499999971
tf_1h_vol_compression_breakout_atr5,long,14,14,0,-1.2863300000000002,-1.3882260850000003,-1.2863300000000002,0.10133608499999999,0.0005600000000000001,0.14285714285714285,0.029513921585610867,0.021109007499999857,-0.11920367500000001,-0.0991590060714286,-0.0810888850000003,1.3882260849995873,0.027764521699991745,-1.0000000000002975,-3.6005706974767167,1251.4285714285713,1080.0,-0.02459490234978527,0.03414328499999971,-0.3918925,0.10189608500000014
tf_1h_vol_compression_breakout_atr5,short,13,0,13,-1.1314199999999996,-1.2315682899999996,-1.1314199999999996,0.09962829000000002,0.0005200000000000001,0.38461538461538464,0.1330351146537953,0.037796646999999704,-0.17756894062499978,-0.09473602230769228,-0.002982029999999418,1.2315682899998137,0.024631365799996273,-1.000000000000151,-1.952316361657556,1707.6923076923076,1440.0,-0.10903078301894226,0.1342788549999997,-0.5085680500000006,0.10014828999999992
tf_4h_donchian_20_10_atr3,long,3,3,0,0.13145,0.10573604499999997,0.13145,0.025593955000000005,0.00012000000000000002,0.6666666666666666,1.6115913918097062,0.13931139500000014,-0.1728867450000003,0.03524534833333332,0.1251141949999997,0.17288674499923218,0.0034575422299721126,0.6115913918124236,0.41351891347711456,6640.0,6960.0,1.4518095035614451,0.15350859500000058,-0.1728867450000003,0.02571395500000004
