group,event_group,hold,split,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
A,top10_score_events,hold_1d,oos_ext,760,871.1428672387278,-648.8571327612722,17.291716185903798,-631.5654165753687,0.0011462406147878003,0.4789473684210526
A,top10_score_events,hold_1d,train_ext,1086,-1585.776702230089,-3757.7767022300895,88.23375862368411,-3669.5429436064055,-0.0014601995416483333,0.4613259668508287
A,top10_score_events,hold_1d,validation_ext,799,-2674.8190965262,-4272.8190965262,-3.7725141759520007,-4276.591610702151,-0.0033477085062906136,0.4593241551939925
A,top10_score_events,hold_3d,oos_ext,760,2839.646315047261,1319.6463150472616,43.80742312785681,1363.4537381751181,0.0037363767303253428,0.5381578947368421
A,top10_score_events,hold_3d,train_ext,1086,-5535.960278541658,-7707.960278541659,254.2505905968749,-7453.709687944785,-0.005097569317257513,0.5046040515653776
A,top10_score_events,hold_3d,validation_ext,799,-4510.145648040244,-6108.145648040243,5.170808205698403,-6102.9748398345455,-0.005644737982528464,0.45431789737171463
A,top10_score_events,hold_4h,oos_ext,760,-285.5151923111831,-1805.5151923111835,12.4701454695919,-1793.0450468415918,-0.0003756778846199783,0.4263157894736842
A,top10_score_events,hold_4h,train_ext,1086,288.05899049423067,-1883.9410095057694,29.3676053693433,-1854.5734041364262,0.0002652476892212068,0.4171270718232044
A,top10_score_events,hold_4h,validation_ext,799,-1086.7291232204598,-2684.7291232204598,-8.691282964831402,-2693.4204061852915,-0.0013601115434548937,0.42428035043804757
A,top10_score_events,hold_8h,oos_ext,760,293.6378193913546,-1226.3621806086458,14.544336426553299,-1211.8178441820928,0.00038636555183072945,0.46710526315789475
A,top10_score_events,hold_8h,train_ext,1086,762.5404259957527,-1409.4595740042478,41.8829326976555,-1367.5766413065921,0.000702155088393879,0.43830570902394106
A,top10_score_events,hold_8h,validation_ext,799,-1750.0183818463859,-3348.0183818463856,-8.824725540171503,-3356.8431073865568,-0.002190260803312122,0.4455569461827284
B,top20_score_events,hold_1d,oos_ext,1461,3982.4361125156247,1060.4361125156254,-18.612442280539504,1041.8236702350855,0.0027258289613385526,0.49007529089664614
B,top20_score_events,hold_1d,train_ext,2171,-1488.853233404839,-5830.853233404839,50.295902708634586,-5780.557330696203,-0.00068579144790642,0.4771994472593275
B,top20_score_events,hold_1d,validation_ext,1587,-4017.4132493293073,-7191.413249329306,-3.863871847971795,-7195.27712117728,-0.0025314513228288007,0.465658475110271
B,top20_score_events,hold_3d,oos_ext,1461,9125.574079848435,6203.574079848434,-43.00299851386999,6160.571081334567,0.006246115044386335,0.5318275154004107
B,top20_score_events,hold_3d,train_ext,2171,-13640.314116522137,-17982.31411652214,123.10812553430472,-17859.205990987837,-0.006282963664911165,0.5066789497927222
B,top20_score_events,hold_3d,validation_ext,1587,-4588.015825495634,-7762.015825495634,15.752081069391096,-7746.263744426243,-0.002890999259921634,0.45935727788279773
B,top20_score_events,hold_4h,oos_ext,1461,630.8769529207475,-2291.1230470792525,-8.105087742897199,-2299.2281348221495,0.0004318117405343924,0.4188911704312115
B,top20_score_events,hold_4h,train_ext,2171,-1385.067760307572,-5727.067760307572,11.437734392549398,-5715.630025915023,-0.000637986071076726,0.41455550437586364
B,top20_score_events,hold_4h,validation_ext,1587,-1090.5412789439472,-4264.541278943947,-16.789058324709004,-4281.330337268657,-0.0006871715683326701,0.44045368620037806
B,top20_score_events,hold_8h,oos_ext,1461,1192.8478122234546,-1729.1521877765456,-7.104532605297699,-1736.2567203818428,0.0008164598304061976,0.4531143052703628
B,top20_score_events,hold_8h,train_ext,2171,-789.8842443682026,-5131.884244368203,19.95284357788659,-5111.931400790317,-0.0003638342903584538,0.4385076001842469
B,top20_score_events,hold_8h,validation_ext,1587,-2231.0794376435933,-5405.079437643593,-16.912233182520996,-5421.991670826115,-0.0014058471566752322,0.4417139256458727
C,top30_score_events,hold_1d,oos_ext,2159,5785.000018547123,1467.0000185471226,-55.641022402329,1411.3589961447929,0.002679481249906032,0.4909680407596109
