group,event_group,hold,split,positive_early_trend_rate,random_early_trend_rate,positive_no_cost_pnl,random_no_cost_pnl,positive_funding_adjusted_pnl,random_funding_adjusted_pnl,random_weaker
A,top10_score_events,hold_4h,oos_ext,0.2855263157894737,0.18822724161533197,-285.5151923111831,1518.0117502646317,-1793.0450468415918,-1450.6220513717583,False
A,top10_score_events,hold_8h,oos_ext,0.2855263157894737,0.18822724161533197,293.6378193913546,1172.6866647505396,-1211.8178441820928,-1805.7839883139254,False
A,top10_score_events,hold_1d,oos_ext,0.2855263157894737,0.18822724161533197,871.1428672387278,4455.441832206625,-631.5654165753687,1432.360161948066,False
A,top10_score_events,hold_3d,oos_ext,0.2855263157894737,0.18822724161533197,2839.646315047261,12080.867273898399,1363.4537381751181,8940.403487486003,False
A,top10_score_events,hold_4h,train_ext,0.2532228360957643,0.24274527867342238,288.05899049423067,2518.985665446782,-1854.5734041364262,-1919.4274785715306,False
A,top10_score_events,hold_8h,train_ext,0.2532228360957643,0.24274527867342238,762.5404259957527,4157.365607566257,-1367.5766413065921,-301.9951691390836,False
A,top10_score_events,hold_1d,train_ext,0.2532228360957643,0.24274527867342238,-1585.776702230089,9657.348130595332,-3669.5429436064055,5097.298705120221,False
A,top10_score_events,hold_3d,train_ext,0.2532228360957643,0.24274527867342238,-5535.960278541658,19044.444305556783,-7453.709687944785,14013.354472640458,False
A,top10_score_events,hold_4h,validation_ext,0.3867334167709637,0.26212980466288593,-1086.7291232204598,79.86811839633475,-2693.4204061852915,-3164.8965092091257,False
A,top10_score_events,hold_8h,validation_ext,0.3867334167709637,0.26212980466288593,-1750.0183818463859,1567.5647561569494,-3356.8431073865568,-1694.9322921673624,False
A,top10_score_events,hold_1d,validation_ext,0.3867334167709637,0.26212980466288593,-2674.8190965262,4871.671906642149,-4276.591610702151,1543.221128782245,False
A,top10_score_events,hold_3d,validation_ext,0.3867334167709637,0.26212980466288593,-4510.145648040244,4680.385282278006,-6102.9748398345455,1137.279191120986,False
B,top20_score_events,hold_4h,oos_ext,0.2587268993839836,0.18822724161533197,630.8769529207475,1518.0117502646317,-2299.2281348221495,-1450.6220513717583,False
B,top20_score_events,hold_8h,oos_ext,0.2587268993839836,0.18822724161533197,1192.8478122234546,1172.6866647505396,-1736.2567203818428,-1805.7839883139254,True
B,top20_score_events,hold_1d,oos_ext,0.2587268993839836,0.18822724161533197,3982.4361125156247,4455.441832206625,1041.8236702350855,1432.360161948066,False
B,top20_score_events,hold_3d,oos_ext,0.2587268993839836,0.18822724161533197,9125.574079848435,12080.867273898399,6160.571081334567,8940.403487486003,False
B,top20_score_events,hold_4h,train_ext,0.2551819438046983,0.24274527867342238,-1385.067760307572,2518.985665446782,-5715.630025915023,-1919.4274785715306,False
B,top20_score_events,hold_8h,train_ext,0.2551819438046983,0.24274527867342238,-789.8842443682026,4157.365607566257,-5111.931400790317,-301.9951691390836,False
B,top20_score_events,hold_1d,train_ext,0.2551819438046983,0.24274527867342238,-1488.853233404839,9657.348130595332,-5780.557330696203,5097.298705120221,False
B,top20_score_events,hold_3d,train_ext,0.2551819438046983,0.24274527867342238,-13640.314116522137,19044.444305556783,-17859.205990987837,14013.354472640458,False
B,top20_score_events,hold_4h,validation_ext,0.3560176433522369,0.26212980466288593,-1090.5412789439472,79.86811839633475,-4281.330337268657,-3164.8965092091257,False
B,top20_score_events,hold_8h,validation_ext,0.3560176433522369,0.26212980466288593,-2231.0794376435933,1567.5647561569494,-5421.991670826115,-1694.9322921673624,False
B,top20_score_events,hold_1d,validation_ext,0.3560176433522369,0.26212980466288593,-4017.4132493293073,4871.671906642149,-7195.27712117728,1543.221128782245,False
B,top20_score_events,hold_3d,validation_ext,0.3560176433522369,0.26212980466288593,-4588.015825495634,4680.385282278006,-7746.263744426243,1137.279191120986,False
C,top30_score_events,hold_4h,oos_ext,0.25382121352478,0.18822724161533197,88.53697290493528,1518.0117502646317,-4254.348272279234,-1450.6220513717583,False
C,top30_score_events,hold_8h,oos_ext,0.25382121352478,0.18822724161533197,578.90329436095,1172.6866647505396,-3772.626539652949,-1805.7839883139254,False
C,top30_score_events,hold_1d,oos_ext,0.25382121352478,0.18822724161533197,5785.000018547123,4455.441832206625,1411.3589961447929,1432.360161948066,False
C,top30_score_events,hold_3d,oos_ext,0.25382121352478,0.18822724161533197,15660.418117233467,12080.867273898399,11195.883828326305,8940.403487486003,True
C,top30_score_events,hold_4h,train_ext,0.25522113022113024,0.24274527867342238,-1328.1467676621592,2518.985665446782,-7861.718991923263,-1919.4274785715306,False
C,top30_score_events,hold_8h,train_ext,0.25522113022113024,0.24274527867342238,2018.2711419853788,4157.365607566257,-4524.343942063509,-301.9951691390836,False
C,top30_score_events,hold_1d,train_ext,0.25522113022113024,0.24274527867342238,2820.694079366058,9657.348130595332,-3737.155375421411,5097.298705120221,False
C,top30_score_events,hold_3d,train_ext,0.25522113022113024,0.24274527867342238,-8413.530974294976,19044.444305556783,-15054.865876795306,14013.354472640458,False
C,top30_score_events,hold_4h,validation_ext,0.3371021775544389,0.26212980466288593,-165.68423913076845,79.86811839633475,-4990.345801273852,-3164.8965092091257,False
C,top30_score_events,hold_8h,validation_ext,0.3371021775544389,0.26212980466288593,-1623.328500399304,1567.5647561569494,-6451.7183542558905,-1694.9322921673624,False
C,top30_score_events,hold_1d,validation_ext,0.3371021775544389,0.26212980466288593,-2686.0923702157365,4871.671906642149,-7515.451431527216,1543.221128782245,False
C,top30_score_events,hold_3d,validation_ext,0.3371021775544389,0.26212980466288593,-3920.293591453167,4680.385282278006,-8789.613707665321,1137.279191120986,False
