feature,bin,count,min,max,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_atr,median_mae_atr,stop_first_rate,tp_first_rate,meets_min_count
breakout_distance_atr,1,1059,0.0003956248126722,0.073056902568161,-0.0002766641565158,-0.00041396735727515066,0.45514636449480644,2.194681936674008,2.538502645883408,0.6959395656279509,0.2898961284230406,True
breakout_distance_atr,2,1059,0.0731290823621115,0.1747317306564949,-0.0005551787111922,-0.0005000249561519452,0.437204910292729,2.059395708929619,2.7697413520255374,0.7148253068932956,0.2728989612842304,True
breakout_distance_atr,3,1059,0.1750776365008081,0.3366389122693891,-0.0002596027331125,-0.0003232642848002993,0.4627006610009443,2.7205684526541027,2.852622030814943,0.6364494806421152,0.352219074598678,True
breakout_distance_atr,4,1059,0.336672115705694,0.6672611250878951,-0.0001913660672439,-0.0002543156871355274,0.4721435316336166,3.20266211430735,3.233206243437827,0.6562795089707271,0.33994334277620397,True
breakout_distance_atr,5,1059,0.667333557501026,13.682909027968533,-0.0023887318286446,-0.003746768327081116,0.31067044381491976,2.563036897120481,4.629157259400065,0.6779981114258735,0.31916902738432484,True
atr_pct,1,1059,0.0001132339660759,0.0007133047452897,-0.0002275493282121,-0.00018955520862837765,0.4627006610009443,4.028751186657047,4.541806738528829,0.48347497639282344,0.5080264400377715,True
atr_pct,2,1059,0.0007135151342482,0.0010706972059245,-0.0002034452835984,-9.200558371517546e-05,0.46742209631728043,2.788551055321718,2.954973268744644,0.6203966005665722,0.3692162417374882,True
atr_pct,3,1059,0.0010708309241992,0.0014402136034725,-0.0002182679915186,-0.0003074940028745341,0.4711992445703494,2.535706756765764,2.609533675492561,0.7280453257790368,0.26345609065155806,True
atr_pct,4,1059,0.0014402547595645,0.0018316985817254,-0.0007869744692979,-0.0007531200821176325,0.4117091595845137,1.6931540781517633,2.489882748637347,0.7516525023607177,0.23890462700661,True
atr_pct,5,1059,0.0018337558504609,0.0098648092253932,-0.0029545454545454,-0.003896165735108319,0.32483474976392823,1.6331593885712563,3.631715602936053,0.7979225684608121,0.19452313503305005,True
ema_spread_pct,1,1059,-0.0200098548660746,-0.001540239372956,-0.0012149088722759,-0.0017050283782841776,0.4154863078375826,2.7152732645338853,3.4067552435345054,0.6921624173748819,0.3031161473087819,True
ema_spread_pct,2,1059,-0.0015359697025866,-0.0002064369890282,-0.0004265365129048,-0.0007456962159469422,0.4457034938621341,2.8258040487591756,3.1862131159942084,0.6166194523135033,0.37110481586402266,True
ema_spread_pct,3,1059,-0.0002046219687324,0.0005241473397993,-0.0005689731569517,-0.0007261173111961941,0.4126534466477809,2.192943473381033,3.032017351265683,0.6855524079320113,0.3021718602455146,True
ema_spread_pct,4,1059,0.00052557139224,0.0018412428989024,-0.0003716366879738,-0.0007912031801848734,0.4447592067988669,2.384626125836041,2.8337207880320343,0.6798866855524079,0.3125590179414542,True
ema_spread_pct,5,1059,0.0018421436929398,0.0330564595972837,-0.0006749282664736,-0.0012702955268318512,0.4192634560906516,2.4555266933235265,3.2194185455287987,0.7072710103871577,0.28517469310670446,True
rsi,1,1059,0.2669983563430395,33.21740585029642,-0.0014574234263128,-0.0024637979851169045,0.37110481586402266,2.505827973751577,3.860837027668389,0.6949952785646837,0.3002832861189802,True
rsi,2,1059,33.21844249048925,40.34714564107743,-0.0004009107931847,-0.00022189010393636776,0.45609065155807366,3.013480025082608,3.103799448337636,0.615675165250236,0.37393767705382436,True
rsi,3,1059,40.35906101139656,60.90877755350381,-0.0002930231706327,-0.00011943665159791721,0.45892351274787535,1.9314296654523664,2.447677343087989,0.7110481586402266,0.2757318224740321,True
rsi,4,1059,60.922597048695806,66.33669547334429,-0.0002233301085099,-0.0003463341689332938,0.46458923512747874,2.6197538430604035,2.8542047522861664,0.6798866855524079,0.31067044381491976,True
rsi,5,1059,66.34285529263192,99.99598274504083,-0.0009526453041098,-0.0020868817028595553,0.3871576959395656,2.5570465098217126,3.598729233274483,0.6798866855524079,0.31350330500472146,True
donchian_width_atr,1,1059,0.0,2.0886062400167016,-0.0010588766699674,-0.0016970850250935955,0.37865911237016053,1.3098469015980188,2.484477936222011,0.7620396600566572,0.2190745986779981,True
donchian_width_atr,2,1059,2.089669832808547,2.6994151863557945,-0.0005515929624346,-0.0007348600769533676,0.44192634560906513,2.4753363357499216,2.6820295113992128,0.6732766761095373,0.31728045325779036,True
donchian_width_atr,3,1059,2.6995088626924653,3.318186834548373,-0.000115691938184,-4.8518839554131455e-05,0.48347497639282344,3.014432392766379,3.012279658003792,0.667610953729934,0.3305004721435316,True
donchian_width_atr,4,1059,3.3192765639398134,4.22758125669485,-0.0007264225871448,-0.0010974420648282765,0.40509915014164305,2.945634776256469,3.842920009767031,0.6458923512747875,0.34844192634560905,True
donchian_width_atr,5,1059,4.230474607425449,28.78980858468122,-0.0005256669976422,-0.0016604346060146672,0.42870632672332387,3.048604478250835,3.875533245205118,0.6326723323890463,0.3588290840415486,True
close_location_in_donchian,1,5289,1.0,1.0,-0.0006133987378604,-0.001051746206144043,0.4271128757799206,2.504833161490777,3.1179006353538106,0.6766874645490641,0.31442616751748914,True
recent_return_5m,1,1059,-0.016100027183825492,0.0005033071364431239,-0.0007768525711597,-0.0012425770349690187,0.380547686496695,1.5901228370308522,3.319926827486236,0.7648725212464589,0.2219074598677998,True
recent_return_5m,2,1059,0.0005033161753680676,0.000991659011114775,-0.0003180339718105,-0.00043308802141916493,0.45797922568460814,2.4904743845412898,3.036406117592887,0.6666666666666666,0.32011331444759206,True
recent_return_5m,3,1059,0.000992244601063837,0.001585356347135882,-0.0003335094599376,-0.00038568978630812293,0.4542020774315392,2.781581423251507,2.9453220038064853,0.6506137865911237,0.34183191690273845,True
recent_return_5m,4,1059,0.0015854886005912477,0.0027567977430518293,-0.0002123452964081,-0.0003443857355878732,0.47875354107648727,2.8563325323175293,2.7819961579213497,0.6496694995278565,0.3437204910292729,True
recent_return_5m,5,1059,0.0027590026923940553,0.04105051239365917,-0.0025425983274444,-0.002832600034159859,0.3663833805476865,2.747054236266361,3.6768178740660584,0.6496694995278565,0.3465533522190746,True
recent_return_15m,1,1059,-0.016165173784911255,0.0008331489895842676,-0.0006374501992032,-0.001013357586033531,0.3975448536355052,1.8366209095509443,3.264711643954642,0.7280453257790368,0.2587346553352219,True
recent_return_15m,2,1059,0.0008338660811073741,0.001492698923400513,-0.0005017586938366,-0.0005637498668999165,0.43531633616619453,2.4155363323681995,3.159326763227188,0.6779981114258735,0.307837582625118,True
recent_return_15m,3,1059,0.0014933193028375416,0.002299242101677595,-0.0002656435594719,-0.0003996393116194591,0.4721435316336166,2.788551055321718,2.830806833230395,0.6336166194523135,0.3635505193578848,True
recent_return_15m,4,1059,0.0023029421762283697,0.0037852822580644427,-0.0003565224216667,-0.00019076322619165359,0.45797922568460814,2.787928467023348,2.7819961579213497,0.6713881019830028,0.32011331444759206,True
recent_return_15m,5,1059,0.0037887229774905633,0.043137895559490116,-0.0024420709630702,-0.0030708306216994784,0.37488196411709157,2.6671779852565187,3.6848645392751753,0.6704438149197356,0.323890462700661,True
recent_return_30m,1,1059,-0.01642640378075427,0.00047895543503890587,-0.0005867968175798,-0.0006506114015838085,0.42681775259678945,2.156216242481713,2.8772388963224613,0.7186024551463644,0.2728989612842304,True
recent_return_30m,2,1059,0.0004804969165461538,0.0013894070167704481,-0.0001913660672439,-0.0002453393712825965,0.4702549575070821,2.648068647738492,2.8571310819498925,0.6421152030217187,0.3437204910292729,True
recent_return_30m,3,1059,0.0013903158517410976,0.0024895214385509553,-0.000416454190039,-0.000598680935543796,0.4466477809254013,2.521785506206858,2.9461831251374906,0.660056657223796,0.3314447592067989,True
recent_return_30m,4,1059,0.002490901907354449,0.004820457766791822,-0.0004652335394395,-0.0005295890264530702,0.4409820585457979,2.646186255137675,3.094323526266918,0.6581680830972616,0.3342776203966006,True
recent_return_30m,5,1059,0.0048224374864140615,0.041881322653969176,-0.0027314086941025,-0.0032141198775807677,0.35316336166194523,2.5641542223614744,3.943487199573131,0.7025495750708215,0.29178470254957506,True
recent_volatility_30m,1,1059,8.634840688681598e-06,0.00035723401443276217,-9.63855421686747e-05,-1.2152821690238837e-05,0.4825306893295562,3.1581043526503114,3.433193200501574,0.5439093484419264,0.4409820585457979,True
recent_volatility_30m,2,1059,0.00035726733528775403,0.000489317310616573,-0.0001913660672439,-0.00014746918897986058,0.45797922568460814,2.8750757208591584,2.9206730803828758,0.6326723323890463,0.3550519357884797,True
recent_volatility_30m,3,1059,0.0004894892243357215,0.0006608549058843137,-0.0003137812192864,-0.0001814317788812862,0.4636449480642115,2.6636350362744174,2.7148351851392434,0.6949952785646837,0.3012275731822474,True
recent_volatility_30m,4,1059,0.0006608960850895982,0.0010246372005644439,-0.0006204378617242,-0.00024989864876370305,0.4457034938621341,2.243255433546532,2.7423612807392272,0.7403210576015109,0.2530689329556185,True
recent_volatility_30m,5,1059,0.0010254363688997755,0.010228456200354421,-0.003946297803092,-0.0046473881741289505,0.28800755429650615,1.6827379258560657,4.043403858309533,0.7695939565627951,0.2237960339943343,True
volume_zscore_30m,1,1059,-3.546863642619993,-0.5309576537737802,-0.0002803218868562,-0.00023019557402764027,0.46081208687440983,2.329125273459338,2.8052136666550407,0.7025495750708215,0.2898961284230406,True
volume_zscore_30m,2,1059,-0.5308628754842981,-0.10131084362773593,-0.0004400935631985,-0.0007530920876376162,0.449480642115203,2.3371671720259397,2.9067529795242963,0.6893295561850803,0.2927289896128423,True
volume_zscore_30m,3,1059,-0.10098677573086366,0.5123873394313038,-0.000653219829409,-0.0008596215366194558,0.41359773371104813,2.433853438186645,3.2177458736052413,0.7016052880075543,0.2870632672332389,True
volume_zscore_30m,4,1059,0.5127402751853316,1.7621252286493159,-0.0005971399139261,-0.0012138056266814388,0.43626062322946174,2.4186797406505605,3.046244575049831,0.67233238904627,0.32294617563739375,True
volume_zscore_30m,5,1059,1.764186114211422,295.9116944042794,-0.0011970160321654,-0.002181625787477888,0.3777148253068933,3.112534121112758,3.691010544415817,0.615675165250236,0.3814919735599622,True
upper_wick_ratio,1,1058,0.0,0.0023923444977467416,-0.0006408955107927499,-0.001510550335390522,0.40831758034026466,2.4202825626399864,3.3753529037196426,0.6824196597353497,0.30623818525519847,True
upper_wick_ratio,2,1057,0.0024096385541818024,0.08530510585302985,-0.0009494166575206,-0.0014948939711374762,0.38789025543992434,1.9656569714040113,3.2566481413210813,0.7142857142857143,0.27625354777672656,True
upper_wick_ratio,3,1057,0.08536585365857266,0.22801697998782655,-0.0005486194096416,-0.0010070513313239246,0.4370860927152318,2.6167809791654295,2.8958564513989975,0.6859035004730369,0.304635761589404,True
upper_wick_ratio,4,1057,0.22802197802194893,0.46514285714287934,-0.0003817134588642,-0.0005965548770315174,0.467360454115421,2.7436940830815018,2.8845804838422,0.6499526963103122,0.34058656575212864,True
upper_wick_ratio,5,1057,0.46517412935319513,1.0,-0.0003987469317976,-0.0006202222137746162,0.4389782403027436,2.8016831640196336,3.1244024585928325,0.6471144749290445,0.34815515610217596,True
lower_wick_ratio,1,1058,0.0,0.010692464358408,-0.000805735942189,-0.0016141172700946279,0.4102079395085066,2.816402504329518,3.6213367869247817,0.6304347826086957,0.3591682419659735,True
lower_wick_ratio,2,1057,0.010810810811440082,0.1446040966065106,-0.0009090502793295,-0.0015863397771254388,0.4087038789025544,2.6993739181753424,3.618812148205132,0.6773888363292336,0.31788079470198677,True
lower_wick_ratio,3,1057,0.1448999046710856,0.3535714285712207,-0.0003844065135144,-0.0007462890099693091,0.45695364238410596,2.8415593593828157,3.053014541880487,0.6707663197729423,0.3216650898770104,True
lower_wick_ratio,4,1057,0.35389610389588144,0.6275743707093551,-0.0005035852184377,-0.0008005372876329542,0.43519394512771997,2.684783471291403,2.8729350207905893,0.6490066225165563,0.3434247871333964,True
