month,bar_count,avg_trend_score,median_trend_score,strong_trend_pct,trend_regime_pct,choppy_high_vol_pct,avg_trend_efficiency,avg_abs_ema_spread_pct,avg_adx_or_proxy
2026-02,980,0.5100360433361236,0.5094174849418762,0.07448979591836735,0.8285714285714286,0.17142857142857143,0.1764747143278424,0.16867644895020528,35.780058113176494
2023-12,1085,0.47978716941417276,0.46157137384096053,0.1152073732718894,0.7096774193548387,0.2903225806451613,0.16992027097717574,0.08610323107303018,30.366126367618765
2024-03,1085,0.47580868087364,0.46085674134089744,0.1382488479262673,0.7308755760368664,0.26912442396313363,0.18407737546828418,0.11454513951055381,30.227983060318557
2023-11,1050,0.4708211548863491,0.4444643756296654,0.1,0.7933333333333333,0.20666666666666667,0.15982437147423134,0.1030238346288228,30.037381779803475
2024-11,1050,0.4663599226556692,0.4516495935097096,0.1380952380952381,0.7695238095238095,0.23047619047619047,0.19282643168753685,0.10225866080992724,29.188675623482723
2023-10,1085,0.4631456500769473,0.4567098480163112,0.17603686635944701,0.6506912442396313,0.33087557603686635,0.21507022872796708,0.044861116128737825,34.89398641485339
2024-12,1085,0.457526151631157,0.46550972123128154,0.02304147465437788,0.5861751152073733,0.4073732718894009,0.1365924286688575,0.09706916701737202,32.425040677851335
2025-03,1085,0.4528937042963928,0.4473269825685791,0.020276497695852536,0.6626728110599078,0.33732718894009217,0.13247535385003323,0.12282298850286244,27.958433444909378
2025-05,1085,0.4505911068585771,0.44495672948856824,0.03686635944700461,0.5944700460829493,0.39447004608294933,0.12621360685426114,0.06904268314578822,27.63959709427891
2024-08,1085,0.44881407917038857,0.44724133148683043,0.03870967741935484,0.5769585253456221,0.4147465437788018,0.13104849604365565,0.06889092581143315,32.434507617326425
2024-07,1085,0.4413698953311132,0.43737817274226864,0.054377880184331796,0.48663594470046084,0.5078341013824885,0.1508900833491894,0.05422526014402031,29.49882679847009
2025-11,1050,0.44007671272049403,0.42666515921565823,0.007619047619047619,0.7638095238095238,0.2361904761904762,0.14225657575596948,0.10024794270695185,26.796175286048467
2023-02,980,0.43686537176304935,0.41961814098732086,0.007142857142857143,0.48775510204081635,0.503061224489796,0.11777379069601032,0.06143535534054875,27.242302678013456
2025-07,1085,0.43609803292073707,0.43849990276985473,0.03870967741935484,0.6589861751152074,0.29308755760368665,0.15419544258768084,0.06039869734810085,29.526092120846368
2024-02,1015,0.4336148422795209,0.4294039928883373,0.11822660098522167,0.7152709359605911,0.2374384236453202,0.18025231844218198,0.06344960798406932,27.392812904370857
2025-04,1050,0.43139800693310926,0.4380242552756959,0.04,0.6076190476190476,0.37333333333333335,0.1640574292746041,0.08602153914483697,26.09584153032767
2025-02,980,0.4301007994076903,0.42969571974211057,0.018367346938775512,0.6704081632653062,0.3295918367346939,0.13644901377403384,0.09136509230302158,27.11356771694503
2024-05,1085,0.42757721843537183,0.4198736946471788,0.052534562211981564,0.5870967741935483,0.4129032258064516,0.13795111960357598,0.06079486318341875,25.845879858688274
2024-06,1050,0.4273533872495832,0.4332618065452108,0.005714285714285714,0.5419047619047619,0.4580952380952381,0.12351871518793105,0.05812526428979442,30.11286417533969
2023-08,1085,0.42281926239030226,0.4286645949313925,0.15207373271889402,0.4857142857142857,0.39447004608294933,0.1765603196258984,0.039850424389938646,30.06793530160615
