month,bar_count,strong_uptrend_count,strong_uptrend_pct,weak_uptrend_count,weak_uptrend_pct,strong_downtrend_count,strong_downtrend_pct,weak_downtrend_count,weak_downtrend_pct,choppy_count,choppy_pct,high_vol_choppy_count,high_vol_choppy_pct,compression_count,compression_pct,strong_trend_count,trend_regime_count,choppy_high_vol_count,strong_trend_pct,trend_regime_pct,choppy_high_vol_pct,avg_trend_score,avg_trend_efficiency,avg_abs_ema_spread_pct,avg_atr_pct,avg_adx_or_proxy
2023-01,1085,192,0.17695852534562212,538,0.49585253456221196,0,0.0,8,0.007373271889400922,326,0.30046082949308756,21,0.01935483870967742,0,0.0,192,738,347,0.17695852534562212,0.680184331797235,0.31981566820276497,0.41310059223712325,0.20889473777485246,0.06784523890485075,0.07122143479200711,30.873337621561873
2023-02,980,7,0.007142857142857143,454,0.463265306122449,0,0.0,17,0.017346938775510204,404,0.4122448979591837,89,0.09081632653061225,9,0.009183673469387756,7,478,493,0.007142857142857143,0.48775510204081635,0.503061224489796,0.43686537176304935,0.11777379069601032,0.06143535534054875,0.041044477905685064,27.242302678013456
2023-03,1085,23,0.02119815668202765,263,0.2423963133640553,31,0.02857142857142857,242,0.22304147465437787,268,0.24700460829493087,246,0.22672811059907835,12,0.011059907834101382,54,559,514,0.04976958525345622,0.5152073732718894,0.4737327188940092,0.4027730862974889,0.14326595295016836,0.050612076170862656,0.041838556758957084,25.519082140085864
2023-04,1050,28,0.02666666666666667,468,0.44571428571428573,1,0.0009523809523809524,61,0.058095238095238096,293,0.27904761904761904,149,0.1419047619047619,50,0.047619047619047616,29,558,442,0.02761904761904762,0.5314285714285715,0.42095238095238097,0.3975265291713303,0.13166813304848263,0.04736386346938572,0.03826673677274483,25.90682870857262
2023-05,1085,0,0.0,43,0.03963133640552995,1,0.0009216589861751152,531,0.4894009216589862,446,0.4110599078341014,53,0.04884792626728111,11,0.010138248847926268,1,575,499,0.0009216589861751152,0.5299539170506913,0.4599078341013825,0.38547934896564723,0.09747220084038018,0.0373535552147444,0.02926307855419977,25.931134898302833
2023-06,1050,34,0.03238095238095238,98,0.09333333333333334,45,0.04285714285714286,437,0.41619047619047617,259,0.24666666666666667,159,0.15142857142857144,18,0.017142857142857144,79,614,418,0.07523809523809524,0.5847619047619048,0.3980952380952381,0.41225168662187367,0.18292682438296204,0.05078130008240574,0.03257844821159486,25.232813959841117
2023-07,1085,13,0.011981566820276499,516,0.47557603686635946,0,0.0,23,0.02119815668202765,318,0.29308755760368665,168,0.15483870967741936,47,0.04331797235023042,13,552,486,0.011981566820276499,0.5087557603686635,0.447926267281106,0.3766989852823884,0.10200846589444408,0.0434640986201679,0.04353020088962754,26.59937570375674
2023-08,1085,0,0.0,144,0.1327188940092166,165,0.15207373271889402,218,0.20092165898617512,389,0.3585253456221198,39,0.035944700460829496,130,0.11981566820276497,165,527,428,0.15207373271889402,0.4857142857142857,0.39447004608294933,0.42281926239030226,0.1765603196258984,0.039850424389938646,0.02541754959159559,30.06793530160615
2023-09,1050,2,0.0019047619047619048,63,0.06,2,0.0019047619047619048,524,0.4990476190476191,357,0.34,60,0.05714285714285714,42,0.04,4,591,417,0.0038095238095238095,0.5628571428571428,0.39714285714285713,0.4045531421110596,0.11652400710415829,0.03750520847536336,0.018230177829588818,25.42084509515423
2023-10,1085,183,0.16866359447004609,346,0.31889400921658984,8,0.007373271889400922,169,0.15576036866359447,268,0.24700460829493087,91,0.08387096774193549,20,0.018433179723502304,191,706,359,0.17603686635944701,0.6506912442396313,0.33087557603686635,0.4631456500769473,0.21507022872796708,0.044861116128737825,0.02505873887993261,34.89398641485339
2023-11,1050,105,0.1,728,0.6933333333333334,0,0.0,0,0.0,136,0.1295238095238095,81,0.07714285714285714,0,0.0,105,833,217,0.1,0.7933333333333333,0.20666666666666667,0.4708211548863491,0.15982437147423134,0.1030238346288228,0.042334205702303764,30.037381779803475
2023-12,1085,125,0.1152073732718894,645,0.5944700460829493,0,0.0,0,0.0,243,0.223963133640553,72,0.0663594470046083,0,0.0,125,770,315,0.1152073732718894,0.7096774193548387,0.2903225806451613,0.47978716941417276,0.16992027097717574,0.08610323107303018,0.03293229879760712,30.366126367618765
2024-01,1085,0,0.0,317,0.2921658986175115,6,0.005529953917050691,245,0.22580645161290322,326,0.30046082949308756,168,0.15483870967741936,23,0.02119815668202765,6,568,494,0.005529953917050691,0.5235023041474655,0.4552995391705069,0.407270863525448,0.11531801356605507,0.05715371844723049,0.03553853620457442,26.581628531167095
2024-02,1015,120,0.11822660098522167,558,0.5497536945812808,0,0.0,48,0.04729064039408867,239,0.2354679802955665,2,0.0019704433497536944,48,0.04729064039408867,120,726,241,0.11822660098522167,0.7152709359605911,0.2374384236453202,0.4336148422795209,0.18025231844218198,0.06344960798406932,0.025865696973865347,27.392812904370857
2024-03,1085,150,0.1382488479262673,613,0.5649769585253456,0,0.0,30,0.027649769585253458,107,0.09861751152073733,185,0.17050691244239632,0,0.0,150,793,292,0.1382488479262673,0.7308755760368664,0.26912442396313363,0.47580868087364,0.18407737546828418,0.11454513951055381,0.07171295268054634,30.227983060318557
