split,policy_name,policy_family,timeframe,regime_at_entry,trade_count,aligned_trade_count,net_pnl,no_cost_pnl,avg_net_pnl,avg_no_cost_pnl,positive_trade_count,negative_trade_count,win_rate,positive_pnl_sum,loss_abs_sum
oos_ext,v3_4h_donchian_20_10_atr4,4h_donchian,4h,weak_uptrend,12,12,-0.0016168399999996197,0.041620000000000434,-0.00013473666666663497,0.0034683333333333697,5,7,0.4166666666666667,1.011245615,1.0128624549999994
oos_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,choppy,29,0,-2.809855285000003,-2.695290000000002,-0.09689156155172424,-0.0929410344827587,10,19,0.3448275862068966,0.6650490249999998,3.4749043100000025
oos_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,high_vol_choppy,10,0,-0.9324397299999998,-0.9056999999999998,-0.09324397299999998,-0.09056999999999998,3,7,0.3,1.15276955,2.08520928
oos_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,strong_uptrend,2,2,-1.6234929999999999,-1.614,-0.8117464999999999,-0.807,0,2,0.0,0.0,1.6234929999999999
oos_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,weak_downtrend,19,19,-0.7074824000000003,-0.6324400000000004,-0.037235915789473696,-0.033286315789473706,7,12,0.3684210526315789,1.8531858549999995,2.5606682549999995
oos_ext,v3_4h_donchian_55_20_atr4,4h_donchian,4h,weak_uptrend,12,12,-2.0994997999999994,-2.0366799999999996,-0.1749583166666666,-0.1697233333333333,5,7,0.4166666666666667,1.1088545650000001,3.2083543649999995
oos_ext,v3_4h_donchian_55_with_risk_filters,4h_donchian,4h,choppy,11,0,-0.8100268200000008,-0.7704200000000008,-0.07363880181818189,-0.07003818181818189,3,8,0.2727272727272727,0.5100009149999999,1.3200277350000007
oos_ext,v3_4h_donchian_55_with_risk_filters,4h_donchian,4h,weak_downtrend,5,5,0.7485723650000001,0.7657899999999999,0.14971447300000001,0.15315799999999996,1,4,0.2,1.16827527,0.41970290499999996
oos_ext,v3_4h_donchian_55_with_risk_filters,4h_donchian,4h,weak_uptrend,3,3,1.2293628000000003,1.2446000000000004,0.4097876000000001,0.4148666666666668,2,1,0.6666666666666666,1.2430757150000002,0.013712915
oos_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,choppy,32,0,-2.0662706299999978,-1.918679999999998,-0.06457095718749993,-0.059958749999999936,7,25,0.21875,0.4346511650000012,2.500921794999999
oos_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,compression,6,0,-0.1222251499999998,-0.10189999999999978,-0.0203708583333333,-0.016983333333333298,2,4,0.3333333333333333,0.05893875,0.1811638999999998
oos_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,high_vol_choppy,19,0,0.06324715500000103,0.135950000000001,0.0033287976315790014,0.007155263157894789,6,13,0.3157894736842105,1.413439625,1.350192469999999
oos_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,strong_downtrend,1,1,-0.010897965,-0.01077,-0.010897965,-0.01077,0,1,0.0,0.0,0.010897965
oos_ext,v3_4h_ema_50_200_atr4,4h_ema,4h,strong_uptrend,1,1,-0.6200092149999998,-0.6164299999999998,-0.6200092149999998,-0.6164299999999998,0,1,0.0,0.0,0.6200092149999998
