symbol,session_type,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,max_drawdown,max_drawdown_pct,sample_sufficient,drag_rank,largest_drag
SOLUSDT_SWAP_OKX.GLOBAL,europe_to_us,1298,609,689,-16026.31454842459,-18622.31454842459,-18618.936656002952,-12.346929544240824,-14.34432716178964,0.3929121725731895,18208.205409800546,30.899662153231272,True,1,True
SOLUSDT_SWAP_OKX.GLOBAL,asia_to_europe,861,496,365,-16622.745606902943,-18344.745606902943,-18351.37935881943,-19.306324746693313,-21.314029452751953,0.3867595818815331,18072.817777217795,25.603406257496538,True,2,False
ETHUSDT_SWAP_OKX.GLOBAL,asia_to_europe,972,536,436,-4905.5417610652985,-6849.5417610652985,-6854.914240218644,-5.046853663647426,-7.052380905574737,0.3549382716049383,7378.146093985035,7.171297660746348,True,3,False
ETHUSDT_SWAP_OKX.GLOBAL,europe_to_us,1356,641,715,-3158.4761231282537,-5870.476123128254,-5862.409528515851,-2.3292596778231958,-4.323310861737353,0.3834808259587021,5858.581601765255,5.881093998806027,True,4,False
BTCUSDT_SWAP_OKX.GLOBAL,asia_to_europe,969,508,461,-3483.273834984195,-5421.273834984195,-5429.142950928698,-3.594709840024969,-5.602830702712795,0.32610939112487103,5581.5790927840935,4.975612549464239,True,5,False
BTCUSDT_SWAP_OKX.GLOBAL,europe_to_us,1443,727,716,-813.5419254213933,-3699.541925421393,-3690.7191195475443,-0.5637851181021437,-2.557670907517356,0.3776853776853777,3721.249660667433,3.6110037618327238,True,6,False
