direction,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,max_drawdown,max_drawdown_pct,sample_sufficient,drag_rank,largest_drag
short,3382,0,3382,-29997.156952083507,-36761.156952083504,-36575.92166689316,-8.869650192810026,-10.81487926283062,0.3577764636309876,36795.407720497504,36.91928884034921,True,1,True
long,3517,3517,0,-15012.73684784317,-22046.736847843174,-22231.580187139956,-4.268620087530046,-6.32117719281773,0.3864088711970429,22140.11850971399,31.36547138254781,True,2,False
