scope,timeframe,symbol,session_type,core_event_count,core_trade_count,untraded_event_count,untraded_event_rate,global_skipped_events_due_to_single_position_filter,global_skipped_events_with_insufficient_future_bars,traded_mean_future_return_16,untraded_mean_future_return_16,traded_reversal_rate_16,untraded_reversal_rate_16,actual_no_cost_pnl,actual_cost_aware_pnl,actual_funding_adjusted_pnl,filtered_events_theoretically_better,single_position_filter_may_distort_result
all_core,all,all,all,6907,6899,8,0.0011582452584334732,9695,26,-0.006555790690648975,,0.5680533410639224,,-45009.89379992668,-58807.89379992668,-58807.50185403312,False,False
timeframe,15m,all,all,3292,3290,2,0.0006075334143377885,9695,26,-0.006556836196666627,,0.5826747720364741,,-21439.698826685864,-28019.698826685868,-28010.629333355842,False,False
timeframe,1h,all,all,731,729,2,0.0027359781121751026,9695,26,-0.007948434855072259,,0.5528120713305898,,-5787.992926689024,-7245.992926689025,-7260.583855690156,False,False
timeframe,30m,all,all,2884,2880,4,0.0013869625520110957,9695,26,-0.006202083291113333,,0.5552083333333333,,-17782.202046551785,-23542.202046551785,-23536.28866498712,False,False
symbol,all,BTCUSDT_SWAP_OKX.GLOBAL,all,2416,2412,4,0.0016556291390728477,9695,26,-0.0017944238290976684,,0.5754560530679934,,-4296.815760405589,-9120.815760405589,-9119.862070476243,False,False
symbol,all,ETHUSDT_SWAP_OKX.GLOBAL,all,2330,2328,2,0.0008583690987124463,9695,26,-0.003495493729336814,,0.5652920962199313,,-8064.017884193552,-12720.017884193554,-12717.323768734494,False,False
symbol,all,SOLUSDT_SWAP_OKX.GLOBAL,all,2161,2159,2,0.0009254974548819991,9695,26,-0.015174960767534783,,0.5627605372857805,,-32649.060155327537,-36967.060155327534,-36970.31601482238,False,False
session,all,all,asia_to_europe,2806,2802,4,0.0014255167498218105,9695,26,-0.00895935529584553,,0.5931477516059958,,-25011.561202952435,-30615.561202952435,-30635.436549966777,False,False
session,all,all,europe_to_us,4101,4097,4,0.000975371860521824,9695,26,-0.004911956659953162,,0.5508908957773981,,-19998.332596974236,-28192.332596974236,-28172.065304066346,False,False
