symbol,direction,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,max_drawdown,max_drawdown_pct,sample_sufficient,drag_rank,largest_drag
SOLUSDT_SWAP_OKX.GLOBAL,short,1054,0,1054,-22297.856177585447,-24405.856177585447,-24359.046675852354,-21.155461269056403,-23.11104997708952,0.38425047438330173,24002.817132248125,40.73322567599389,True,1,True
SOLUSDT_SWAP_OKX.GLOBAL,long,1105,1105,0,-10351.203977742089,-12561.203977742089,-12611.269338970025,-9.367605409721348,-11.41291342893215,0.39638009049773754,13071.987612849236,8.949013541217733,True,2,False
ETHUSDT_SWAP_OKX.GLOBAL,short,1151,0,1151,-4424.068287089694,-6726.068287089694,-6658.129239049749,-3.8436735769675887,-5.784647470938097,0.35447437011294525,6829.74389641891,6.8559881167326875,True,3,False
ETHUSDT_SWAP_OKX.GLOBAL,long,1177,1177,0,-3639.949597103858,-5993.949597103859,-6059.194529684745,-3.0925655030619015,-5.1479987507941765,0.3882752761257434,6320.704122006519,6.399321290653828,True,4,False
BTCUSDT_SWAP_OKX.GLOBAL,short,1177,0,1177,-3275.2324874083642,-5629.232487408364,-5558.745751991058,-2.7826954013664946,-4.722808625311009,0.3372982158028887,5580.022448446872,5.598809016459983,True,5,False
BTCUSDT_SWAP_OKX.GLOBAL,long,1235,1235,0,-1021.5832729972243,-3491.5832729972244,-3561.1163184851853,-0.8271929336009913,-2.8834949947248463,0.3757085020242915,3706.102450256472,3.2368099031235844,True,6,False
