symbol,bar_count,strong_uptrend_count,strong_uptrend_pct,weak_uptrend_count,weak_uptrend_pct,strong_downtrend_count,strong_downtrend_pct,weak_downtrend_count,weak_downtrend_pct,choppy_count,choppy_pct,high_vol_choppy_count,high_vol_choppy_pct,compression_count,compression_pct,strong_trend_count,trend_regime_count,choppy_high_vol_count,strong_trend_pct,trend_regime_pct,choppy_high_vol_pct,avg_trend_score,avg_trend_efficiency,avg_abs_ema_spread_pct,avg_atr_pct,avg_adx_or_proxy
BTCUSDT_SWAP_OKX.GLOBAL,8302,563,0.06781498434112262,2538,0.30570946759816914,91,0.010961214165261383,1591,0.19164056853770176,2414,0.29077330763671405,876,0.10551674295350517,229,0.027583714767525896,654,4783,3290,0.07877619850638401,0.5761262346422549,0.3962900505902192,0.4132540852507147,0.14870123496973645,0.04728456500815728,0.0248044762352849,28.14041944036982
DOGEUSDT_SWAP_OKX.GLOBAL,8302,214,0.025776921223801492,1809,0.2178993013731631,98,0.011804384485666104,3057,0.36822452421103347,2142,0.2580101180438449,885,0.10660081907973983,97,0.011683931582751144,312,5178,3027,0.0375813057094676,0.6237051312936642,0.36461093712358467,0.43589982846088715,0.13430257936414103,0.07690918844664067,0.060496132278954985,29.152548477589196
ETHUSDT_SWAP_OKX.GLOBAL,8302,339,0.04083353408817152,2241,0.2699349554324259,124,0.014936159961455071,2224,0.2678872560828716,2241,0.2699349554324259,981,0.118164297759576,152,0.01830884124307396,463,4928,3222,0.055769694049626596,0.5935919055649241,0.38809925319200195,0.4183710273990502,0.14920613597540217,0.060525789616203834,0.03579172377114714,27.244018642491998
LINKUSDT_SWAP_OKX.GLOBAL,8302,164,0.01975427607805348,2185,0.26318959286918814,100,0.012045290291496025,2527,0.30438448566610454,2441,0.294025536015418,820,0.09877138039026741,65,0.007829438689472416,264,4976,3261,0.0317995663695495,0.5993736449048422,0.39279691640568537,0.4257417092092876,0.13989719632400704,0.0710610777216148,0.036295618153822755,26.79308304712035
SOLUSDT_SWAP_OKX.GLOBAL,8302,243,0.02927005540833534,2449,0.29498915923873764,52,0.006263550951577933,2144,0.2582510238496748,2525,0.3041435798602746,738,0.08889424235124066,151,0.018188388340158998,295,4888,3263,0.035533606359913275,0.5887737894483257,0.3930378222115153,0.4412521513390014,0.13757964540779555,0.0827863773702178,0.08334496491612854,29.540780988989617
