split,policy_name,symbol,direction,entry_time,exit_time,net_pnl,no_cost_pnl,timeframe,regime_at_entry,trend_efficiency,ema_spread_pct,atr_pct,adx_or_proxy,is_regime_aligned
oos_ext,v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-07-11T00:00:00+08:00,2025-08-04T00:00:00+08:00,0.721611645,0.72483,1d,choppy,0.05770160157347562,0.0021805266229366856,0.058589202978833486,15.603182719517253,False
oos_ext,v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-07-12T00:00:00+08:00,2025-08-21T00:00:00+08:00,-0.3449157850000002,-0.3334300000000003,1d,weak_uptrend,0.17634922679029447,0.08469510754474097,0.03363398771347461,13.83591745980786,True
oos_ext,v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2025-07-12T00:00:00+08:00,2025-08-02T00:00:00+08:00,0.01059924,0.0108,1d,choppy,0.007444784514848198,-0.08484735798400074,0.056713732004429696,11.722993161290482,False
oos_ext,v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-08-10T00:00:00+08:00,2025-09-23T00:00:00+08:00,-0.1216384849999993,-0.1174299999999993,1d,weak_uptrend,0.34855490854735244,0.12983745896997365,0.053790655335919625,37.50231282111462,True
oos_ext,v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2025-08-10T00:00:00+08:00,2025-09-23T00:00:00+08:00,0.0008883699999999,0.0011399999999999,1d,weak_uptrend,0.2678129345135144,0.03528122848487624,0.08370069448212249,29.994886589909637,True
oos_ext,v3_1d_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,long,2025-09-14T00:00:00+08:00,2025-10-12T00:00:00+08:00,-1.0519457499999998,-1.0475,1d,weak_uptrend,0.06849757673667202,0.040659946466537825,0.10136386597070214,39.39066665193978,True
oos_ext,v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,short,2025-09-23T00:00:00+08:00,2025-10-04T00:00:00+08:00,-0.4390371049999991,-0.4346699999999991,1d,choppy,0.03634037762881856,0.2141154846869181,0.05498910403954421,17.15846947272358,False
oos_ext,v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,short,2025-09-23T00:00:00+08:00,2025-12-04T00:00:00+08:00,0.0619889049999999,0.0622099999999999,1d,choppy,0.08401231214919427,0.17779416651323834,0.07917556742323097,19.317521713388174,False
oos_ext,v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-10-04T00:00:00+08:00,2025-10-12T00:00:00+08:00,-1.0050233399999997,-0.9933199999999998,1d,weak_uptrend,0.07414123885793122,0.05915680812090063,0.03044754464285715,20.49158660995993,True
oos_ext,v3_1d_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,short,2025-10-12T00:00:00+08:00,2026-03-31T23:59:00+08:00,1.01508725,1.0185000000000002,1d,high_vol_choppy,0.10494438938442907,0.09347181963652637,0.13351447926747564,20.66134507588843,False
oos_ext,v3_1d_donchian_20_10_atr4,SOLUSDT_SWAP_OKX.GLOBAL,short,2025-10-12T00:00:00+08:00,2026-03-05T00:00:00+08:00,0.898432,0.9002,1d,choppy,0.03663516509158792,0.14404919721363932,0.11985732395807905,19.428689514610976,False
oos_ext,v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-12-11T00:00:00+08:00,2026-01-30T00:00:00+08:00,-0.4553168799999998,-0.4521799999999998,1d,high_vol_choppy,0.1199562707225306,-0.04518451535854782,0.07140489920366636,30.33324152946685,False
oos_ext,v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,short,2026-01-31T00:00:00+08:00,2026-03-05T00:00:00+08:00,1.2032861749999988,1.211129999999999,1d,weak_downtrend,0.08980841864625798,-0.08391071976827415,0.048179064018009844,20.065556748879043,True
oos_ext,v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2026-03-05T00:00:00+08:00,2026-03-28T00:00:00+08:00,-0.6004215200000004,-0.5934800000000003,1d,weak_downtrend,0.24801472073929018,-0.2135359540861721,0.04549821397034563,35.32453509816412,False
oos_ext,v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2026-03-14T00:00:00+08:00,2026-03-23T00:00:00+08:00,-0.0127141099999999,-0.0125799999999999,1d,choppy,0.24815882164585343,-0.336311356925115,0.06945076835515084,26.104044340328393,False
oos_ext,v3_1d_donchian_55_20_atr5,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-07-12T00:00:00+08:00,2025-11-05T00:00:00+08:00,-1.32149725,-1.3105,1d,weak_uptrend,0.17634922679029447,0.08469510754474097,0.03363398771347461,13.83591745980786,True
oos_ext,v3_1d_donchian_55_20_atr5,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-07-12T00:00:00+08:00,2025-09-23T00:00:00+08:00,1.0621831300000006,1.0658000000000007,1d,choppy,0.14796983838079736,0.007115481972342056,0.06010764770754553,17.747081379498276,False
oos_ext,v3_1d_donchian_55_20_atr5,LINKUSDT_SWAP_OKX.GLOBAL,long,2025-07-19T00:00:00+08:00,2025-09-23T00:00:00+08:00,0.032234035,0.03247,1d,choppy,0.09419397224275268,-0.04324055039654824,0.06587000525971856,25.2359449161008,False
oos_ext,v3_1d_donchian_55_20_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,short,2025-10-12T00:00:00+08:00,2026-03-31T23:59:00+08:00,1.01508725,1.0185000000000002,1d,high_vol_choppy,0.10494438938442907,0.09347181963652637,0.13351447926747564,20.66134507588843,False
oos_ext,v3_1d_donchian_55_20_atr5,LINKUSDT_SWAP_OKX.GLOBAL,short,2025-10-12T00:00:00+08:00,2026-03-14T00:00:00+08:00,0.06756573,0.06774,1d,high_vol_choppy,0.255905089113163,0.16689977493247055,0.12840176653139174,15.610478174347415,False
oos_ext,v3_1d_donchian_55_20_atr5,ETHUSDT_SWAP_OKX.GLOBAL,short,2025-11-05T00:00:00+08:00,2025-12-11T00:00:00+08:00,0.185812395,0.18927,1d,choppy,0.15345447814783125,0.12217547728303914,0.06330671859309987,16.966317642225455,False
oos_ext,v3_1d_donchian_55_20_atr5,ETHUSDT_SWAP_OKX.GLOBAL,long,2026-01-03T00:00:00+08:00,2026-02-06T00:00:00+08:00,-1.92463374,-1.92164,1d,high_vol_choppy,0.10509897395319458,-0.04448419425135863,0.12466804495952477,29.836842312250404,False
oos_ext,v3_1d_donchian_55_20_atr5,BTCUSDT_SWAP_OKX.GLOBAL,short,2026-02-06T00:00:00+08:00,2026-03-05T00:00:00+08:00,-0.31428466,-0.3072,1d,weak_downtrend,0.285518888464426,-0.12823579997766985,0.06752228502844916,33.680310321827875,True
oos_ext,v3_1d_ema_50_200_atr5,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-07-02T00:00:00+08:00,2025-08-06T00:00:00+08:00,0.56757949,0.5785,1d,weak_uptrend,0.12443524564569222,0.0885873904457392,0.03581687362760845,11.486122966977772,True
oos_ext,v3_1d_ema_50_200_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,short,2025-07-02T00:00:00+08:00,2025-07-11T00:00:00+08:00,-0.177719,-0.174,1d,weak_downtrend,0.016360822462967096,-0.15826198242366948,0.15899252262888625,24.5221862350474,True
oos_ext,v3_1d_ema_50_200_atr5,LINKUSDT_SWAP_OKX.GLOBAL,short,2025-07-02T00:00:00+08:00,2025-07-10T00:00:00+08:00,-0.0118357499999999,-0.0116599999999999,1d,weak_downtrend,0.02260327357755262,-0.1126514401987277,0.07133519356681464,10.421942393705292,True
oos_ext,v3_1d_ema_50_200_atr5,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-07-11T00:00:00+08:00,2025-09-23T00:00:00+08:00,1.2903271450000005,1.2938300000000005,1d,choppy,0.05770160157347562,0.0021805266229366856,0.058589202978833486,15.603182719517253,False
oos_ext,v3_1d_ema_50_200_atr5,SOLUSDT_SWAP_OKX.GLOBAL,long,2025-07-25T00:00:00+08:00,2025-08-03T00:00:00+08:00,-0.2759504,-0.2738,1d,compression,0.11852714181002878,0.006605116265245659,0.15250955008488964,41.52925738768859,False
oos_ext,v3_1d_ema_50_200_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,short,2025-08-03T00:00:00+08:00,2025-08-04T00:00:00+08:00,-0.12750875,-0.1235,1d,high_vol_choppy,0.016477938305349472,-0.01119330190080547,0.3470462973161509,18.032561504017636,False
oos_ext,v3_1d_ema_50_200_atr5,LINKUSDT_SWAP_OKX.GLOBAL,long,2025-08-04T00:00:00+08:00,2025-09-23T00:00:00+08:00,0.0496927599999999,0.0499199999999999,1d,choppy,0.08867178760533964,0.027290873131082465,0.10121211587722156,27.720216455278358,False
oos_ext,v3_1d_ema_50_200_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,short,2025-08-06T00:00:00+08:00,2025-08-07T00:00:00+08:00,-0.10453125,-0.1005,1d,high_vol_choppy,0.010321984285934385,-0.010794656893679712,0.3539969450101833,16.65867393321981,False
oos_ext,v3_1d_ema_50_200_atr5,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-08-07T00:00:00+08:00,2025-08-20T00:00:00+08:00,-0.0950523,-0.0836,1d,weak_uptrend,0.10011276141675715,0.10476130112359108,0.038699425574425565,29.07122909203731,True
oos_ext,v3_1d_ema_50_200_atr5,SOLUSDT_SWAP_OKX.GLOBAL,long,2025-08-20T00:00:00+08:00,2025-09-26T00:00:00+08:00,0.2531938499999998,0.2554999999999998,1d,weak_uptrend,0.13955482948744127,0.048090414259623133,0.09592525617842075,15.821174163663665,True
