policy_name,weekday,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_5m_pullback_reclaim,0,221,122,99,647,-0.0002859941333238636,-8.007786533316528e-06,0.4660633484162896,0.003060717739616914,0.003077447679127099,-0.00037752733577556263,6.058061104934071e-05,0.43891402714932126,0.00469366840533314,0.0045988914203979325,-0.00014417435037716864,0.00010044835916380713,0.4796380090497738,0.008398037795301683,0.006806590232739107,-0.0014698505651924432,-0.0005016034515165486,0.45701357466063347,0.015867501108576487,0.012150424260681802
htf_1h_15m_structure_5m_pullback_reclaim,1,195,119,76,567,-0.0001681246508701273,5.6119963875934684e-05,0.4666666666666667,0.003444428096078367,0.003666480330878241,0.0002654979804515012,0.0007362024730231697,0.5230769230769231,0.005426138309449824,0.005440808113990059,-8.438811444078098e-07,0.0008477290405836814,0.49743589743589745,0.012995675675675722,0.006992095638928997,0.00025169203183450506,0.0004984793377958997,0.517948717948718,0.019573487760039088,0.011243037974683623
htf_1h_15m_structure_5m_pullback_reclaim,2,177,106,71,484,-0.0002131545507129129,-0.0001667425840710257,0.4519774011299435,0.0037506600006600443,0.0034900036008677082,-0.00028768699654779795,-0.00014947508103046135,0.480225988700565,0.005408288442050324,0.0045412144791026066,-0.0013455047135311204,-0.0013438727840883017,0.4406779661016949,0.008381980121052512,0.006817138517905219,-0.003244977110274827,-0.00246224700845818,0.3728813559322034,0.013653125903390073,0.013367074917300603
htf_1h_15m_structure_5m_pullback_reclaim,3,194,142,52,532,-0.00019232869859220347,-0.00022876816437574846,0.4587628865979381,0.0022649354227739504,0.0031478488703840513,2.61218131387686e-05,0.0003618944995856026,0.5,0.0042729926701124965,0.004325788475487591,-0.000211901591975594,-0.0002701867710700588,0.4845360824742268,0.006193528532016379,0.006129571423704239,-0.0002564969791241656,-1.6358647098166397e-05,0.4845360824742268,0.015705083925405927,0.011447837078178424
htf_1h_15m_structure_5m_pullback_reclaim,4,227,145,82,632,5.4636469655200415e-05,0.00045860247932705413,0.5154185022026432,0.0033940958687035394,0.003490447896405624,-0.0006541541617023361,-0.0002001192014014827,0.4581497797356828,0.004916521739130486,0.005157395429064238,-0.0015380706763125085,-0.0004901543202156984,0.41409691629955947,0.010880939560495406,0.008504349664163025,-0.0016062758254526965,-0.00116674762033384,0.42290748898678415,0.014956694892317213,0.011795143357170912
htf_1h_15m_structure_5m_pullback_reclaim,5,157,70,87,404,-0.00022336769759445652,-0.0002657810940493023,0.46496815286624205,0.0019344210947604967,0.002442307692307688,-0.0006087145707289743,-0.0005611891984053691,0.3821656050955414,0.0029119759651909938,0.0033714953228181077,-0.0009101099579184035,-0.0006511144313696089,0.40764331210191085,0.006368234610864221,0.0057949160290501345,-0.0005159019457005032,-0.0004591505249866428,0.4394904458598726,0.012036328984365019,0.008349815117378978
htf_1h_15m_structure_5m_pullback_reclaim,6,181,94,87,474,-7.46587754603123e-05,0.00024144671186416183,0.49171270718232046,0.0026050080239203854,0.002481038111856848,-6.913909694628018e-05,4.105473622472468e-05,0.4861878453038674,0.004153846153846175,0.0038871695664653982,0.0004806871350022668,0.0010226912274144005,0.5303867403314917,0.009590259065950901,0.005923786982248491,0.0018506587453459566,0.003133684573356424,0.6298342541436464,0.015637337832963727,0.008902103453098387
htf_1h_15m_structure_5m_pullback_reclaim_strict,0,56,38,18,79,-0.0002482130164477847,-0.0004593390348449237,0.39285714285714285,0.002012303941434368,0.0023455121349418295,0.00024455623052688225,0.0014256055612971064,0.5,0.0031066569021421797,0.0027829370070847625,-0.0002511013491828251,5.826227384264042e-05,0.48214285714285715,0.008820900577826474,0.0059817331451640365,-0.0025402902533873117,-0.0011149054305334516,0.39285714285714285,0.0124314601948452,0.014611375655680992
htf_1h_15m_structure_5m_pullback_reclaim_strict,1,42,30,12,42,-0.0004929071917958439,-0.00052326452665192,0.4523809523809524,0.0027014994386693747,0.0022972795285441383,0.00017041657179928116,1.681454678122339e-05,0.5238095238095238,0.004325488039163217,0.004071241140593318,-0.0005448176499994184,-0.0003186277338508609,0.42857142857142855,0.006950677270718408,0.006501941564746483,0.002893506033861626,0.0018759264314290233,0.6428571428571429,0.018773174734831866,0.008720408194601514
htf_1h_15m_structure_5m_pullback_reclaim_strict,2,58,42,16,66,-0.0004050229665180094,0.00034659932515097045,0.43103448275862066,0.0033817085632076305,0.0030516975274172964,2.8968779541393985e-05,0.0005704470877521492,0.5172413793103449,0.0044297368901042855,0.0038349433920046305,-0.0004222947173174174,-0.00018895238059654364,0.4827586206896552,0.009986071802541963,0.0057722314267437125,-0.0028523261165782077,-0.0020327285759946627,0.39655172413793105,0.013856216199668592,0.012104328191449132
htf_1h_15m_structure_5m_pullback_reclaim_strict,3,69,57,12,108,-0.00025582417582425965,-0.0002968629749390337,0.4057971014492754,0.0018560801218729939,0.0028586858077082056,-0.0003657894736841527,4.5893397964311816e-05,0.463768115942029,0.0027649769585254003,0.0034156628080609375,-0.0006408453165859251,6.0965111237554375e-05,0.37681159420289856,0.0038128642158004045,0.005961544875722091,-0.000630899879084823,0.00026638553508476497,0.43478260869565216,0.005169756004048454,0.013035327524904328
htf_1h_15m_structure_5m_pullback_reclaim_strict,4,51,34,17,61,-0.00010879915406414309,0.0001540164842664491,0.49019607843137253,0.002907142857142997,0.0028796775421250365,-0.0010259490478276012,-0.0014365639301654421,0.4117647058823529,0.0036582714822519513,0.005389068500739613,-0.0021237518531385113,-0.0014014086385191302,0.37254901960784315,0.007345000000000157,0.011095594894210192,-0.0014643363702271373,-0.001196721675468512,0.4117647058823529,0.015846055979643836,0.013015614186441149
htf_1h_15m_structure_5m_pullback_reclaim_strict,5,66,28,38,84,-6.009735311579556e-05,-0.0001998154204944697,0.48484848484848486,0.0017511327036334734,0.00178793738062627,-0.00039581320934922726,-4.298051375232574e-06,0.4090909090909091,0.002530679941629921,0.0025933513071801917,-0.00036071375238849734,0.000342252551287508,0.4090909090909091,0.004760451615965167,0.005260411829977274,-0.0007449588438683263,0.00048131870072649864,0.3939393939393939,0.012841388323429959,0.007381818181818156
htf_1h_15m_structure_5m_pullback_reclaim_strict,6,70,41,29,77,2.1589363407237272e-05,0.0007478159132084288,0.5142857142857142,0.002252784415051723,0.0018984508895741325,0.00018349138132911502,2.4351268374164395e-05,0.5142857142857142,0.00280653090228955,0.0030676192380576506,-0.00016634701796397477,0.00036681362513859086,0.4714285714285714,0.005409093668164555,0.004759602580688305,0.0006007383887077777,0.002270510400505166,0.5857142857142857,0.015250455706729227,0.008081957962186248
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,0,118,74,44,240,-0.0002139608237212709,-0.00034282418287307127,0.4491525423728814,0.0022559576227961786,0.0026182879923861146,-0.00031150502350008047,0.00020282030009947537,0.4406779661016949,0.0037253334525098047,0.00381076595261004,0.00022467863118047493,-0.00013953560183759618,0.5,0.007469081272084788,0.0059714338672050005,-0.0016685930640637503,-0.000956512387241554,0.4406779661016949,0.015710081666096665,0.01450722808655236
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,1,91,62,29,127,0.0,0.00013053514309491809,0.4945054945054945,0.002634590052018826,0.0031602053711681233,0.00015855481640736357,0.0003236606417548328,0.5164835164835165,0.004344503470889549,0.004798274762093491,-0.0005449793565869276,0.0003177759237929213,0.46153846153846156,0.00921939397306315,0.006505891475014902,0.0018812660455729269,0.0016442642751745263,0.5824175824175825,0.01839490523393339,0.009539737964983641
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,2,104,73,31,181,-0.0004035732811615289,0.0002614936539085133,0.4423076923076923,0.0030326530773654437,0.0030516975274172964,-0.0003608495688038338,0.0002837051014616719,0.47115384615384615,0.004601363174302375,0.004315496746263581,-0.001373853723275864,-0.0004707256003497046,0.4326923076923077,0.008975497609934657,0.0064585524957104234,-0.0031867599100574018,-0.0014535785125963396,0.40384615384615385,0.013998687808500443,0.012762058417479405
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,3,129,95,34,269,-0.0003537170622345265,-0.0005095991745363643,0.4263565891472868,0.0020607613469985075,0.0030750307503074614,-0.0003657894736841527,0.00016024921779779735,0.4573643410852713,0.0031474902906367674,0.004259699853587096,-0.0005027049914557713,-0.00011017120947740183,0.4418604651162791,0.004450383919504697,0.006208947713651547,-0.000630899879084823,-0.0001979838852410142,0.4496124031007752,0.01354712668688185,0.011797490483129058
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,4,151,100,51,324,0.00016393018299787343,0.000706914949497624,0.543046357615894,0.0033721145702361177,0.0028796775421250365,-0.00010509577423600813,0.00023730497318847276,0.4900662251655629,0.005365832203789722,0.0045735998501512665,-0.0015380706763125085,-0.0002988501148285888,0.4105960264900662,0.011362595419847299,0.008444216990788123,-0.0014643363702271373,-0.00041836295901392375,0.4304635761589404,0.015695163152717795,0.011058995351711176
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,5,120,52,68,242,-0.00017769521169858082,0.00027835795508259024,0.475,0.001911166887900162,0.002104542078620375,-0.0004518023493850776,-0.00013731210463791184,0.4,0.0028945325585352233,0.0027790791435786666,-0.0003069518385319103,0.0004283506134941985,0.44166666666666665,0.00650940723068294,0.005475517998775881,-0.00044418487257802397,0.0005661997331874336,0.4583333333333333,0.0130157635694651,0.0072827272727272185
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,6,123,69,54,208,0.00018065730275762526,0.00033209015097810973,0.5365853658536586,0.002456868868446982,0.0020601411564790117,6.0997181930089184e-05,-0.00022364104874814534,0.5040650406504065,0.003356862745097944,0.0033684249873419114,0.0008977192013257529,0.0009115831200161942,0.5528455284552846,0.009557702783281385,0.004883895455682574,0.0018506587453459566,0.0032121942672962223,0.6341463414634146,0.015400078064012446,0.007760824644001185
htf_1h_15m_structure_no_overextension,0,459,262,197,2537,-0.0001714713576149718,-0.0003385798055325743,0.4793028322440087,0.0031657894736840664,0.003246253116460096,-0.00033109762589167424,-0.00030103877878611746,0.4662309368191721,0.005024330900243346,0.0045988914203979325,-0.00012318419327428387,-0.00020982151261741996,0.4923747276688453,0.011141747572815497,0.007099485473228473,-0.0014774695076906763,-0.0016046598122746393,0.45751633986928103,0.016631436206277606,0.013780268857941924
htf_1h_15m_structure_no_overextension,1,362,213,149,1727,5.80244418291187e-06,0.00022008845318554078,0.5,0.0033195486786061768,0.003426189572199423,0.00014324024055323292,0.00011203806842713596,0.5138121546961326,0.005471329828251603,0.005032409740112098,-0.00018308883520901098,-8.173818682041643e-06,0.48066298342541436,0.00985016142515649,0.007294573699145823,7.461990606794089e-05,0.0004697613757528476,0.505524861878453,0.017817703129483498,0.010831092927509167
htf_1h_15m_structure_no_overextension,2,397,255,142,2158,-0.0001433964091305251,0.00024997504855348837,0.4760705289672544,0.0031100260162055804,0.0030630630630630318,-0.0006074215085470902,-0.0006338206048490526,0.4357682619647355,0.004459630340141851,0.0045412144791026066,-0.0013449043487439027,-0.001054214788429193,0.4282115869017632,0.007927119962434448,0.006944102796773377,-0.0021112726104840496,-0.0013237100915556752,0.4105793450881612,0.013357955831671653,0.012800881027287603
htf_1h_15m_structure_no_overextension,3,451,334,117,2661,-1.08064882154979e-05,0.00023575479140144407,0.49889135254988914,0.0027635093048457016,0.002797187711789051,-0.0001979008185571951,0.00034869442485172523,0.49002217294900224,0.004234721869262659,0.004297950242116433,0.00010543488054226557,0.0005715728096934045,0.5077605321507761,0.008837938906377074,0.0063436657982051115,0.0008117304281065607,0.0007481428539203165,0.5254988913525499,0.016829126213592227,0.01156468853667536
htf_1h_15m_structure_no_overextension,4,456,276,180,2624,-0.00013716728139911982,-6.972869920512108e-05,0.4824561403508772,0.0032236343659129973,0.003562589673057226,-0.0006409561805577613,-0.00023781777459917823,0.45394736842105265,0.005023080344662811,0.005119694186780155,-0.0011635110613849586,-0.00038806390587414166,0.42105263157894735,0.010536134992138457,0.008688105814159464,-0.0015832315550307063,-0.0011635244524299184,0.42543859649122806,0.014962420230860807,0.012260850592131
htf_1h_15m_structure_no_overextension,5,369,173,196,2033,-0.0003124770237482588,-7.349257623177148e-05,0.44715447154471544,0.002305644333335355,0.002518897707420531,-0.0004965430978791652,-0.00030997025995032924,0.4146341463414634,0.0034564471318843104,0.0035688012181143147,-0.0007031556804304451,-0.000404779011225772,0.42276422764227645,0.006608472294550305,0.005495726495726494,-0.0010802840387804657,-0.0004448388211750269,0.4173441734417344,0.013421018576251997,0.008290181132378671
htf_1h_15m_structure_no_overextension,6,387,187,200,1968,7.309326052373777e-05,2.136872050026002e-05,0.5142118863049095,0.0023267543935410195,0.0024711776306589606,0.00017431167860282315,0.0002552162626424696,0.5193798449612403,0.00348838483520586,0.0035593869731801453,-0.00017500343937393303,0.0002345075515882955,0.48320413436692505,0.007084304838048672,0.005927573964497057,0.0006594303777593957,0.0019183601261371708,0.5348837209302325,0.014876224858174192,0.008967546830522366
htf_1h_15m_structure_strict_vol_cap,0,197,135,62,840,-0.00030085521656963987,-0.00036804375259140887,0.45685279187817257,0.0021008403361344463,0.002523609873600896,-0.0001139110734220683,0.00027508384930944875,0.48223350253807107,0.003492179353493219,0.003609428096442935,0.00021421359174844667,0.0009471859172607497,0.5329949238578681,0.01153277310924361,0.005742555789188142,-0.00014710848247578845,0.00036839643008578887,0.48223350253807107,0.017929320414613592,0.01415636863633607
