policy_name,direction,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_5m_pullback_reclaim,long,798,798,0,2391,-0.00012033732929250807,0.00011784717127412987,0.47368421052631576,0.00263630423218586,0.0029098156012236087,-0.00016068260097740206,0.0002460787006628206,0.4824561403508772,0.00420661969408509,0.003986900383627867,-0.00024150982995524428,-9.781451557290993e-06,0.474937343358396,0.0086277847926447,0.00621710689175109,-0.0002944933300962904,-0.0001081886862657478,0.4924812030075188,0.014569158399659665,0.010416086608590391
htf_1h_15m_structure_5m_pullback_reclaim,short,554,0,554,1349,-0.0002001549402757541,-9.510080491942954e-05,0.47653429602888087,0.003375983832862084,0.003613518508329361,-0.0006149097830258077,-0.00021981122361263098,0.44765342960288806,0.004845958118719351,0.005273468920896529,-0.0008897370519673764,-0.00022265839709651445,0.45126353790613716,0.009535782638414259,0.007262330842218889,-0.001469337876386534,-0.0002455759075274442,0.44765342960288806,0.015503825405702498,0.01165729826538997
htf_1h_15m_structure_5m_pullback_reclaim_strict,long,270,270,0,385,-0.00023105626204344976,-0.00014196959851351388,0.42962962962962964,0.0020542601441094765,0.0023302549417920093,-0.00011674034022934876,0.00014397309849613688,0.4777777777777778,0.002816846690158692,0.003290536996755744,-0.0005448176499994184,-0.0003308949852386636,0.43703703703703706,0.0055474473600674035,0.005816104226841978,-0.0006099764374554173,-0.0004354262222699367,0.4666666666666667,0.011604516027240774,0.011301770405232725
htf_1h_15m_structure_5m_pullback_reclaim_strict,short,142,0,142,132,1.3646724189686488e-05,0.0002624299153905582,0.5,0.002419483072094719,0.002142774055692187,-0.0003597900225930095,4.278956556086735e-05,0.47183098591549294,0.0037896101223442447,0.003560291746860511,-0.0006367958166566545,0.0003469232725977735,0.4225352112676056,0.007548069747379871,0.006640172969981817,-0.0007058410780205193,0.0011554337138774884,0.4507042253521127,0.015786988364910215,0.008459447226292882
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,long,525,525,0,1111,-0.00013690091286688855,8.503840721967853e-05,0.4666666666666667,0.0022565393726445837,0.002535398189049465,-0.00012656625743578953,0.000296123609818629,0.4819047619047619,0.003479058101388377,0.003700561060440921,-0.00043979813945005386,0.00017277423761182447,0.45714285714285713,0.0070295358649790085,0.005828615695315231,-0.0004261143863488748,6.037688335523634e-05,0.4857142857142857,0.013306401900962772,0.009869740724041343
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,short,311,0,311,480,4.029333548238867e-05,0.0002226094138197358,0.5112540192926045,0.0029582195723383276,0.0026283269468415638,-0.00047899368936410447,-0.00019309888198242617,0.4437299035369775,0.004248582710562276,0.004360193490042352,-0.00039600913705850616,-7.402310326258414e-05,0.4694533762057878,0.010376746959836147,0.006666363636363637,-0.00033510837001815563,0.0007338285952655762,0.4758842443729904,0.01605454677337459,0.010804024543348612
htf_1h_15m_structure_no_overextension,long,1700,1700,0,9578,-8.179422367732281e-05,3.5000817679917106e-05,0.4835294117647059,0.0026362624103056786,0.002900528152664339,-0.00020690363348968566,-0.0001795077654692178,0.47294117647058825,0.0040179823948941484,0.004109330412837953,-0.00045683804432244957,-0.00018297376723210119,0.4641176470588235,0.008185592798231278,0.006432625112755108,-0.0003443709623173197,-0.00042260150897977227,0.4747058823529412,0.014568149866965197,0.010968683883754882
htf_1h_15m_structure_no_overextension,short,1181,0,1181,6130,-0.00010340213292237,1.6666089603880596e-05,0.48856900931414055,0.0032639340517941484,0.0031884057971014457,-0.00032938228793011337,-9.209694672092503e-06,0.46655376799322607,0.004989378727735083,0.004682005495100228,-0.0005788370158951173,-0.00015624191359071564,0.46147332768839966,0.009500465116279111,0.007119845710543249,-0.001249400481832419,9.7625264335321e-06,0.45808636748518206,0.015784863121597548,0.011185456605243171
htf_1h_15m_structure_strict_vol_cap,long,1174,1174,0,5754,-0.00026149577006850944,-0.000318338709362793,0.44804088586030666,0.0020182453348955853,0.0026935476733901953,-0.0003176009280351777,-0.00026450838166139454,0.4557069846678024,0.003318606210909958,0.0038038839682324466,-0.0005920365833295693,-0.0001906852024598476,0.4488926746166951,0.00621189896479124,0.00600402454991511,-0.0004390047669371455,-0.0003166301515040313,0.4676320272572402,0.013125196638333114,0.010591534434931382
htf_1h_15m_structure_strict_vol_cap,short,689,0,689,2794,-0.0002812699843698363,-0.00022089141932523816,0.46008708272859217,0.0024293372094099652,0.002800589553218602,-0.0004863521466401677,-0.00042884312840284195,0.4296081277213353,0.003567257559958348,0.004109077325364252,-0.0006470692313524928,-0.0006494506209350235,0.43541364296081275,0.00794509345794392,0.006505891475014902,-0.0006679158828567511,0.0005946209549220572,0.4818577648766328,0.015574066020658917,0.010860893713708686
