policy_name,hour,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_5m_pullback_reclaim,0,69,37,32,196,0.0003094035929598338,0.0004134451079739408,0.5652173913043478,0.0046253991347726675,0.002898285714285742,-1.3327797171447386e-05,0.0007196178856789352,0.4927536231884058,0.0055441666342355145,0.005092970785240181,0.0010628228383946503,5.781458153692473e-05,0.5797101449275363,0.010426685460048768,0.006225266069850632,-0.0008014654317480829,-1.633048637695239e-05,0.4927536231884058,0.01607111975283826,0.00963161711219973
htf_1h_15m_structure_5m_pullback_reclaim,1,59,33,26,190,0.000670528413641458,0.0008159850947104996,0.6440677966101694,0.0033369109894991755,0.0026347225909211236,0.001252304621432554,0.0011984972186691871,0.6271186440677966,0.004998434494789095,0.003774175474517194,-0.0018146038769841777,-0.001962081208747029,0.3728813559322034,0.006409215300628546,0.005979300987211,-0.0030630110450929893,-0.0035347265608822206,0.3728813559322034,0.011234501420169352,0.01297988180717713
htf_1h_15m_structure_5m_pullback_reclaim,2,67,38,29,190,-6.287897683332488e-05,0.00023225181093251027,0.47761194029850745,0.0030109562438001003,0.003625341189762765,-0.0011756284840466202,-0.000446034536395234,0.43283582089552236,0.003840206185566908,0.004790056318636493,-0.0009454451028069188,-0.0006020855144883509,0.44776119402985076,0.0069077360970581925,0.007076709559017735,-0.002348042228071945,-0.0010934732265452708,0.44776119402985076,0.013956385390336834,0.013748893439664456
htf_1h_15m_structure_5m_pullback_reclaim,3,62,35,27,185,-0.0005513796159246631,-0.000843693969349291,0.4032258064516129,0.0028952578302974263,0.0031566417794058887,-0.0013426057890125187,-0.000374639580924623,0.3870967741935484,0.004495799511569087,0.006108301804973293,-0.002707473915425862,-0.0013488151206563913,0.4032258064516129,0.01078549566247744,0.008649871871912851,-0.0029572874299977903,-0.002500583823192266,0.41935483870967744,0.013170373842903316,0.014422163708871338
htf_1h_15m_structure_5m_pullback_reclaim,4,52,29,23,160,-0.0009242726957223724,-0.001175200927967942,0.34615384615384615,0.0016823013477065274,0.003719666354530693,-0.001989741146392776,-0.0015144081521214704,0.34615384615384615,0.0021879050132004307,0.004466896670096809,-0.002243235468444571,-0.0017037034324609056,0.34615384615384615,0.00484035137995964,0.006141011853581568,-0.0037939448630916472,-0.0033759415128238024,0.3076923076923077,0.009479957213852863,0.009043364033087031
htf_1h_15m_structure_5m_pullback_reclaim,5,58,27,31,171,-0.0007930943237231536,-0.0004051420644393103,0.41379310344827586,0.002773494970749635,0.0038887692708002852,-0.0005655653401451799,-0.0007866802206128989,0.41379310344827586,0.0038342537631780305,0.005469752163148656,-0.0020753940797139103,-0.0012734970923305253,0.39655172413793105,0.007116494711653321,0.007183475161446351,-0.0034497849944903347,-0.0031944553349453533,0.3103448275862069,0.010844118652345136,0.013219826216629371
htf_1h_15m_structure_5m_pullback_reclaim,6,51,27,24,123,0.00024064743634677477,-0.0006797800057268625,0.5686274509803921,0.0027258578869207017,0.002276044517423803,-0.00026339914891293503,-0.00020271696630252422,0.49019607843137253,0.005862708402216699,0.0030956598759964704,-0.0002334877465630658,0.00033591731863983715,0.45098039215686275,0.010418999999999956,0.005319872947460835,-0.0007986043728160919,-0.0010722255065456646,0.47058823529411764,0.01327544493686994,0.010956325979288528
htf_1h_15m_structure_5m_pullback_reclaim,7,49,27,22,158,-0.0007478892487410294,-0.0002759049541554307,0.3673469387755102,0.00410310142497905,0.0034223076314682244,-0.0027442292933714807,-0.000648105150826708,0.32653061224489793,0.005339101623189846,0.005416912697866372,-0.002503025861856023,-0.0007231345549653645,0.30612244897959184,0.007409168018974288,0.007700353350069911,-0.002426964280033972,-0.0014496461395877161,0.40816326530612246,0.012103068670073602,0.011413762052228105
htf_1h_15m_structure_5m_pullback_reclaim,8,60,37,23,166,-0.0005588150375248624,-0.000619236048530338,0.43333333333333335,0.00269770091988919,0.004334548686501405,-0.0016713239410683922,-0.000844273757217288,0.4,0.00408645739557667,0.0061827739254965985,-0.0012501076821631596,-0.0006969457570770647,0.4,0.006896706847673073,0.0071415372014179135,-0.0025391523903983138,-0.0020591746703986944,0.4,0.013603398257580834,0.012655324980778926
htf_1h_15m_structure_5m_pullback_reclaim,9,44,33,11,130,-7.421090118497897e-05,0.0002651593356751792,0.4772727272727273,0.0036199696803481674,0.004478563388958523,-0.0004975203037519416,0.0007888368260169895,0.4772727272727273,0.004682121876946832,0.005623416972478701,0.00022952916003649015,0.0019708574276348645,0.5,0.008580824762231432,0.006411733150193555,-0.00022037511423472766,0.003981299723021346,0.45454545454545453,0.015613101085422354,0.009298250423377896
htf_1h_15m_structure_5m_pullback_reclaim,10,54,38,16,132,0.00010656001596132114,0.00012126513269394845,0.5,0.0029060777007846594,0.0035268923353053983,-0.0008000178429468097,-0.0002892212094244346,0.42592592592592593,0.0042435642150885355,0.004230807890139465,-0.001463599379270597,-0.00044793047279218163,0.3888888888888889,0.0055357462514501465,0.0071038983953531365,-0.002358298830774319,-0.0029592291056532776,0.4444444444444444,0.013106816234871532,0.011708816030932767
htf_1h_15m_structure_5m_pullback_reclaim,11,51,30,21,145,-0.0003879425092953026,0.00013462957102448962,0.4117647058823529,0.0024256398611859353,0.0024798259135008216,-0.00026028182175208414,-0.000535914634285782,0.45098039215686275,0.0037636061742820637,0.004201548227815044,0.0013444739525041438,0.0014672321744698788,0.5490196078431373,0.007233303650935108,0.006615575720955502,0.0005556588969812815,0.0030687411318102895,0.5686274509803921,0.016941848390446435,0.010356334558461744
htf_1h_15m_structure_5m_pullback_reclaim,12,50,34,16,131,-0.00018306568446091465,8.919872369128612e-07,0.5,0.0016819200328473949,0.0026914432206694983,-0.0002886966266184565,-0.00044476037117003876,0.44,0.0036747458508450404,0.003443429084868499,0.001144823316520549,0.000622957741288086,0.56,0.009024710122652158,0.00482384808031483,9.117779254697034e-05,0.0015389639448284153,0.5,0.014361380981467775,0.009987494247104545
htf_1h_15m_structure_5m_pullback_reclaim,13,54,34,20,153,0.0004623859737412639,0.0012210116304748597,0.5740740740740741,0.0022059252645842964,0.002309765442220113,0.00037495904856632567,0.002417685546605932,0.5740740740740741,0.0026912003916702565,0.002615200515961258,0.00044867036792650694,0.0015034606579421798,0.5185185185185185,0.006104988517797727,0.004886818457589814,0.0007543159990697212,0.0026340099876618977,0.5185185185185185,0.011796864077558422,0.008329356083300876
