exit_variant,oracle,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share
atr_chandelier_3x,False,78672,-732980.8339252188,-882433.8215500438,-934612.909798679,2571592,True,0.3517007321537523,0.7605899153743415,946520.7546630228,0.7080972044851922,-1.5462089457149564,0.40654850291966815,0.6528243847874721,0.6343298759406142
atr_chandelier_5x,False,78672,-1500289.9705101675,-1649742.9581349923,-1747046.645328633,5014087,True,0.3612212731340248,0.6934364179365025,1753567.8451126958,0.7945201186500291,-1.0400391961205324,0.466567052552656,0.5743339434614603,0.6343298759406142
fixed_hold_longer_2x,False,78672,-310405.17975053506,-459858.16737536015,-460351.5338550814,172744,True,0.4156370754525117,0.6099201874037578,460534.6652029676,0.5998349252244175,-0.7656435610891212,0.11961109213598177,0.9327587960138296,0.6343298759406142
fixed_hold_longer_4x,False,78672,-293365.91743765055,-442818.9050624755,-444286.0603107912,339367,True,0.4312843197071385,0.6865922952492393,444887.67271252925,0.5955647192346172,-1.0389439477903493,0.17000534797448075,0.9029896278218426,0.6343298759406142
oracle_hold_to_trend_end,True,78672,1718325.4094206318,1568872.4217958066,1535040.9878735838,1811238,True,0.5423784828147244,1.337926806897614,72522.69676778959,0.41672564133477585,1.8946025148283014,0.5148503929274417,0.49392414073622126,0.6343298759406142
original_exit,False,78672,-332658.0758030605,-482111.06342788547,-482182.4396348385,127258,True,0.3695978238763474,0.49448756747108324,482270.5650557701,0.6000803653066079,-0.5421689726121738,0.06876869816236045,0.9613077079520033,0.6343298759406142
swing_trailing_exit,False,78672,-527499.8983372705,-676952.8859620956,-690418.8073051048,492957,True,0.33884990848078095,0.6388465278074769,692011.0014127808,0.7734502599512226,-0.9507673392218238,0.21264715877986412,0.864843908887533,0.6343298759406142
time_stop_if_no_progress,False,78672,-526771.9332475873,-676224.9208724123,-676521.1862644017,140610,True,0.3672335773845841,0.4118360290751734,676626.0923671329,0.5506611329027995,-0.38746270480929734,0.0859471554684754,0.9524735611145008,0.6343298759406142
