policy_name,side,entry_count,skipped_count,avg_return,median_return,win_rate,avg_r,median_r,expectancy_r,max_drawdown_r_est,stop_first_rate,tp_first_rate,horizon_exit_rate,best_horizon,best_stop_atr,best_tp_atr
momentum_followthrough_3bar,long,253,551,-0.0002116661468763375,-0.0008655828658061374,0.19367588932806323,0.13862089449107032,-0.9999999999999886,0.13862089449107032,47.92891369375582,0.8023715415019763,0.1857707509881423,0.011857707509881422,120,1.0,5.0
momentum_followthrough_3bar,short,295,617,-0.0003831533920440317,-0.0009854508863457625,0.19661016949152543,0.12534330151098041,-0.999999999999984,0.12534330151098041,45.13855122838329,0.8033898305084746,0.18305084745762712,0.013559322033898305,120,1.0,5.0
avoid_stop_first_profile,long,332,472,-0.00025397547836181325,-0.0007183739841437484,0.2891566265060241,0.024875827410656866,-0.9999999999999662,0.024875827410656866,51.77389945551114,0.641566265060241,0.06626506024096386,0.2921686746987952,15,1.0,5.0
avoid_stop_first_profile,short,343,569,-0.00022474136883137542,-0.0008441817727744736,0.30612244897959184,0.11708532189313021,-0.9999999999999707,0.11708532189313021,48.75389740390654,0.6501457725947521,0.10204081632653061,0.2478134110787172,15,1.0,5.0
delayed_confirm_3bar,long,338,466,-0.000254961949222151,-0.0007347540414087253,0.2692307692307692,0.029458279951356976,-0.9999999999999662,0.029458279951356976,57.7308318507819,0.6686390532544378,0.08284023668639054,0.2485207100591716,15,1.0,5.0
delayed_confirm_3bar,short,364,548,-0.00029584196503932566,-0.0008366459171658305,0.27197802197802196,0.09424696680861408,-0.9999999999999714,0.09424696680861408,39.19672273291272,0.6785714285714286,0.11263736263736264,0.2087912087912088,15,1.0,5.0
delayed_confirm_1bar,long,348,456,-0.0003310835201158005,-0.0007690509105169676,0.27873563218390807,-0.004037664500019254,-0.9999999999999705,-0.004037664500019254,64.97407474170367,0.6695402298850575,0.07183908045977011,0.25862068965517243,15,1.0,5.0
delayed_confirm_1bar,short,388,524,-0.0003052671621081053,-0.0008834612728629077,0.2757731958762887,0.04936955734731749,-0.9999999999999728,0.04936955734731749,53.27355303392696,0.6829896907216495,0.10309278350515463,0.21391752577319587,15,1.0,5.0
skip_large_breakout_gt_1atr,long,678,126,-0.000882796862115743,-0.00041164089967970347,0.42920353982300885,-0.034783692147836866,-0.08200276518808665,-0.034783692147836866,37.20121335087455,0.11061946902654868,0.08702064896755163,0.8023598820058997,15,4.0,5.0
skip_large_breakout_gt_1atr,short,734,178,-0.0006194725585122785,-0.00044059196719712745,0.44005449591280654,-0.031951301385856216,-0.08756001005804336,-0.031951301385856216,34.65004836726015,0.12670299727520437,0.09673024523160763,0.776566757493188,15,4.0,5.0
skip_large_breakout_gt_2atr,long,743,61,-0.0009791492050698375,-0.0004613369523372118,0.4226110363391655,-0.049902648031825925,-0.09111700855061285,-0.049902648031825925,47.02728483373795,0.1278600269179004,0.09286675639300135,0.7792732166890982,15,4.0,5.0
skip_large_breakout_gt_2atr,short,834,78,-0.0006112151739690645,-0.00046866792358413395,0.44004796163069543,-0.028457311527650003,-0.09466902163103011,-0.028457311527650003,36.15467781140243,0.13189448441247004,0.1079136690647482,0.7601918465227818,15,4.0,5.0
small_to_mid_breakout_0_25_to_1atr,long,278,526,-0.0008350875880714424,-0.0004739995563989362,0.42805755395683454,-0.02756178817604643,-0.0857869888738586,-0.02756178817604643,16.52280970643236,0.11870503597122302,0.11151079136690648,0.7697841726618705,15,4.0,5.0
small_to_mid_breakout_0_25_to_1atr,short,320,592,-0.0008446310521256955,-0.0005379781751495888,0.434375,-0.05773785949606618,-0.11800097927546596,-0.05773785949606618,22.26162423957124,0.153125,0.1,0.746875,15,4.0,5.0
immediate_baseline,long,804,0,-0.0010770523809454616,-0.0004946924679634118,0.4129353233830846,-0.07091801599222106,-0.11322418907570247,-0.07091801599222106,58.255127700685605,0.15049751243781095,0.09701492537313433,0.7524875621890548,15,4.0,5.0
immediate_baseline,short,912,0,-0.0007627276856888279,-0.0005834751067101316,0.42653508771929827,-0.04604614039882711,-0.11651977786489642,-0.04604614039882711,54.41536004107263,0.15021929824561403,0.11513157894736842,0.7346491228070176,15,4.0,5.0
pullback_to_breakout_level_10bar,long,671,133,-0.0011764709072302668,-0.0005555555555555556,0.38152011922503726,-0.10584874566590027,-0.12924348267402117,-0.10584874566590027,71.10397411126068,0.13859910581222057,0.06259314456035768,0.7988077496274217,15,4.0,5.0
pullback_to_breakout_level_10bar,short,734,178,-0.0008193225602763184,-0.0004779841006751945,0.3896457765667575,-0.07483326448664368,-0.09804296555333408,-0.07483326448664368,56.2324899789585,0.13760217983651227,0.07356948228882834,0.7888283378746594,15,4.0,5.0
pullback_to_breakout_level_5bar,long,634,170,-0.0012552303974619852,-0.0005833095249102531,0.37381703470031546,-0.11213044714736314,-0.13393130477043763,-0.11213044714736314,71.17016926086983,0.138801261829653,0.061514195583596214,0.7996845425867508,15,4.0,5.0
pullback_to_breakout_level_5bar,short,687,225,-0.000858404090291687,-0.0005048116675320274,0.38282387190684136,-0.0785271378134086,-0.10186099723171843,-0.0785271378134086,54.805610833935354,0.13537117903930132,0.07423580786026202,0.7903930131004366,15,4.0,5.0
