policy_name,horizon_m,stop_atr,tp_atr,entry_count,skipped_count,avg_return,median_return,win_rate,avg_r,median_r,expectancy_r,max_drawdown_r_est,stop_first_rate,tp_first_rate,horizon_exit_rate,notes
immediate_baseline,15,1.0,1.5,1716,0,-0.0005702918959001457,-0.000846049873274932,0.3152680652680653,-0.23960051231790294,-1.0,-0.23960051231790294,429.65447913752143,0.6555944055944056,0.26515151515151514,0.07925407925407925,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,2.0,1716,0,-0.0005253456498956366,-0.0008705388751093744,0.2942890442890443,-0.19498383786199028,-1.0,-0.19498383786199028,359.59226577117533,0.671911421911422,0.21503496503496503,0.11305361305361306,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,2.5,1716,0,-0.0004656336991241604,-0.0008886355109060757,0.28263403263403264,-0.15290813154009916,-1.0,-0.15290813154009916,290.39035372281,0.6812354312354313,0.1794871794871795,0.13927738927738928,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,3.0,1716,0,-0.00045860594129821516,-0.0009011447911892003,0.2738927738927739,-0.13661204106271826,-1.0,-0.13661204106271826,273.65726644432243,0.6888111888111889,0.14277389277389277,0.1684149184149184,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,4.0,1716,0,-0.00045223937776611765,-0.0009175094328726599,0.26165501165501165,-0.11994699933612607,-1.0,-0.11994699933612607,276.1986261093982,0.6987179487179487,0.0944055944055944,0.20687645687645687,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,5.0,1716,0,-0.00043151035016311684,-0.0009185928685675141,0.25757575757575757,-0.0866211187388136,-1.0,-0.0866211187388136,254.26573898886124,0.7027972027972028,0.07459207459207459,0.22261072261072262,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,1.5,1716,0,-0.0007169518203704189,-0.0009430980943095418,0.3951048951048951,-0.2023054798223369,-1.0,-0.2023054798223369,361.15620337513025,0.5093240093240093,0.3146853146853147,0.175990675990676,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,2.0,1716,0,-0.0006753462609869733,-0.0010077809937768592,0.3706293706293706,-0.17288629783149823,-1.0,-0.17288629783149823,315.3395537455174,0.5250582750582751,0.2540792540792541,0.22086247086247085,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,2.5,1716,0,-0.000635266179460325,-0.0010433424476643245,0.35664335664335667,-0.14516737096637827,-1.0,-0.14516737096637827,269.7738752449736,0.534965034965035,0.21212121212121213,0.2529137529137529,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,3.0,1716,0,-0.000646192184413035,-0.001082531567810147,0.34615384615384615,-0.13596242872295494,-1.0,-0.13596242872295494,253.73191580449569,0.5431235431235432,0.1684149184149184,0.28846153846153844,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,4.0,1716,0,-0.0006340632577050227,-0.0011060943925818546,0.3327505827505827,-0.12077833909792336,-1.0,-0.12077833909792336,235.67601800794225,0.553030303030303,0.11421911421911422,0.3327505827505827,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,5.0,1716,0,-0.0006016545522847111,-0.0011128188435980606,0.32925407925407923,-0.08798299936456175,-1.0,-0.08798299936456175,198.01929991297033,0.5553613053613053,0.09149184149184149,0.3531468531468531,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,1.5,1716,0,-0.0007585248731655334,-0.0004989729887568105,0.44522144522144524,-0.15576151352331954,-0.22312606043828637,-0.15576151352331954,277.78675720601615,0.36713286713286714,0.34032634032634035,0.2925407925407925,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,2.0,1716,0,-0.0007271372937463572,-0.0007060584609505944,0.4195804195804196,-0.13406516125549872,-0.28759994945010015,-0.13406516125549872,244.05581671443568,0.3787878787878788,0.2727272727272727,0.3484848484848485,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,2.5,1716,0,-0.0006820536940379452,-0.0008009039875388163,0.40559440559440557,-0.11172974215870837,-0.3204269154042714,-0.11172974215870837,206.97823754434336,0.38752913752913754,0.229020979020979,0.38344988344988346,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,3.0,1716,0,-0.0006905908423507208,-0.0008729834623732572,0.3956876456876457,-0.10269359533970436,-0.3434461118816998,-0.10269359533970436,191.0375006898613,0.3939393939393939,0.18240093240093241,0.42365967365967366,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,4.0,1716,0,-0.0006779545234447161,-0.0009449199155887704,0.3817016317016317,-0.091377913171612,-0.38533119672097815,-0.091377913171612,176.61979008941492,0.40326340326340326,0.12412587412587413,0.4726107226107226,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,5.0,1716,0,-0.0006378091059599929,-0.0009582118339698216,0.3782051282051282,-0.06414725448761764,-0.3945141962124563,-0.06414725448761764,139.1615404165575,0.40501165501165504,0.09906759906759907,0.4959207459207459,Signal time immediate entry at trace price.
immediate_baseline,15,2.5,1.5,1716,0,-0.0008401396913833919,-0.00033184330509830487,0.46386946386946387,-0.14089910610301573,-0.10860699703999616,-0.14089910610301573,250.18286607277787,0.2837995337995338,0.351981351981352,0.36421911421911424,Signal time immediate entry at trace price.
immediate_baseline,15,2.5,2.0,1716,0,-0.0008141607191008334,-0.00048783495535559057,0.4370629370629371,-0.12496967815263262,-0.16994655267269032,-0.12496967815263262,225.6479677099155,0.2937062937062937,0.28088578088578087,0.4254079254079254,Signal time immediate entry at trace price.
immediate_baseline,15,2.5,2.5,1716,0,-0.0007583626189026905,-0.0005838577432540652,0.42424242424242425,-0.10497955879792308,-0.1947058674922958,-0.10497955879792308,192.14492289723623,0.30011655011655014,0.2365967365967366,0.4632867132867133,Signal time immediate entry at trace price.
immediate_baseline,15,2.5,3.0,1716,0,-0.0007780169133496639,-0.0006495279555219827,0.4131701631701632,-0.1001468332843882,-0.21758884845744514,-0.1001468332843882,183.48131598137175,0.30652680652680653,0.18822843822843824,0.5052447552447552,Signal time immediate entry at trace price.
immediate_baseline,15,2.5,4.0,1716,0,-0.0007697260618550055,-0.0007361941441350625,0.3991841491841492,-0.09148158122837648,-0.2410059636363812,-0.09148158122837648,173.41174345325584,0.3141025641025641,0.1282051282051282,0.5576923076923077,Signal time immediate entry at trace price.
immediate_baseline,15,2.5,5.0,1716,0,-0.000736770942405286,-0.0007772347019593259,0.3951048951048951,-0.07069750191643558,-0.24598777996827884,-0.07069750191643558,142.94626335396424,0.31643356643356646,0.10198135198135198,0.5815850815850816,Signal time immediate entry at trace price.
immediate_baseline,15,3.0,1.5,1716,0,-0.0008676289756098429,-0.00023675730035283902,0.4761072261072261,-0.11947093010703178,-0.062281416442165505,-0.11947093010703178,212.0121160636664,0.20512820512820512,0.3583916083916084,0.4364801864801865,Signal time immediate entry at trace price.
immediate_baseline,15,3.0,2.0,1716,0,-0.0008463896835850992,-0.00041675807617819503,0.4493006993006993,-0.10610960880813221,-0.11042268166486263,-0.10610960880813221,191.41742204808824,0.21328671328671328,0.2872960372960373,0.4994172494172494,Signal time immediate entry at trace price.
immediate_baseline,15,3.0,2.5,1716,0,-0.0007942169241060482,-0.0004723131157921479,0.4364801864801865,-0.08985555393198526,-0.12935397641331067,-0.08985555393198526,164.02546388062018,0.2196969696969697,0.24242424242424243,0.5378787878787878,Signal time immediate entry at trace price.
immediate_baseline,15,3.0,3.0,1716,0,-0.000812342935771635,-0.0005193063916218388,0.4254079254079254,-0.08537130337371847,-0.15125400368879371,-0.08537130337371847,156.02161497710148,0.22494172494172493,0.19347319347319347,0.5815850815850816,Signal time immediate entry at trace price.
immediate_baseline,15,3.0,4.0,1716,0,-0.0008164733550854754,-0.000619171524130906,0.41083916083916083,-0.08037268603543914,-0.17451788768286475,-0.08037268603543914,150.77732095794784,0.23135198135198135,0.13053613053613053,0.6381118881118881,Signal time immediate entry at trace price.
immediate_baseline,15,3.0,5.0,1716,0,-0.0007835354950813567,-0.0006371988842469294,0.40675990675990675,-0.06273182762276479,-0.17997338028330928,-0.06273182762276479,124.83894125513152,0.23368298368298368,0.10372960372960373,0.6625874125874126,Signal time immediate entry at trace price.
immediate_baseline,15,4.0,1.5,1716,0,-0.000953567476483326,-6.923515537966937e-05,0.49125874125874125,-0.09751771229609209,-0.012780471990444455,-0.09751771229609209,173.28968969620303,0.1282051282051282,0.3682983682983683,0.5034965034965035,Signal time immediate entry at trace price.
immediate_baseline,15,4.0,2.0,1716,0,-0.0009450069185708103,-0.0003007853046760053,0.4632867132867133,-0.08819549398364236,-0.059598014702462496,-0.08819549398364236,158.82120743062347,0.13344988344988346,0.2942890442890443,0.5722610722610723,Signal time immediate entry at trace price.
immediate_baseline,15,4.0,2.5,1716,0,-0.0008975803984988103,-0.0003781679960593678,0.45104895104895104,-0.07571008954983202,-0.07748397712540141,-0.07571008954983202,137.05714812138987,0.1381118881118881,0.24883449883449885,0.6130536130536131,Signal time immediate entry at trace price.
immediate_baseline,15,4.0,3.0,1716,0,-0.0009066030725994796,-0.0004506593169698724,0.4405594405594406,-0.07117998003063493,-0.08967129396287674,-0.07117998003063493,129.0518239772981,0.14160839160839161,0.20046620046620048,0.6579254079254079,Signal time immediate entry at trace price.
immediate_baseline,15,4.0,4.0,1716,0,-0.0009245890775740602,-0.0004967085460668356,0.4254079254079254,-0.06860130956804665,-0.10906695394885946,-0.06860130956804665,127.1268254634966,0.14743589743589744,0.1357808857808858,0.7167832167832168,Signal time immediate entry at trace price.
immediate_baseline,15,4.0,5.0,1716,0,-0.000909998696753126,-0.0005267001510506147,0.4201631701631702,-0.05769939679573209,-0.11358239461465344,-0.05769939679573209,111.07609836768712,0.15034965034965034,0.10664335664335664,0.743006993006993,Signal time immediate entry at trace price.
