rank,name,description,notes,setting_overrides,no_cost_report_dir,no_cost_returncode,cost_report_dir,cost_returncode,candidate_dir,no_cost_total_net_pnl,cost_total_net_pnl,no_cost_max_ddpercent,cost_max_ddpercent,no_cost_sharpe_ratio,cost_sharpe_ratio,no_cost_engine_trade_count,cost_engine_trade_count,no_cost_closed_round_trip_count,cost_closed_round_trip_count,no_cost_win_rate,cost_win_rate,no_cost_profit_loss_ratio,cost_profit_loss_ratio,no_cost_bankrupt,cost_bankrupt,no_cost_statistics_valid,cost_statistics_valid
1,thursday_only,只允许周四新开仓,sample-mined / high overfit risk,"{""entry_filter_tag"": ""thursday_only"", ""entry_weekday_allowlist"": ""3""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/08_thursday_only/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/08_thursday_only/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/08_thursday_only,-1.170740000000014,-2.0008772000000143,-0.021172771622489147,-0.03557194224962495,-3.2173687017170467,-4.31895588279703,212,212,106,106,28.30188679245283,28.30188679245283,1.07369906115531,1.07369906115531,False,False,True,True
2,short_only,只允许新开空，禁止新开多,,"{""enable_long"": false, ""entry_filter_tag"": ""short_only""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/03_short_only/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/03_short_only/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/03_short_only,-3.2390100000000563,-7.058138735000057,-0.06491506063728125,-0.1397604311644038,-6.380745496840187,-12.933214751802003,998,998,499,499,30.861723446893784,30.861723446893784,1.4194236692353108,1.4194236692353108,False,False,True,True
3,no_weekend_no_worst_hours,禁止周末新开仓，并屏蔽当前归因报告里的最差小时,in-sample diagnostic from current full-sample attribution; not a production conclusion,"{""block_weekend_entries"": true, ""entry_filter_tag"": ""no_weekend_no_worst_hours"", ""entry_hour_blocklist"": ""0,4,8,11,12,13,16,18,19,21""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/07_no_weekend_no_worst_hours/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/07_no_weekend_no_worst_hours/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/07_no_weekend_no_worst_hours,-3.3557300000000487,-6.75208303500005,-0.06569593261945554,-0.13240288594598013,-5.651196579118276,-10.179797992093041,892,892,446,446,30.94170403587444,30.94170403587444,1.306129999100896,1.306129999100896,False,False,True,True
4,weekday_no_worst_hours,只允许工作日新开仓，并屏蔽当前归因报告里的最差小时,in-sample diagnostic from current full-sample attribution; not a production conclusion,"{""entry_filter_tag"": ""weekday_no_worst_hours"", ""entry_hour_blocklist"": ""0,4,8,11,12,13,16,18,19,21"", ""entry_weekday_allowlist"": ""0,1,2,3,4""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/09_weekday_no_worst_hours/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/09_weekday_no_worst_hours/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/09_weekday_no_worst_hours,-3.3557300000000487,-6.75208303500005,-0.06569593261945554,-0.13240288594598013,-5.651196579118276,-10.179797992093041,892,892,446,446,30.94170403587444,30.94170403587444,1.306129999100896,1.306129999100896,False,False,True,True
5,no_weekend,禁止周六/周日新开仓,,"{""block_weekend_entries"": true, ""entry_filter_tag"": ""no_weekend""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/04_no_weekend/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/04_no_weekend/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/04_no_weekend,-4.02978000000006,-8.44706971000006,-0.07807730793116247,-0.16450152618507421,-6.263167650816063,-11.560905717885586,1144,1144,572,572,32.86713286713287,32.86713286713287,1.2210248827854464,1.2210248827854464,False,False,True,True
6,weekdays_only,只允许周一到周五新开仓,,"{""entry_filter_tag"": ""weekdays_only"", ""entry_weekday_allowlist"": ""0,1,2,3,4""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/05_weekdays_only/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/05_weekdays_only/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/05_weekdays_only,-4.02978000000006,-8.44706971000006,-0.07807730793116247,-0.16450152618507421,-6.263167650816063,-11.560905717885586,1144,1144,572,572,32.86713286713287,32.86713286713287,1.2210248827854464,1.2210248827854464,False,False,True,True
7,no_worst_hours_from_current_report,屏蔽当前归因报告里的最差小时,in-sample diagnostic from current full-sample attribution; not a production conclusion,"{""entry_filter_tag"": ""no_worst_hours_from_current_report"", ""entry_hour_blocklist"": ""0,4,8,11,12,13,16,18,19,21""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/06_no_worst_hours_from_current_report/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/06_no_worst_hours_from_current_report/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/06_no_worst_hours_from_current_report,-5.019990000000062,-9.378154115000061,-0.09898160514285384,-0.1849256953420916,-7.8016769665412085,-13.835066700591018,1144,1144,572,572,29.195804195804197,29.195804195804197,1.3156623440430626,1.3156623440430626,False,False,True,True
8,long_only,只允许新开多，禁止新开空,,"{""enable_short"": false, ""entry_filter_tag"": ""long_only""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/02_long_only/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/02_long_only/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/02_long_only,-5.861780000000041,-9.25473864000004,-0.11524679528940379,-0.18179319457571752,-8.62730645815764,-12.558529358957161,888,888,444,444,27.47747747747748,27.47747747747748,1.0264889611973762,1.0264889611973762,False,False,True,True
9,baseline,基线 sanity 配置,,"{""entry_filter_tag"": ""baseline""}",/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/01_baseline/no_cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/01_baseline/cost,0,/home/yiast/vnpy_projects/cta_strategy/reports/ablation/oos/candidates/01_baseline,-6.591340000000074,-12.430885970000075,-0.1293098911084451,-0.2441813948952059,-9.1016235103048,-16.206649227334232,1512,1512,756,756,29.894179894179896,29.894179894179896,1.2397094678096001,1.2397094678096001,False,False,True,True
