trade_count_bucket,day_count,net_pnl,avg_daily_pnl,median_daily_pnl,min_daily_pnl,max_daily_pnl
11-20,6,-383.5220027550014,-63.92033379250023,-40.69776655750023,-154.61952086000056,1.5959003950002928
21-40,440,-28375.181770329957,-64.48904947802262,-63.53394031750013,-178.31507101999927,175.8871903350006
41-80,9,-496.1535759649981,-55.128175107222006,-79.44204076000071,-103.9630444600008,22.85022647500028
