weekday,weekday_name,trade_count,gross_pnl,net_pnl,win_count,loss_count,win_rate_pct,average_pnl,median_pnl,average_win,average_loss,profit_loss_ratio,expectancy,max_win,max_loss,total_volume,avg_duration_minutes
0,Monday,1284,-401.90360000000317,-3959.5293518462468,338,946,26.323987538940806,-3.08374560112636,-5.085809056938144,9.266283150738126,-7.496335155175194,1.2361084395140771,-3.08374560112636,58.19370140996324,-51.47739856671997,3783.2799999999997,10.52258566978193
1,Tuesday,1288,-644.0542799999951,-4225.700708026086,322,966,25.0,-3.280823531076154,-5.363244019505169,8.458032813913963,-7.193775646072861,1.175743202184971,-3.280823531076154,54.06429256769106,-43.01069519774314,3775.17,10.729037267080745
2,Wednesday,1275,-207.47167999999883,-3805.570686208279,345,930,27.058823529411764,-2.984761322516297,-5.287174801684051,8.859989251882222,-7.378781696889941,1.2007387690594764,-2.984761322516297,53.94122137281354,-55.976945291010914,3791.49,11.616470588235295
3,Thursday,1257,36.36397000001379,-3571.852223802959,345,912,27.44630071599045,-2.8415689926833405,-5.10198490838114,8.628250936312343,-7.180481136875787,1.2016257367492338,-2.8415689926833405,55.75266941888189,-56.57803312629748,3771.9,11.474940334128878
4,Friday,1274,-340.57679999999925,-3886.212870295659,343,931,26.923076923076923,-3.0504025669510666,-5.20879407375676,9.434622455193805,-7.650148627741284,1.233260020724511,-3.0504025669510666,48.66525931270038,-69.74960795743749,3708.4300000000003,10.936420722135008
5,Saturday,1234,-1286.94511999998,-4753.128148105019,241,993,19.52998379254457,-3.8518056305551207,-5.5784529899639725,9.269264955037153,-7.036274926756267,1.317354004999105,-3.8518056305551207,92.6655112129453,-58.52097916315212,3668.33,10.859805510534846
6,Sunday,1206,-1558.355669999994,-5052.863360765708,226,980,18.739635157545607,-4.189770614233589,-5.4629737700089045,8.72758551814896,-7.168671110068748,1.2174621187308539,-4.189770614233589,38.487596167510915,-61.08166193933888,3715.28,10.722222222222221
