side,trade_count,gross_pnl,net_pnl,win_count,loss_count,win_rate_pct,average_pnl,median_pnl,average_win,average_loss,profit_loss_ratio,expectancy,max_win,max_loss,total_volume,avg_duration_minutes
long,4632,-2447.649939999992,-15699.809651074609,1122,3510,24.22279792746114,-3.389423499800218,-5.313138327581671,8.811735887402529,-7.289623167162462,1.2088054053461532,-3.389423499800218,58.19370140996324,-61.08166193933888,13818.519999999999,11.672711571675302
short,4186,-1955.2932399999643,-13555.04769797535,1038,3148,24.796942188246536,-3.238186263252592,-5.335229794719586,9.09881325018147,-7.306104146017699,1.2453714138664331,-3.238186263252592,92.6655112129453,-69.74960795743749,12395.359999999999,10.21548017200191
