symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,max_drawdown,max_drawdown_pct,sample_sufficient,drag_rank,largest_drag
SOLUSDT_SWAP_OKX.GLOBAL,2159,1105,1054,-32649.060155327537,-36967.060155327534,-36970.31601482238,-15.122306695380981,-17.123814735906617,0.3904585456229736,36683.85278256779,51.96929429932354,True,1,True
ETHUSDT_SWAP_OKX.GLOBAL,2328,1177,1151,-8064.017884193552,-12720.017884193554,-12717.323768734494,-3.463925207986921,-5.46276794189626,0.3715635738831615,13162.73325385534,13.21331284756848,True,2,False
BTCUSDT_SWAP_OKX.GLOBAL,2412,1235,1177,-4296.815760405589,-9120.815760405589,-9119.862070476243,-1.7814327364865625,-3.781037342651842,0.35696517412935325,9205.160912355468,8.481683161493482,True,3,False
