timeframe,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,max_drawdown,max_drawdown_pct,sample_sufficient,drag_rank,largest_drag
15m,3290,1663,1627,-21439.698826685864,-28019.698826685868,-28010.629333355842,-6.516625783187193,-8.51386909828445,0.34893617021276596,27920.920165222957,39.55501963697555,True,1,True
30m,2880,1456,1424,-17782.202046551785,-23542.202046551785,-23536.28866498712,-6.174375710608259,-8.172322453120529,0.3885416666666667,23250.984541113437,39.10407895506375,True,2,False
1h,729,398,331,-5787.992926689024,-7245.992926689025,-7260.583855690156,-7.939633644292214,-9.959648636063314,0.41426611796982166,7310.702578452141,7.678921684902201,True,3,False
