session_type,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,max_drawdown,max_drawdown_pct,sample_sufficient,drag_rank,largest_drag
asia_to_europe,2802,1540,1262,-25011.561202952435,-30615.561202952435,-30635.436549966777,-8.92632448356618,-10.933417755163019,0.3547466095645967,30879.340349092163,43.74615545108552,True,1,True
europe_to_us,4097,1977,2120,-19998.332596974236,-28192.332596974236,-28172.065304066346,-4.88121371661563,-6.8762668547879775,0.3844276299731511,28168.709846154175,28.26354698852332,True,2,False
