policy_name,split,trade_count,original_net_pnl,no_cost_pnl,funding_events_count,conservative_funding_cost,signed_funding_pnl,funding_adjusted_net_pnl_conservative,funding_adjusted_net_pnl_signed,notional
v3_1d_donchian_20_10_atr4,oos_ext,15,-0.11911938999999962,-0.0557799999999998,2180,0.4495174120230429,-0.18959585601893636,-0.5686368020230425,-0.308715246018936,61.24465
v3_1d_donchian_20_10_atr4,train_ext,44,0.010400315000001064,0.08735000000000176,3958,0.8208641290757771,-0.6178120156386203,-0.8104638140757761,-0.6074117006386188,60.07502
v3_1d_donchian_20_10_atr4,validation_ext,30,2.515803480000001,2.608660000000001,2877,0.7579949705998659,-0.4907450864488817,1.7578085094001352,2.0250583935511197,80.95913
v3_1d_donchian_55_20_atr5,oos_ext,8,-1.197533109999999,-1.165559999999999,2035,0.4611625230474456,-0.2815433781361642,-1.6586956330474447,-1.4790764881361633,31.244200000000003
v3_1d_donchian_55_20_atr5,train_ext,19,-1.1299465749999986,-1.0926299999999984,3034,0.6066793828218712,-0.47142839648450335,-1.73662595782187,-1.601374971484502,33.75578
v3_1d_donchian_55_20_atr5,validation_ext,16,-1.2646748899999996,-1.2218399999999996,2252,0.3922500429394744,-0.1987089461390297,-1.6569249329394742,-1.4633838361390294,38.06917
v3_1d_ema_50_200_atr5,oos_ext,36,1.5523690499999971,1.7021799999999974,2103,0.37464032633693023,-0.15100001930225285,1.1777287236630671,1.4013690306977444,133.205
v3_1d_ema_50_200_atr5,train_ext,69,2.8670487600000034,3.020040000000003,4022,0.7982866252084302,-0.6499117431159619,2.068762134791573,2.2171370168840414,129.64350000000002
v3_1d_ema_50_200_atr5,validation_ext,57,1.8245112800000043,2.0247800000000042,2703,0.6779298276795089,-0.4872691527895271,1.1465814523204947,1.3372421272104766,168.24428
v3_4h_donchian_100_30_atr5,oos_ext,42,-5.9645767199999975,-5.799139999999998,1300,0.33104556299085547,-0.07640694985653794,-6.295622282990853,-6.040983669856536,156.37796
v3_4h_donchian_100_30_atr5,train_ext,71,0.7840235650000004,0.9109900000000006,2526,0.5675395606290348,-0.4370597417383224,0.21648400437096552,0.346963823261678,93.19319
v3_4h_donchian_100_30_atr5,validation_ext,57,-4.661865815,-4.49879,1678,0.40641378952603946,-0.26257819749942846,-5.0682796045260385,-4.924444012499428,136.89029
v3_4h_donchian_20_10_atr4,oos_ext,120,-7.051841784999997,-6.612829999999996,1979,0.41266094793751035,-0.07610771331347878,-7.4645027329375075,-7.127949498313476,386.57999
v3_4h_donchian_20_10_atr4,train_ext,245,-2.0837283249999956,-1.6838299999999953,3877,0.752479597900339,-0.40274265670295245,-2.8362079229003347,-2.486470981702948,298.10831
v3_4h_donchian_20_10_atr4,validation_ext,152,-5.648036489999994,-5.168019999999994,2573,0.6252706078229682,-0.44461025682942373,-6.273307097822962,-6.092646746829418,423.83311000000003
v3_4h_donchian_55_20_atr4,oos_ext,72,-8.172770215000002,-7.884110000000002,1541,0.3809752110130721,-0.08950929613704811,-8.553745426013075,-8.26227951113705,257.19187
v3_4h_donchian_55_20_atr4,train_ext,121,1.6035465750000004,1.80319,2916,0.5857198662047254,-0.4086943858184405,1.0178267087952748,1.1948521891815596,145.40116
v3_4h_donchian_55_20_atr4,validation_ext,85,-6.265680145000001,-6.001590000000001,1958,0.5571808248513255,-0.34274601372458136,-6.822860969851327,-6.6084261587245825,228.43399000000002
v3_4h_donchian_55_with_risk_filters,oos_ext,19,1.1679083449999996,1.2399699999999996,418,0.11223813471063811,-0.07806172912495801,1.0556702102893614,1.0898466158750417,60.625
v3_4h_donchian_55_with_risk_filters,train_ext,30,3.1826913600000015,3.2237200000000015,684,0.2946331466832649,-0.2644665460978665,2.8880582133167367,2.918224813902135,34.86901
v3_4h_donchian_55_with_risk_filters,validation_ext,24,-0.3558410299999997,-0.3197799999999997,406,0.09426234231468447,-0.07845896953326369,-0.4501033723146841,-0.43429999953326337,34.28510000000001
v3_4h_ema_50_200_atr4,oos_ext,313,-6.26843713499999,-5.07042999999999,2143,0.3997509519895418,-0.10636584585433577,-6.668188086989532,-6.374802980854326,1038.4045700000001
v3_4h_ema_50_200_atr4,train_ext,491,0.521046300000016,1.5950600000000152,4239,0.9940554608244316,-0.6861009337406638,-0.4730091608244152,-0.16505463374064774,804.9803800000001
v3_4h_ema_50_200_atr4,validation_ext,312,1.955761400000011,2.94264000000001,2829,0.723981901856992,-0.4872347548602838,1.2317794981430186,1.468526645139727,828.36573
v3_4h_vol_compression_donchian_breakout,oos_ext,79,-3.5898067449999997,-3.2997099999999997,1230,0.2450380312539969,-0.11959624569757042,-3.8348447762539966,-3.70940299069757,242.15955000000002
v3_4h_vol_compression_donchian_breakout,train_ext,176,-1.4171260649999982,-1.1183899999999976,2540,0.4628059703475368,-0.2616317862411218,-1.8799320353475348,-1.6787578512411196,226.95332000000002
v3_4h_vol_compression_donchian_breakout,validation_ext,94,-5.771197169999995,-5.462639999999996,1597,0.32146731529919814,-0.21239487681572541,-6.092664485299194,-5.983592046815722,270.60575
v3_ensemble_core,oos_ext,320,-6.3959871349999915,-5.184369999999992,2280,0.4570976462682687,-0.1533302951348772,-6.853084781268261,-6.549317430134869,1048.40294
v3_ensemble_core,train_ext,502,0.17144016000001483,1.2276600000000144,4519,1.0106351284102373,-0.6642111415259527,-0.8391949684102221,-0.4927709815259375,797.67618
v3_ensemble_core,validation_ext,332,-1.6080966749999879,-0.568889999999989,3038,0.7560088011701706,-0.4884725791807339,-2.3641054761701583,-2.0965692541807215,873.1694
