signal_id,datetime,vt_symbol,price,close_1m,atr_1m,breakout_distance_atr,atr_pct,ema_spread_pct,rsi,donchian_width_atr,close_location_in_donchian,recent_return_5m,recent_return_15m,recent_return_30m,recent_volatility_30m,volume_zscore_30m,upper_wick_ratio,lower_wick_ratio,body_ratio,range_atr,hour,weekday,is_weekend,direction,regime,future_return_15m,future_return_30m,future_return_60m,future_return_120m,mfe_60m,mae_60m,mfe_atr,mae_atr,stop_first,tp_first,good_signal_60m,bad_signal_60m
OkxAdaptiveMhfStrategy-20250101171200-000001,2025-01-01T17:13:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,93254.0,93254.2,53.97641142208317,1.826723885531708,0.0005788094415273,-0.0015009690747804,31.136288081695767,3.544140763714,1.0,0.001618048468636586,0.0022153253424657534,0.0029771771142341383,0.00041968525734456676,0.44430029502469887,0.3827160493826844,0.2592592592592212,0.3580246913580944,1.0504588672376918,17,2,False,short,short,0.0023044587899714,0.0014294293006198,-0.0012074549081005,-0.0011677783258626,0.005893580972398,0.0030829776738799,10.18222563375429,5.326400781849169,True,False,False,False
OkxAdaptiveMhfStrategy-20250101172300-000002,2025-01-01T17:24:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,93168.3,93165.1,86.21768153357903,0.4047893585076484,0.0009254289592731,-0.0017945995907807,36.54808020199874,3.960904467919341,1.0,0.0016897524448338266,0.0032276367062047703,0.0042328698708001804,0.00047704283195361256,0.25653217410553836,0.2235294117647059,0.09647058823525988,0.6800000000000342,0.9858766611219443,17,2,False,short,short,0.0010829863805608,-0.0024128378429144,-0.0036278433759121,-0.0031319665594413,0.0049791613671174,0.0040968870313185,5.380566859934988,4.427166135885149,False,True,False,False
OkxAdaptiveMhfStrategy-20250101184000-000004,2025-01-01T18:41:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,93370.1,93360.9,51.568102044907945,0.1357428278803836,0.0005523522378737,-0.0008431727566983,40.90570793306975,3.531252708145522,1.0,0.0012634347007694103,0.0017433442029257866,0.0017209088282195111,0.0004052945048481829,0.1537752770346922,0.0,0.0,1.0,1.7821094117440635,18,2,False,short,short,0.0006972253430167,0.000601905749271,-0.0020359836821422,-0.0055478145573368,0.0019128179149428,0.0022619660897867,3.4633812942052318,4.095555035476586,False,True,False,True
OkxAdaptiveMhfStrategy-20250101190200-000005,2025-01-01T19:03:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,93238.8,93238.9,46.95021902888588,0.8285371358134817,0.0005035475432344,-0.0008690453602199,36.239250087400364,3.277939979477156,1.0,0.0002765240709916915,0.0006771053745238791,0.002062735842496027,0.00039017251231884646,-1.0504356329857607,0.2998236331569819,0.056437389770674674,0.6437389770723434,1.2076620977020938,19,2,False,short,short,-0.0026287339605399,-0.0021589724449478,-0.0019455419846672,-0.0063535781241285,0.0005072995362445,0.0053582843194034,1.0074500391764436,10.641057919082622,True,False,False,True
OkxAdaptiveMhfStrategy-20250101202100-000013,2025-01-01T20:22:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,93660.0,93659.9,58.88864300320891,0.3005672927296456,0.000628749795838,0.0002070495570958,71.95644178891543,4.044922549616524,1.0,0.002764303801799952,0.003337249438798641,0.0027567976234651056,0.00038732237353815766,4.009153501385855,0.01832208293152357,0.6213436194149768,0.3603342976534996,5.282852246791518,20,2,False,long,long,0.0020446295109972,0.0007484518471066,-0.000223147554986,0.0057890241298312,0.0036301516122143,0.0006406149903907,5.77360901288665,1.0188721787446093,False,True,False,False
OkxAdaptiveMhfStrategy-20250101210400-000015,2025-01-01T21:05:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,93910.9,93911.0,54.68291194022051,0.4059769169620335,0.0005822844175892,0.0018784269334837,65.66836218847534,4.939385823038828,1.0,0.0009146946007433003,0.0017573079791599667,0.0010758455090114987,0.00028517490043005925,-0.6843174843705275,0.25277777777793947,0.10000000000016168,0.6472222222218988,0.6583409464250055,21,2,False,long,long,-0.0022244489191349,-0.0003077385053278,0.0056063779603858,0.0030017814758458,0.0062729672487432,0.0032072954257705,10.773018098304702,5.508119251755711,True,False,True,False
OkxAdaptiveMhfStrategy-20250101215100-000017,2025-01-01T21:52:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,93927.1,93928.6,48.481830853060046,0.053628337755766,0.0005161562170953,0.0015619685845,64.86089378438811,4.046876872175991,1.0,-0.00018533390992781277,0.0001715483356081204,0.00243594823102733,0.00037891348009684453,0.8094414613542197,0.06639566395655808,0.12195121951219032,0.8116531165312516,1.5222197409103178,21,2,False,long,long,0.0034739707709488,0.0029288671746491,0.0023763109901189,0.0043714753250126,0.0080200495916512,0.0025700782841161,15.537779550510418,4.979184897774231,True,False,True,False
OkxAdaptiveMhfStrategy-20250101220300-000020,2025-01-01T22:04:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,94347.9,94347.9,89.64580481705346,1.4077624743014172,0.0009501621638325,0.0018559321015433,84.7920039769826,5.180387425242354,1.0,0.003478151762681865,0.004928201387520863,0.005357500500701075,0.00046473602196270064,-0.05016588249908142,0.6591314693634686,0.2016656751932957,0.13920285544323568,1.8751574637882875,22,2,False,long,long,-0.0017774640453046,-0.0057669540074552,-0.001546404318485,2.11981400764237e-06,0.0035241907875003,0.0070187041788953,3.709041384352071,7.386848735993773,True,False,False,True
OkxAdaptiveMhfStrategy-20250101224700-000023,2025-01-01T22:48:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,94184.6,94184.4,100.32854097893912,0.1764203867343457,0.0010652352298144,0.0022405637292288,59.32609798571509,4.794248927640353,1.0,0.0012146300164646358,0.004153812675209064,-0.0005796842950146223,0.0008368057836435726,0.25865015637928074,0.46928499496472037,0.0,0.5307150050352797,0.9897482713401895,22,2,False,long,long,0.0003758576242824,-0.001321872153197,0.002301862512555,-0.0017263968844164,0.0029983670366492,0.0028890073324089,2.814752384959644,2.7120896740352114,True,False,True,False
OkxAdaptiveMhfStrategy-20250101234700-000027,2025-01-01T23:48:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,94380.7,94383.2,74.70598568887928,0.105747885221601,0.0007915178303859,0.0022836790630393,72.24685132170514,5.023693838442587,1.0,0.0015457951084125107,0.002562656581715486,0.003628531119996559,0.00030158804358501666,-0.037581457406473465,0.22222222222237192,0.2986111111109965,0.4791666666666316,0.5782669166552183,23,2,False,long,long,-0.0002564083546741,-0.0021180177727013,-0.0038005651579189,-0.0047138874791137,0.0031531870392994,0.0038800305570947,3.9836165369585044,4.901882983313614,True,False,False,True
