group,timeframe,split,trade_count,total_funding_adjusted_pnl,largest_symbol_pnl_share,largest_symbol_pnl_symbol,largest_symbol_trade_count_share,largest_symbol_trade_count_symbol,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count,max_drawdown,max_drawdown_pct
C,30m,train,2264,-19194.326233028216,0.696768743510867,SOLUSDT_SWAP_OKX.GLOBAL,0.35556537102473496,ETHUSDT_SWAP_OKX.GLOBAL,-0.3674472297632113,7052.902001497552,114,19220.506583168597,19.174643253198884
C,30m,validation,549,-16037.702199609343,0.8504004696298668,SOLUSDT_SWAP_OKX.GLOBAL,0.3788706739526412,ETHUSDT_SWAP_OKX.GLOBAL,-0.07983680031530155,1280.3988280264834,28,16015.909612064077,16.372713402235863
D,15m,oos,508,-3511.6987233856235,0.43509105871613385,ETHUSDT_SWAP_OKX.GLOBAL,0.41338582677165353,BTCUSDT_SWAP_OKX.GLOBAL,-0.2605158554178678,914.8531968926397,26,3537.5417752112107,3.475524194236596
D,15m,train,1651,-7319.998362092071,0.3624546639240105,ETHUSDT_SWAP_OKX.GLOBAL,0.36099333737129013,ETHUSDT_SWAP_OKX.GLOBAL,-0.4279166425954481,3132.349122910619,83,7348.560181611974,7.364106720057094
D,15m,validation,387,-6857.069689697442,0.7458318561423102,SOLUSDT_SWAP_OKX.GLOBAL,0.3953488372093023,BTCUSDT_SWAP_OKX.GLOBAL,-0.12048312687058596,826.1611973842665,20,6847.193592331127,6.915491661314245
D,1h,oos,102,-1107.9657705285779,0.56259600389895,SOLUSDT_SWAP_OKX.GLOBAL,0.4117647058823529,ETHUSDT_SWAP_OKX.GLOBAL,-0.39509985664619124,437.75711710472785,6,1166.6676371837007,1.1127440564605378
D,1h,train,374,-2396.8862089932445,0.7925194787739291,SOLUSDT_SWAP_OKX.GLOBAL,0.37433155080213903,ETHUSDT_SWAP_OKX.GLOBAL,-0.5106273996216701,1223.9157720872633,19,2688.859866922865,2.0812033205318956
D,1h,validation,57,-1464.12116745748,1.0,ETHUSDT_SWAP_OKX.GLOBAL,0.40350877192982454,BTCUSDT_SWAP_OKX.GLOBAL,-0.12854770554935968,188.20941672290886,3,1737.3374668788058,1.3645265676133913
D,30m,oos,217,-1660.7066952127184,0.4297428085834429,SOLUSDT_SWAP_OKX.GLOBAL,0.3824884792626728,BTCUSDT_SWAP_OKX.GLOBAL,-0.4357716462039416,723.6888904347538,11,1755.2420829566938,1.6036412368306767
D,30m,train,764,-3045.4332512502306,0.5390571909612317,SOLUSDT_SWAP_OKX.GLOBAL,0.36910994764397903,ETHUSDT_SWAP_OKX.GLOBAL,-0.7418003629416983,2259.103491092137,39,3130.994056910368,3.075941927159426
D,30m,validation,160,-6627.6997548062645,0.8955910041628838,SOLUSDT_SWAP_OKX.GLOBAL,0.43125,BTCUSDT_SWAP_OKX.GLOBAL,-0.03209468222673773,212.71391752473465,8,6636.783511629787,6.577039286135781
E,15m,oos,508,1479.6987233856235,0.5216661359846154,ETHUSDT_SWAP_OKX.GLOBAL,0.41338582677165353,BTCUSDT_SWAP_OKX.GLOBAL,0.9229172286237028,1365.6394449850902,26,235.38092153573507,0.15748951012702658
E,15m,train,1651,715.9983620920708,0.6840919719454603,SOLUSDT_SWAP_OKX.GLOBAL,0.36099333737129013,ETHUSDT_SWAP_OKX.GLOBAL,7.2430542804684395,5186.015001359361,83,1464.9020832066844,0.801737000491889
E,15m,validation,387,5309.069689697442,0.8985041246719945,SOLUSDT_SWAP_OKX.GLOBAL,0.3953488372093023,BTCUSDT_SWAP_OKX.GLOBAL,0.9388791297386562,4984.574729985011,20,404.7951559435048,0.24687807608748466
E,1h,oos,102,699.9657705285778,0.7590901403006617,SOLUSDT_SWAP_OKX.GLOBAL,0.4117647058823529,ETHUSDT_SWAP_OKX.GLOBAL,1.2039122503639859,842.6973659748214,6,178.80318611809173,0.15233041642560624
E,1h,train,374,900.886208993244,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.37433155080213903,ETHUSDT_SWAP_OKX.GLOBAL,2.5899451347143807,2333.245853913334,19,561.2533372984077,0.4091481509610932
E,1h,validation,57,1236.12116745748,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.40350877192982454,BTCUSDT_SWAP_OKX.GLOBAL,1.3812549394540903,1707.3984683144008,3,418.02855108046947,0.4210549883745681
E,30m,oos,217,792.7066952127184,0.6379115535265484,SOLUSDT_SWAP_OKX.GLOBAL,0.3824884792626728,BTCUSDT_SWAP_OKX.GLOBAL,1.2451990614271295,987.0776328658785,11,315.686021997656,0.3185743457174382
E,30m,train,764,-10.566748749769431,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.36910994764397903,ETHUSDT_SWAP_OKX.GLOBAL,-329.33478998356395,3479.997980314103,39,1604.1436329047135,1.0232174320863578
E,30m,validation,160,5987.6997548062645,0.9652635428250605,SOLUSDT_SWAP_OKX.GLOBAL,0.43125,BTCUSDT_SWAP_OKX.GLOBAL,0.7206532929216867,4315.05554532751,8,146.86559670907354,0.09667801329374914
