policy_name,direction,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_1h_donchian_20_10_atr3,long,55,55,0,-0.25914999999999166,-0.8293943249999917,-0.25914999999999166,0.568044325,0.0022000000000000006,0.34545454545454546,0.8296086874278501,0.21253639078947373,-0.13521071527777756,-0.015079896818181667,-0.05977436499999913,1.7249308199998268,0.034492438552491476,-0.480827587624688,-0.48577578791280157,1897.909090909091,1260.0,-2.306973591843686,0.678663775,-0.4268505850000003,0.570244325
tf_1h_donchian_20_10_atr3,short,61,0,61,-1.6608099999999972,-2.2793838749999984,-1.6608099999999972,0.6161338749999999,0.0024400000000000008,0.3114754098360656,0.6445336356730738,0.21752588526315803,-0.1526756117857143,-0.03736694877049178,-0.07460400499999971,2.9221561700005623,0.058437139627126315,-0.7800349270858989,-1.3067100816103934,1512.7868852459017,1200.0,-0.9228637058775372,0.8837540099999996,-0.6093421600000004,0.6185738750000012
tf_1h_donchian_20_10_atr4,long,55,55,0,-0.7771799999999904,-1.347263009999991,-0.7771799999999904,0.56788301,0.0022000000000000006,0.34545454545454546,0.7473099149501229,0.209706227631579,-0.14810225930555532,-0.024495691090908926,-0.0749936850000003,1.8083604649991685,0.03616387428590414,-0.7450190579125553,-0.7669264618126943,2014.6363636363637,1380.0,-1.4097454178601794,0.678663775,-0.5109007349999992,0.5700830100000005
tf_1h_donchian_20_10_atr4,short,56,0,56,-1.5987799999999972,-2.1674211699999977,-1.5987799999999972,0.56640117,0.0022400000000000002,0.32142857142857145,0.6404039290568846,0.21444200333333338,-0.15861519026315787,-0.038703949464285674,-0.0553526,2.7625806249998277,0.05524564345307015,-0.7845639509616603,-1.2390660164525464,1738.9285714285713,1230.0,-0.8391174960240892,0.8837540099999996,-0.6093421600000004,0.5686411700000005
tf_1h_donchian_20_10_atr5,long,53,53,0,-0.9968799999999932,-1.5448752399999934,-0.9968799999999932,0.5458752400000001,0.0021200000000000004,0.33962264150943394,0.720579491393729,0.2213321619444445,-0.15796726157142837,-0.02914858943396214,-0.08876630999999971,2.1281283250000342,0.04255760212945424,-0.7259314308501432,-0.8657840920118148,2060.0943396226417,1320.0,-1.2294182765205095,0.678663775,-0.4784969449999994,0.5479952400000002
tf_1h_donchian_20_10_atr5,short,57,0,57,-1.524749999999998,-2.104882524999999,-1.524749999999998,0.5778525250000001,0.0022800000000000003,0.3157894736842105,0.6510682863772874,0.2181933225000001,-0.1546759571794872,-0.03692776359649121,-0.06236170999999971,2.792738305000057,0.055847696628649975,-0.7536984475886851,-1.2100807095937982,1782.1052631578948,1260.0,-0.8640487074213326,0.8837540099999996,-0.6093421600000004,0.5801325250000009
tf_1h_donchian_55_20_atr3,long,28,28,0,-1.9695299999999991,-2.2633215249999985,-1.9695299999999991,0.29267152500000004,0.0011200000000000006,0.21428571428571427,0.44895702370926255,0.3073366141666668,-0.1866973277272727,-0.0808329116071428,-0.13700871750000032,2.416222650000236,0.04832445300000472,-0.9367189422712254,-1.751165868125979,2191.6071428571427,1440.0,-0.48045462961785806,0.5837665,-0.43732619500000003,0.2937915249999994
tf_1h_donchian_55_20_atr3,short,25,0,25,-2.1566099999999992,-2.4110854749999993,-2.1566099999999992,0.25347547500000006,0.0010000000000000002,0.2,0.3078007027276241,0.21442778299999982,-0.1741612194999999,-0.09644341899999997,-0.09138236000000087,2.411085474999709,0.04822170949999418,-1.0000000000001203,-1.9767619760781443,1888.8,1740.0,-0.3762585563251344,0.6748794200000002,-0.7380177899999998,0.254475475
tf_1h_donchian_55_20_atr4,long,27,27,0,-2.522949999999998,-2.8051193149999984,-2.522949999999998,0.281089315,0.0010800000000000004,0.2222222222222222,0.4142931488520004,0.33069492916666693,-0.2280613757142857,-0.10389330796296291,-0.1630777900000003,2.99293415000011,0.05985868300000221,-0.9372472545043783,-1.9443921935689406,2819.4444444444443,1860.0,-0.42523345392885764,0.6231570250000006,-0.5747123299999995,0.2821693150000004
tf_1h_donchian_55_20_atr4,short,24,0,24,-2.3951000000000007,-2.63897722,-2.3951000000000007,0.24291722000000004,0.0009600000000000001,0.25,0.28381616350446043,0.17429984499999981,-0.20470979388888882,-0.10995738416666667,-0.14057014499999987,2.6389772200000152,0.05277954440000031,-0.9999999999999942,-2.3389225592474485,2400.0,2040.0,-0.3302467726492917,0.6392015899999997,-0.5408361449999995,0.24387721999999945
