policy_name,base_policy_name,atr_mult,timeframe,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_1h_donchian_55_with_risk_filters_atr4,tf_1h_donchian_55_with_risk_filters,4.0,1h,2,1,1,-0.29491999999999974,-0.3161175699999997,-0.29491999999999974,0.021117570000000002,8e-05,0.0,0.0,,-0.15805878499999984,-0.15805878499999984,-0.15805878499999984,0.31611756999973295,0.006322351399994659,-1.0000000000008438,-1.6577952265834555,5310.0,5310.0,0.07346554637883629,-0.02322375,-0.2928938199999997,0.021197569999999943
tf_1h_donchian_55_with_risk_filters_atr5,tf_1h_donchian_55_with_risk_filters,5.0,1h,2,1,1,-0.29491999999999974,-0.3161175699999997,-0.29491999999999974,0.021117570000000002,8e-05,0.0,0.0,,-0.15805878499999984,-0.15805878499999984,-0.15805878499999984,0.31611756999973295,0.006322351399994659,-1.0000000000008438,-1.6577952265834555,5310.0,5310.0,0.07346554637883629,-0.02322375,-0.2928938199999997,0.021197569999999943
tf_1h_donchian_55_with_risk_filters_atr3,tf_1h_donchian_55_with_risk_filters,3.0,1h,2,1,1,-0.3345199999999997,-0.3557125499999997,-0.3345199999999997,0.02111255,8e-05,0.0,0.0,,-0.17785627499999984,-0.17785627499999984,-0.17785627499999984,0.3557125500001348,0.007114251000002695,-0.9999999999996202,-1.9374302498834939,2250.0,2250.0,0.13502852232792953,-0.04803133999999971,-0.30768121,0.021192549999999977
tf_1h_vol_compression_breakout_atr5,tf_1h_vol_compression_breakout,5.0,1h,52,27,25,-0.8868899999999935,-1.4195048749999937,-0.8868899999999935,0.5305348750000001,0.0020800000000000003,0.36538461538461536,0.6839609343526756,0.16168652052631594,-0.1361075383333332,-0.027298170673076803,-0.03820969249999986,1.7725414349997664,0.03545082869999533,-0.8008302920152502,-1.0069591816782177,1964.7115384615386,1350.0,-1.081015501972128,0.5685293350000009,-0.4268505850000003,0.5326148750000002
tf_1h_vol_compression_breakout_atr4,tf_1h_vol_compression_breakout,4.0,1h,52,27,25,-0.8993999999999925,-1.4319834599999928,-0.8993999999999925,0.53050346,0.0020800000000000003,0.36538461538461536,0.6829177682439892,0.16232331631578956,-0.1368523172727271,-0.027538143461538322,-0.03820969249999986,1.8806673449998925,0.03761334689999785,-0.7614230468813051,-1.0135983588242812,1898.9423076923076,1350.0,-1.0715953206610422,0.5685293350000009,-0.4268505850000003,0.5325834600000002
tf_4h_donchian_20_with_risk_filters_atr3,tf_4h_donchian_20_with_risk_filters,3.0,4h,4,1,3,-1.416190000000001,-1.4570203850000012,-1.416190000000001,0.040670385,0.00016,0.0,0.0,,-0.3642550962500003,-0.3642550962500003,-0.3382364950000002,1.4570203849998506,0.029140407699997015,-1.0000000000001033,-7.835122269998784,6840.0,6000.0,0.18202688015240076,-0.265216875,-0.5153305200000007,0.04083038500000025
tf_1h_vol_compression_breakout_atr3,tf_1h_vol_compression_breakout,3.0,1h,53,27,26,-1.1056299999999915,-1.646456794999992,-1.1056299999999915,0.538706795,0.0021200000000000004,0.33962264150943394,0.6603532241546014,0.17783884944444467,-0.1385016024285713,-0.03106522254716966,-0.05943618999999971,2.179603259999567,0.043592065199991335,-0.755392885125488,-1.1373347148280861,1725.0,1260.0,-0.9320054918295068,0.5685293350000009,-0.4268505850000003,0.5408267950000005
tf_4h_donchian_20_with_risk_filters_atr4,tf_4h_donchian_20_with_risk_filters,4.0,4h,4,1,3,-1.61147,-1.6522012849999999,-1.61147,0.040571285000000006,0.00016,0.0,0.0,,-0.41305032124999996,-0.41305032124999996,-0.4079403824999996,1.6522012850000465,0.03304402570000093,-0.9999999999999718,-10.490876851953194,7260.0,6720.0,0.19428020236650526,-0.32099,-0.5153305200000007,0.040731284999999895
tf_4h_donchian_20_with_risk_filters_atr5,tf_4h_donchian_20_with_risk_filters,5.0,4h,4,1,3,-1.6273300000000004,-1.6680692150000003,-1.6273300000000004,0.040579215,0.00016,0.0,0.0,,-0.41701730375000007,-0.41701730375000007,-0.41587434749999985,1.668069215000287,0.033361384300005736,-0.9999999999998281,-10.97071419608458,8520.0,7920.0,0.19243206283859146,-0.32099,-0.5153305200000007,0.040739214999999884
tf_4h_ema_cross_atr_trail_atr3,tf_4h_ema_cross_atr_trail,3.0,4h,74,37,37,-1.6104899999999975,-2.3729105049999983,-1.6104899999999975,0.7594605050000001,0.0029600000000000004,0.20270270270270271,0.6864985899055299,0.34640986466666684,-0.1282891266949153,-0.03206635817567565,-0.07044575499999957,2.5242892850001226,0.05048425725094808,-0.9400311284052704,-1.0860709231541563,3402.162162162162,1560.0,-1.3687924294473142,0.9367028550000006,-0.42772679999999885,0.7624205050000008
