split,policy_name,policy_family,month,trade_count,net_pnl,no_cost_pnl,win_rate,avg_trade,max_drawdown,max_ddpercent,active_symbol_count,avg_holding_minutes
oos,v3_1d_donchian_20_10_atr4,1d_donchian,2026-01,1,-0.988489165,-0.97955,0.0,-0.988489165,0.988489164999919,0.01976978329999838,1,36000.0
oos,v3_1d_donchian_20_10_atr4,1d_donchian,2026-02,1,-1.577677305,-1.57451,0.0,-1.577677305,1.5776773050001793,0.031553546100003584,1,43200.0
oos,v3_1d_donchian_20_10_atr4,1d_donchian,2026-03,6,0.5850694899999983,0.6027799999999987,0.5,0.09751158166666639,0.7447089799998139,0.014890219461345623,3,34319.833333333336
oos,v3_1d_donchian_55_20_atr5,1d_donchian,2026-01,1,-1.379344495000001,-1.3702100000000006,0.0,-1.379344495000001,1.3793444949997138,0.027586889899994277,1,23040.0
oos,v3_1d_donchian_55_20_atr5,1d_donchian,2026-02,1,-1.92463374,-1.92164,0.0,-1.92463374,1.9246337399999902,0.03849267479999981,1,48960.0
oos,v3_1d_donchian_55_20_atr5,1d_donchian,2026-03,3,0.5775395649999995,0.5865499999999995,0.6666666666666666,0.19251318833333317,0.09649090000038996,0.0019295578838482601,3,53280.0
oos,v3_1d_ema_50_200_atr5,1d_ema,2026-01,12,-1.5164978600000008,-1.4775000000000003,0.0,-0.12637482166666672,1.5164978599996175,0.030329957199992347,5,4200.0
oos,v3_1d_ema_50_200_atr5,1d_ema,2026-03,6,2.3898654849999983,2.405189999999999,0.8333333333333334,0.39831091416666636,0.06134650000058173,0.0012264851339869312,5,52079.5
oos,v3_4h_donchian_100_30_atr5,4h_donchian,2026-01,2,-0.68630934,-0.6732999999999999,0.5,-0.34315467,0.7010284799998772,0.014020569599997545,2,12840.0
oos,v3_4h_donchian_100_30_atr5,4h_donchian,2026-02,3,2.012666990000001,2.0207800000000007,0.6666666666666666,0.670888996666667,0.007819505000043137,0.00015632692871120956,2,24720.0
oos,v3_4h_donchian_100_30_atr5,4h_donchian,2026-03,7,-2.617528060000001,-2.5913600000000008,0.14285714285714285,-0.3739325800000001,2.6175280600000406,0.05235056120000081,4,13062.714285714286
oos,v3_4h_donchian_20_10_atr4,4h_donchian,2026-01,10,-1.4585681100000014,-1.4137200000000012,0.3,-0.14585681100000014,1.4980006550003964,0.02996001310000793,5,6792.0
oos,v3_4h_donchian_20_10_atr4,4h_donchian,2026-02,17,-0.003588584999999485,0.04711000000000051,0.23529411764705882,-0.00021109323529408733,1.4820329750000383,0.029631897677423517,5,7496.470588235294
