split,policy_name,policy_family,symbol,trade_count,no_cost_pnl,net_pnl,contribution_share,positive_pnl_share,absolute_pnl_share,win_rate,avg_trade_pnl,policy_net_pnl,policy_no_cost_pnl,net_pnl_without_symbol,no_cost_pnl_without_symbol,removing_symbol_improves_policy,largest_symbol_dependency,largest_dependency_symbol,is_largest_dependency_symbol
train,v3_1d_donchian_20_10_atr4,1d_donchian,BTCUSDT_SWAP_OKX.GLOBAL,4,-0.6630300000000002,-0.7012878150000003,1.065768666370454,,0.23434045340703372,0.25,-0.17532195375000006,-0.6580112899999984,-0.5909999999999985,0.0432765250000019,0.0720300000000017,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_donchian_20_10_atr4,1d_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,2,-1.043,-1.0514614999999998,1.5979383879568425,,0.3513535518224278,0.0,-0.5257307499999999,-0.6580112899999984,-0.5909999999999985,0.39345021000000147,0.4520000000000014,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_donchian_20_10_atr4,1d_donchian,ETHUSDT_SWAP_OKX.GLOBAL,6,1.1857800000000016,1.1672955800000016,-1.7739750027693362,1.0,0.3900603569979704,0.5,0.19454926333333358,-0.6580112899999984,-0.5909999999999985,-1.82530687,-1.77678,False,1.0,ETHUSDT_SWAP_OKX.GLOBAL,True
train,v3_1d_donchian_20_10_atr4,1d_donchian,LINKUSDT_SWAP_OKX.GLOBAL,9,-0.07074999999999988,-0.0725575549999999,0.11026794844203977,,0.024245637772568107,0.4444444444444444,-0.008061950555555544,-0.6580112899999984,-0.5909999999999985,-0.5854537349999984,-0.5202499999999987,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_donchian_55_20_atr5,1d_donchian,BTCUSDT_SWAP_OKX.GLOBAL,3,-0.9512100000000006,-0.9817461950000005,1.2454561700867266,,0.3633435916967272,0.0,-0.32724873166666685,-0.7882623399999995,-0.7468399999999995,0.19348385500000098,0.20437000000000105,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_donchian_55_20_atr5,1d_donchian,ETHUSDT_SWAP_OKX.GLOBAL,3,0.9648600000000007,0.9568575600000007,-1.2138821194984417,1.0,0.3541323249972634,0.6666666666666666,0.31895252000000024,-0.7882623399999995,-0.7468399999999995,-1.7451199000000002,-1.7117000000000002,False,1.0,ETHUSDT_SWAP_OKX.GLOBAL,True
train,v3_1d_donchian_55_20_atr5,1d_donchian,LINKUSDT_SWAP_OKX.GLOBAL,3,-0.009689999999999803,-0.010288704999999801,0.013052386848773984,,0.0038078426457339126,0.3333333333333333,-0.003429568333333267,-0.7882623399999995,-0.7468399999999995,-0.7779736349999997,-0.7371499999999997,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_donchian_55_20_atr5,1d_donchian,SOLUSDT_SWAP_OKX.GLOBAL,1,-0.7507999999999999,-0.7530849999999999,0.9553735625629411,,0.2787162406602754,0.0,-0.7530849999999999,-0.7882623399999995,-0.7468399999999995,-0.03517733999999961,0.003960000000000408,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_ema_50_200_atr5,1d_ema,BTCUSDT_SWAP_OKX.GLOBAL,6,0.35695999999999906,0.2937868199999993,0.17796453005373278,0.13711537272486513,0.11151803692908928,0.3333333333333333,0.04896446999999988,1.6508167100000002,1.7866,1.3570298900000008,1.429640000000001,False,0.8628846272751348,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_ema_50_200_atr5,1d_ema,DOGEUSDT_SWAP_OKX.GLOBAL,11,-0.0965000000000005,-0.1446392500000005,-0.08761678333144597,,0.05490336572245096,0.2727272727272727,-0.013149022727272773,1.6508167100000002,1.7866,1.7954559600000006,1.8831000000000004,True,0.8628846272751348,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_ema_50_200_atr5,1d_ema,ETHUSDT_SWAP_OKX.GLOBAL,3,1.8574200000000012,1.8488381400000011,1.1199536137479496,0.8628846272751348,0.7017973099420504,0.6666666666666666,0.6162793800000004,1.6508167100000002,1.7866,-0.19802143000000094,-0.07082000000000122,False,0.8628846272751348,ETHUSDT_SWAP_OKX.GLOBAL,True
train,v3_1d_ema_50_200_atr5,1d_ema,LINKUSDT_SWAP_OKX.GLOBAL,9,-0.048079999999999706,-0.0499978999999997,-0.030286766360633516,,0.01897861741577411,0.3333333333333333,-0.005555322222222189,1.6508167100000002,1.7866,1.70081461,1.8346799999999996,True,0.8628846272751348,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_1d_ema_50_200_atr5,1d_ema,SOLUSDT_SWAP_OKX.GLOBAL,6,-0.2831999999999999,-0.29717109999999985,-0.18001459410960277,,0.11280266999063521,0.3333333333333333,-0.04952851666666664,1.6508167100000002,1.7866,1.94798781,2.0698,True,0.8628846272751348,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_100_30_atr5,4h_donchian,BTCUSDT_SWAP_OKX.GLOBAL,8,-0.39858999999999956,-0.4805551349999999,0.3587982375762055,,0.12120538049286637,0.375,-0.06006939187499999,-1.339346419999999,-1.2062199999999978,-0.858791284999999,-0.8076299999999983,True,0.9083440706194374,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_100_30_atr5,4h_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,3,-2.1585,-2.17151825,1.6213268035613981,,0.5476992681359099,0.0,-0.7238394166666667,-1.339346419999999,-1.2062199999999978,0.8321718300000012,0.9522800000000022,True,0.9083440706194374,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_100_30_atr5,4h_donchian,ETHUSDT_SWAP_OKX.GLOBAL,9,1.2202300000000006,1.1924077550000007,-0.8902907695829744,0.9083440706194374,0.30074849922771024,0.6666666666666666,0.13248975055555565,-1.339346419999999,-1.2062199999999978,-2.5317541749999997,-2.426449999999998,False,0.9083440706194374,ETHUSDT_SWAP_OKX.GLOBAL,True
train,v3_4h_donchian_100_30_atr5,4h_donchian,LINKUSDT_SWAP_OKX.GLOBAL,12,0.0375399999999999,0.035048659999999905,-0.026168479996385052,0.026699123987294553,0.008839955837877157,0.5,0.0029207216666666588,-1.339346419999999,-1.2062199999999978,-1.3743950799999989,-1.2437599999999978,False,0.9083440706194374,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_100_30_atr5,4h_donchian,SOLUSDT_SWAP_OKX.GLOBAL,3,0.09310000000000038,0.08527055000000042,-0.06366579155824412,0.06495680539326801,0.02150689630563627,0.6666666666666666,0.028423516666666804,-1.339346419999999,-1.2062199999999978,-1.4246169699999993,-1.2993199999999983,False,0.9083440706194374,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_20_10_atr4,4h_donchian,BTCUSDT_SWAP_OKX.GLOBAL,23,-4.749449999999998,-4.982625234999998,0.9247405387102124,,0.7085202734684998,0.17391304347826086,-0.2166358797826086,-5.388133239999995,-5.023319999999996,-0.40550800499999706,-0.27386999999999784,True,0.7645540556691283,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_20_10_atr4,4h_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,8,-1.1629999999999998,-1.1946459999999997,0.2217179766697827,,0.16987649495939855,0.125,-0.14933074999999996,-5.388133239999995,-5.023319999999996,-4.193487239999995,-3.8603199999999958,True,0.7645540556691283,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_20_10_atr4,4h_donchian,ETHUSDT_SWAP_OKX.GLOBAL,25,0.7030600000000005,0.6285801200000005,-0.1166600920952729,0.7645540556691284,0.08938295326545123,0.44,0.02514320480000002,-5.388133239999995,-5.023319999999996,-6.016713359999995,-5.726379999999996,False,0.7645540556691283,ETHUSDT_SWAP_OKX.GLOBAL,True
train,v3_4h_donchian_20_10_atr4,4h_donchian,LINKUSDT_SWAP_OKX.GLOBAL,36,-0.02532999999999921,-0.03301462499999919,0.006127284447034057,,0.004694619809884097,0.3611111111111111,-0.0009170729166666441,-5.388133239999995,-5.023319999999996,-5.355118614999996,-4.997989999999996,True,0.7645540556691283,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_20_10_atr4,4h_donchian,SOLUSDT_SWAP_OKX.GLOBAL,8,0.21140000000000075,0.19357250000000054,-0.035925707731756226,0.23544594433087168,0.027525658496766636,0.375,0.024196562500000067,-5.388133239999995,-5.023319999999996,-5.581705739999995,-5.234719999999997,False,0.7645540556691283,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_55_20_atr4,4h_donchian,BTCUSDT_SWAP_OKX.GLOBAL,15,-2.4480100000000005,-2.6036793350000007,0.5505982310371507,,0.49931633803477343,0.26666666666666666,-0.17357862233333338,-4.728818925000001,-4.49805,-2.12513959,-2.0500399999999996,True,0.9406599926649732,SOLUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_55_20_atr4,4h_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,4,-2.178,-2.1969129999999994,0.4645796413107527,,0.4213093906746345,0.0,-0.5492282499999999,-4.728818925000001,-4.49805,-2.531905925000001,-2.32005,True,0.9406599926649732,SOLUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_55_20_atr4,4h_donchian,ETHUSDT_SWAP_OKX.GLOBAL,15,-0.12402000000000044,-0.1710614100000003,0.03617423562057841,,0.03280502159850845,0.4666666666666667,-0.01140409400000002,-4.728818925000001,-4.49805,-4.5577575150000005,-4.374029999999999,True,0.9406599926649732,SOLUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_55_20_atr4,4h_donchian,LINKUSDT_SWAP_OKX.GLOBAL,19,0.018379999999999997,0.014409819999999903,-0.003047234463518795,0.059340007335026757,0.002763419618314937,0.3684210526315789,0.0007584115789473633,-4.728818925000001,-4.49805,-4.743228745000001,-4.51643,False,0.9406599926649732,SOLUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_55_20_atr4,4h_donchian,SOLUSDT_SWAP_OKX.GLOBAL,2,0.2336000000000001,0.2284250000000001,-0.04830487350496299,0.9406599926649732,0.043805830073768724,1.0,0.11421250000000005,-4.728818925000001,-4.49805,-4.957243925,-4.73165,False,0.9406599926649732,SOLUSDT_SWAP_OKX.GLOBAL,True
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,BTCUSDT_SWAP_OKX.GLOBAL,1,0.7656300000000004,0.7542539150000003,0.5978254516232784,0.5785987449807684,0.5605702068994253,1.0,0.7542539150000003,1.2616624350000003,1.2905300000000004,0.50740852,0.5249,False,0.5785987449807684,BTCUSDT_SWAP_OKX.GLOBAL,True
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,DOGEUSDT_SWAP_OKX.GLOBAL,1,0.31,0.3058965,0.2424551064643531,0.23465749063299135,0.22734580608018454,1.0,0.3058965,1.2616624350000003,1.2905300000000004,0.9557659350000003,0.9805300000000003,False,0.5785987449807684,BTCUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,ETHUSDT_SWAP_OKX.GLOBAL,3,0.2550999999999999,0.2434367799999999,0.192949217830996,0.1867437643862403,0.18092502195567625,0.6666666666666666,0.08114559333333331,1.2616624350000003,1.2905300000000004,1.0182256550000004,1.0354300000000005,False,0.5785987449807684,BTCUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,LINKUSDT_SWAP_OKX.GLOBAL,8,-0.0401999999999999,-0.04192475999999999,-0.03322977591862754,,0.031158965064713964,0.25,-0.005240594999999999,1.2616624350000003,1.2905300000000004,1.3035871950000002,1.3307300000000004,True,0.5785987449807684,BTCUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_ema_50_200_atr4,4h_ema,BTCUSDT_SWAP_OKX.GLOBAL,44,-0.512739999999996,-0.9857433999999959,0.7812750787908228,,0.1886105212388773,0.25,-0.022403259090908997,-1.2617110499999926,-0.2607599999999928,-0.2759676499999967,0.2519800000000032,True,0.6033225474663153,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_ema_50_200_atr4,4h_ema,DOGEUSDT_SWAP_OKX.GLOBAL,54,0.9670000000000001,0.7425164999999998,-0.5884996410231995,0.37457014301905256,0.14207188614548916,0.35185185185185186,0.013750305555555552,-1.2617110499999926,-0.2607599999999928,-2.0042275499999924,-1.2277599999999929,False,0.6033225474663153,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_ema_50_200_atr4,4h_ema,ETHUSDT_SWAP_OKX.GLOBAL,58,1.3661800000000013,1.1959761200000016,-0.9479001709622886,0.6033225474663153,0.2288361041853806,0.27586206896551724,0.020620277931034513,-1.2617110499999926,-0.2607599999999928,-2.4576871699999945,-1.626939999999994,False,0.6033225474663153,ETHUSDT_SWAP_OKX.GLOBAL,True
train,v3_4h_ema_50_200_atr4,4h_ema,LINKUSDT_SWAP_OKX.GLOBAL,50,0.054700000000000304,0.043823680000000316,-0.034733531104447865,0.022107309514632086,0.008385150869288961,0.3,0.0008764736000000063,-1.2617110499999926,-0.2607599999999928,-1.3055347299999929,-0.3154599999999931,False,0.6033225474663153,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_ema_50_200_atr4,4h_ema,SOLUSDT_SWAP_OKX.GLOBAL,58,-2.135899999999998,-2.2582839499999983,1.789858264299113,,0.4320963375609638,0.13793103448275862,-0.038935930172413764,-1.2617110499999926,-0.2607599999999928,0.9965729000000056,1.8751400000000054,True,0.6033225474663153,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_vol_compression_donchian_breakout,vol_compression,BTCUSDT_SWAP_OKX.GLOBAL,12,-2.818319999999998,-2.939210109999998,0.6911498226315124,,0.49319575601813365,0.08333333333333333,-0.24493417583333318,-4.252638159999996,-4.0212799999999955,-1.3134280499999975,-1.2029599999999974,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_vol_compression_donchian_breakout,vol_compression,DOGEUSDT_SWAP_OKX.GLOBAL,10,-0.9899999999999995,-1.0308974999999994,0.2424136409479993,,0.17298330260904823,0.2,-0.10308974999999994,-4.252638159999996,-4.0212799999999955,-3.2217406599999965,-3.031279999999996,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_vol_compression_donchian_breakout,vol_compression,ETHUSDT_SWAP_OKX.GLOBAL,14,0.8977200000000006,0.8534410600000005,-0.20068508720713765,1.0,0.143206335393157,0.35714285714285715,0.06096007571428575,-4.252638159999996,-4.0212799999999955,-5.106079219999996,-4.918999999999996,False,1.0,ETHUSDT_SWAP_OKX.GLOBAL,True
train,v3_4h_vol_compression_donchian_breakout,vol_compression,LINKUSDT_SWAP_OKX.GLOBAL,20,-0.014279999999999501,-0.018582009999999406,0.004369525292506764,,0.0031180378834115515,0.3,-0.0009291004999999703,-4.252638159999996,-4.0212799999999955,-4.234056149999996,-4.006999999999996,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_4h_vol_compression_donchian_breakout,vol_compression,SOLUSDT_SWAP_OKX.GLOBAL,10,-1.0963999999999994,-1.1173895999999994,0.26275209833511926,,0.1874965680962495,0.2,-0.11173895999999994,-4.252638159999996,-4.0212799999999955,-3.1352485599999964,-2.9248799999999964,True,1.0,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_ensemble_core,ensemble,BTCUSDT_SWAP_OKX.GLOBAL,45,-1.704489999999999,-2.1867561449999986,0.9151905195309071,,0.3417628480292543,0.24444444444444444,-0.04859458099999997,-2.3893999099999954,-1.3758599999999963,-0.2026437649999968,0.32863000000000264,True,0.6193353487131105,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_ensemble_core,ensemble,DOGEUSDT_SWAP_OKX.GLOBAL,54,0.9550000000000002,0.7305225000000001,-0.3057347147887025,0.36443573291107756,0.11417160103576664,0.35185185185185186,0.013528194444444445,-2.3893999099999954,-1.3758599999999963,-3.1199224099999956,-2.3308599999999964,False,0.6193353487131105,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_ensemble_core,ensemble,ETHUSDT_SWAP_OKX.GLOBAL,58,1.4135900000000015,1.2414765250000017,-0.5195767020013005,0.6193353487131106,0.19402737425277133,0.27586206896551724,0.021404767672413824,-2.3893999099999954,-1.3758599999999963,-3.630876434999997,-2.7894499999999978,False,0.6193353487131105,ETHUSDT_SWAP_OKX.GLOBAL,True
train,v3_ensemble_core,ensemble,LINKUSDT_SWAP_OKX.GLOBAL,54,0.044140000000000304,0.032531360000000294,-0.013614866169472802,0.016228918375812133,0.005084247856939288,0.2962962962962963,0.000602432592592598,-2.3893999099999954,-1.3758599999999963,-2.4219312699999955,-1.4199999999999966,False,0.6193353487131105,ETHUSDT_SWAP_OKX.GLOBAL,False
train,v3_ensemble_core,ensemble,SOLUSDT_SWAP_OKX.GLOBAL,58,-2.084099999999998,-2.2071741499999984,0.9237357634285684,,0.34495392882526843,0.13793103448275862,-0.038054726724137906,-2.3893999099999954,-1.3758599999999963,-0.18222575999999702,0.7082400000000018,True,0.6193353487131105,ETHUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_donchian_20_10_atr4,1d_donchian,BTCUSDT_SWAP_OKX.GLOBAL,1,-0.9933199999999998,-1.0050233399999997,1.3541681205951268,,0.3111890337190428,0.0,-1.0050233399999997,-0.742170285,-0.7171500000000002,0.26285305499999967,0.2761699999999996,True,0.5498972308208103,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_donchian_20_10_atr4,1d_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,1,0.6875,0.68392175,-0.9215159429348481,0.5498972308208103,0.21176518002252248,1.0,0.68392175,-0.742170285,-0.7171500000000002,-1.426092035,-1.4046500000000002,False,0.5498972308208103,DOGEUSDT_SWAP_OKX.GLOBAL,True
validation,v3_1d_donchian_20_10_atr4,1d_donchian,ETHUSDT_SWAP_OKX.GLOBAL,2,-0.9732800000000003,-0.9808734300000003,1.321628539735999,,0.30371140921203216,0.0,-0.49043671500000013,-0.742170285,-0.7171500000000002,0.23870314500000023,0.2561300000000001,True,0.5498972308208103,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_donchian_20_10_atr4,1d_donchian,LINKUSDT_SWAP_OKX.GLOBAL,1,0.0181499999999999,0.0179509349999999,-0.024187083965507863,0.01443318544430603,0.005558213321695908,1.0,0.0179509349999999,-0.742170285,-0.7171500000000002,-0.7601212199999999,-0.7353000000000001,False,0.5498972308208103,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_donchian_20_10_atr4,1d_donchian,SOLUSDT_SWAP_OKX.GLOBAL,1,0.5438,0.5418537999999999,-0.7300936334307697,0.4356695837348836,0.16777616372470663,1.0,0.5418537999999999,-0.742170285,-0.7171500000000002,-1.284024085,-1.2609500000000002,False,0.5498972308208103,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_donchian_55_20_atr5,1d_donchian,DOGEUSDT_SWAP_OKX.GLOBAL,1,0.6875,0.68392175,0.557511061848884,0.557511061848884,0.557511061848884,1.0,0.68392175,1.2267411300000002,1.2341200000000003,0.5428193800000002,0.5466200000000003,False,0.557511061848884,DOGEUSDT_SWAP_OKX.GLOBAL,True
validation,v3_1d_donchian_55_20_atr5,1d_donchian,ETHUSDT_SWAP_OKX.GLOBAL,1,0.5028200000000002,0.4992056200000002,0.4069364006732212,0.4069364006732212,0.4069364006732212,1.0,0.4992056200000002,1.2267411300000002,1.2341200000000003,0.72753551,0.7313000000000002,False,0.557511061848884,DOGEUSDT_SWAP_OKX.GLOBAL,False
validation,v3_1d_donchian_55_20_atr5,1d_donchian,LINKUSDT_SWAP_OKX.GLOBAL,1,0.0438,0.04361376,0.03555253747789478,0.03555253747789478,0.03555253747789478,1.0,0.04361376,1.2267411300000002,1.2341200000000003,1.1831273700000002,1.1903200000000003,False,0.557511061848884,DOGEUSDT_SWAP_OKX.GLOBAL,False
