split,symbol,month,trade_count,net_pnl,no_cost_pnl,win_rate,avg_trade,max_drawdown,max_ddpercent,active_symbol_count,avg_holding_minutes
oos,BTCUSDT_SWAP_OKX.GLOBAL,2026-01,27,-6.845807490000006,-6.597980000000005,0.18518518518518517,-0.2535484255555558,6.84580748999997,0.1369161497999994,1,7013.333333333333
oos,BTCUSDT_SWAP_OKX.GLOBAL,2026-02,23,6.101021955000001,6.26505,0.34782608695652173,0.2652618241304348,1.1285586550002336,0.022538584197746098,1,7262.608695652174
oos,BTCUSDT_SWAP_OKX.GLOBAL,2026-03,32,-1.2836310050000057,-1.0596100000000055,0.25,-0.04011346890625018,2.277209944999413,0.045536868423816,1,9689.875
oos,DOGEUSDT_SWAP_OKX.GLOBAL,2026-01,24,-1.7212760000000005,-1.6410000000000007,0.20833333333333334,-0.07171983333333336,1.8384642499995607,0.036769284999991214,1,5130.0
oos,DOGEUSDT_SWAP_OKX.GLOBAL,2026-02,20,-0.10505425000000053,-0.0445000000000005,0.25,-0.005252712500000026,0.7690034999995987,0.01537802795396667,1,6168.0
oos,DOGEUSDT_SWAP_OKX.GLOBAL,2026-03,32,-0.5150842499999986,-0.4204999999999986,0.15625,-0.016096382812499956,1.0484125000002678,0.020968250000005354,1,6899.96875
oos,ETHUSDT_SWAP_OKX.GLOBAL,2026-01,13,-2.853390140000001,-2.809740000000001,0.15384615384615385,-0.2194915492307693,2.8533901399996466,0.057067802799992934,1,3913.846153846154
oos,ETHUSDT_SWAP_OKX.GLOBAL,2026-02,14,-3.0738749149999998,-3.0420900000000004,0.14285714285714285,-0.2195624939285714,3.5023110450001695,0.07004622090000338,1,12805.714285714286
oos,ETHUSDT_SWAP_OKX.GLOBAL,2026-03,33,-6.811715185,-6.7362899999999994,0.18181818181818182,-0.20641561166666667,6.838632345000406,0.1367726469000081,1,3767.121212121212
oos,LINKUSDT_SWAP_OKX.GLOBAL,2026-01,25,-0.0627299749999989,-0.0584499999999988,0.12,-0.002509198999999956,0.06510128999980225,0.001302025799996045,1,3897.6
oos,LINKUSDT_SWAP_OKX.GLOBAL,2026-02,23,0.0039044750000007946,0.006990000000000798,0.17391304347826086,0.0001697597826087302,0.05333428499943693,0.001066673488975172,1,4246.95652173913
oos,LINKUSDT_SWAP_OKX.GLOBAL,2026-03,29,-0.0583684299999993,-0.054399999999999206,0.3448275862068966,-0.0020127044827585967,0.11869214499984082,0.0023738219222428835,1,10088.241379310344
oos,SOLUSDT_SWAP_OKX.GLOBAL,2026-01,15,-0.0037414499999995146,0.022100000000000508,0.3333333333333333,-0.00024942999999996767,0.14188205000027665,0.002837641000005533,1,6432.0
oos,SOLUSDT_SWAP_OKX.GLOBAL,2026-02,12,0.5027896999999999,0.5186,0.4166666666666667,0.04189914166666666,0.22044784999980038,0.004408377584094734,1,7600.0
oos,SOLUSDT_SWAP_OKX.GLOBAL,2026-03,35,-0.44309929999999886,-0.39819999999999883,0.2,-0.012659979999999968,1.0108394999997472,0.020215337847575086,1,8845.6
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-01,17,-3.9016827250000015,-3.7322500000000014,0.23529411764705882,-0.22951074852941186,3.901682724999773,0.07803365449999547,1,6197.64705882353
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-02,10,-0.9465799300000017,-0.846840000000002,0.1,-0.09465799300000018,1.005914864999795,0.020118058559256514,1,4752.0
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-03,17,-2.456342534999994,-2.3055099999999946,0.23529411764705882,-0.14449073735294082,3.1873765949994777,0.06373821293907315,1,11760.0
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-04,6,-2.6803033549999973,-2.6297699999999966,0.0,-0.4467172258333329,2.680303355000433,0.053606067100008654,1,19360.0
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-05,17,3.757515439999994,3.9279999999999937,0.5294117647058824,0.22103031999999964,1.0241662700000234,0.020463755167240246,1,9910.588235294117
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-06,20,-1.9802215700000043,-1.7721400000000036,0.3,-0.09901107850000021,4.54238254000029,0.09080112138215828,1,19908.0
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-07,21,2.832594410000001,3.0698200000000013,0.42857142857142855,0.13488544809523814,0.9091236300000674,0.01816887603775395,1,8605.714285714286
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-08,23,-5.198640624999993,-4.933929999999993,0.043478260869565216,-0.22602785326086927,5.380905365000217,0.10761418444573467,1,10424.347826086956
train,BTCUSDT_SWAP_OKX.GLOBAL,2025-09,30,-4.239901744999995,-3.9006299999999956,0.13333333333333333,-0.1413300581666665,4.611142244999428,0.09221599803734469,1,7559.933333333333
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-01,13,-1.010560499999998,-0.9389999999999978,0.3076923076923077,-0.07773542307692292,1.489431500000137,0.029785777291011315,1,6720.0
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-02,4,1.1098274999999989,1.1289999999999991,0.5,0.2774568749999997,0.21717599999919912,0.004342367532601173,1,10200.0
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-03,15,0.8089785000000004,0.8680000000000001,0.6666666666666666,0.053931900000000026,0.37613150000015594,0.00752158483066139,1,7792.0
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-04,19,0.2270687500000007,0.29650000000000065,0.2631578947368421,0.0119509868421053,0.5497079999995549,0.010993886399537828,1,8715.78947368421
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-05,16,-0.8846435000000004,-0.8200000000000003,0.125,-0.05529021875000002,0.8846434999995836,0.017692869999991673,1,5550.0
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-06,18,-0.3476707499999997,-0.2804999999999997,0.2222222222222222,-0.01931504166666665,0.5293494999996256,0.010586989999992512,1,5160.0
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-07,15,-2.6785980000000014,-2.6190000000000007,0.3333333333333333,-0.1785732000000001,2.67859800000042,0.053571960000008405,1,10384.0
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-08,20,-1.5614704999999998,-1.4769999999999999,0.1,-0.07807352499999999,1.561470499999814,0.03122940999999628,1,1848.0
train,DOGEUSDT_SWAP_OKX.GLOBAL,2025-09,27,-1.6740715000000013,-1.555000000000001,0.4074074074074074,-0.062002648148148196,1.8830504999996265,0.037660809023085176,1,4773.222222222223
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-01,19,-1.7670985899999998,-1.70374,0.15789473684210525,-0.09300518894736841,1.8011125000002721,0.036022046078121935,1,3625.2631578947367
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-02,15,0.9837512500000022,1.027000000000002,0.3333333333333333,0.06558341666666681,0.29450400000041554,0.005890080000008311,1,7392.0
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-03,16,-0.1540641750000002,-0.11867000000000011,0.5625,-0.009629010937500012,0.5260750150000604,0.010521359040003267,1,9015.0
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-04,21,1.1798418050000001,1.2168100000000002,0.47619047619047616,0.0561829430952381,0.24515703999986727,0.004902652176815152,1,11085.714285714286
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-05,21,1.9235197100000012,1.9695000000000011,0.5238095238095238,0.09159617666666672,0.22388856000088708,0.004475991135610211,1,15108.57142857143
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-06,33,0.1674842200000008,0.2494600000000006,0.21212121212121213,0.005075279393939418,2.1680589400002646,0.04334093387567302,1,10792.727272727272
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-07,13,3.738935959999999,3.7799199999999997,0.46153846153846156,0.2876104584615384,0.7117193699996278,0.014234387399992556,1,12147.692307692309
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-08,32,1.5895783350000015,1.7218100000000012,0.34375,0.049674322968750045,2.6222176350001973,0.052400212898901,1,8977.5
train,ETHUSDT_SWAP_OKX.GLOBAL,2025-09,24,1.495299715000002,1.5978300000000019,0.3333333333333333,0.06230415479166675,1.3757368650003627,0.027514737300007256,1,15499.875
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-01,20,0.01885696,0.02404,0.4,0.0009428479999999999,0.0458943099993121,0.0009178836807718707,1,7236.0
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-02,21,-0.0447551950000004,-0.0396500000000004,0.2857142857142857,-0.002131199761904781,0.06710407999980816,0.0013420756012175088,1,5531.428571428572
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-03,32,-0.09133294999999919,-0.08525999999999909,0.21875,-0.0028541546874999747,0.18098137000015413,0.003619562502391196,1,7140.0
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-04,22,0.0174797000000007,0.021300000000000704,0.45454545454545453,0.0007945318181818501,0.04332364000038069,0.0008664728000076138,1,14443.636363636364
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-05,25,-0.15106878499999948,-0.1463099999999993,0.0,-0.006042751399999979,0.151068784999552,0.00302137569999104,1,7363.2
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-06,28,-0.02502026500000051,-0.0200900000000004,0.39285714285714285,-0.0008935808928571611,0.0634294499996031,0.0012685795385452897,1,6660.0
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-07,22,-0.028515579999999693,-0.0242799999999997,0.2727272727272727,-0.0012961627272727134,0.12575070000002597,0.0025150140000005194,1,10309.09090909091
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-08,19,0.23622288000000072,0.24086000000000068,0.5263157894736842,0.012432783157894775,0.03427951999947254,0.0006855885895186407,1,9953.684210526315
train,LINKUSDT_SWAP_OKX.GLOBAL,2025-09,31,-0.0324187999999997,-0.024179999999999997,0.4838709677419355,-0.0010457677419354742,0.07726465500036284,0.0015452931000072567,1,11829.483870967742
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-01,13,-1.0886434499999988,-1.0544999999999984,0.15384615384615385,-0.08374180384615376,1.2675128999999288,0.025350257999998578,1,5316.923076923077
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-02,7,-1.0449836999999995,-1.0285999999999995,0.2857142857142857,-0.14928338571428565,1.1968948000003365,0.02393789600000673,1,5965.714285714285
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-03,12,-0.0645665500000003,-0.04370000000000031,0.16666666666666666,-0.0053805458333333585,0.16948984999999084,0.003389725867754988,1,3020.0
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-04,14,-0.5819702999999995,-0.5581999999999993,0.14285714285714285,-0.04156930714285711,0.6837759000000005,0.013675518000000011,1,8091.428571428572
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-05,18,-1.8558732499999997,-1.8208999999999997,0.0,-0.10310406944444443,1.855873249999604,0.03711746499999208,1,1626.6666666666667
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-06,12,-0.1332493499999996,-0.11049999999999961,0.25,-0.011104112499999966,0.2598019999995813,0.005196039999991626,1,3600.0
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-07,18,-2.1438707499999996,-2.1070999999999995,0.0,-0.11910393055555553,2.143870750000133,0.04287741500000265,1,6733.333333333333
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-08,21,-0.8994291499999992,-0.853299999999999,0.047619047619047616,-0.04282995952380949,0.8994291500002873,0.017988583000005748,1,2114.285714285714
train,SOLUSDT_SWAP_OKX.GLOBAL,2025-09,31,1.68675075,1.7645000000000002,0.4838709677419355,0.05441131451612904,0.15047270000013668,0.003009413053928722,1,8856.548387096775
validation,BTCUSDT_SWAP_OKX.GLOBAL,2025-10,25,-5.224013195,-4.933889999999999,0.16,-0.20896052780000002,6.3534129449999455,0.12703956320981308,1,4800.0
validation,BTCUSDT_SWAP_OKX.GLOBAL,2025-11,12,2.3249105799999987,2.448199999999998,0.5833333333333334,0.19374254833333324,0.5962678500000038,0.011925311601841399,1,7820.0
validation,BTCUSDT_SWAP_OKX.GLOBAL,2025-12,24,-4.830937974999996,-4.615829999999995,0.041666666666666664,-0.2012890822916665,4.83093797499987,0.09661875949999739,1,3619.9166666666665
validation,DOGEUSDT_SWAP_OKX.GLOBAL,2025-10,22,-1.108978,-1.0170000000000003,0.045454545454545456,-0.05040809090909091,1.1089780000002065,0.02217956000000413,1,4647.272727272727
validation,DOGEUSDT_SWAP_OKX.GLOBAL,2025-11,18,-1.272362499999999,-1.2049999999999992,0.3333333333333333,-0.0706868055555555,1.813774000000194,0.0362735055605492,1,6346.666666666667
validation,DOGEUSDT_SWAP_OKX.GLOBAL,2025-12,31,1.0243087500000005,1.1295000000000004,0.3548387096774194,0.033042217741935505,1.207972250000239,0.024159130844330932,1,14461.709677419354
validation,ETHUSDT_SWAP_OKX.GLOBAL,2025-10,39,-4.233367945000001,-4.0704100000000025,0.20512820512820512,-0.10854789602564106,4.439391185000204,0.08878416537972164,1,3895.3846153846152
validation,ETHUSDT_SWAP_OKX.GLOBAL,2025-11,19,0.9043899100000006,0.9694200000000006,0.47368421052631576,0.04759946894736845,0.5586472850000064,0.011169677369310637,1,5141.0526315789475
validation,ETHUSDT_SWAP_OKX.GLOBAL,2025-12,18,-3.1976208550000003,-3.13969,0.16666666666666666,-0.17764560305555557,3.197620855000423,0.06395241710000846,1,9879.944444444445
validation,LINKUSDT_SWAP_OKX.GLOBAL,2025-10,26,-0.053836925000000105,-0.04757,0.2692307692307692,-0.0020706509615384654,0.09334089999993012,0.0018668179999986024,1,3729.230769230769
validation,LINKUSDT_SWAP_OKX.GLOBAL,2025-11,18,-0.05769839499999929,-0.0542499999999993,0.2777777777777778,-0.0032054663888888496,0.05769839500044327,0.0011539679000088653,1,5973.333333333333
validation,LINKUSDT_SWAP_OKX.GLOBAL,2025-12,37,-0.051392294999998894,-0.04500999999999881,0.1891891891891892,-0.0013889809459459162,0.10454489499988995,0.002090897899997799,1,13063.648648648648
validation,SOLUSDT_SWAP_OKX.GLOBAL,2025-10,21,-0.4516098499999997,-0.3994999999999994,0.23809523809523808,-0.021505230952380938,0.45160984999984066,0.009032196999996814,1,3405.714285714286
validation,SOLUSDT_SWAP_OKX.GLOBAL,2025-11,15,1.1852759499999996,1.2144999999999997,0.6,0.07901839666666664,0.21165819999987434,0.004232386640378947,1,6976.0
validation,SOLUSDT_SWAP_OKX.GLOBAL,2025-12,35,-0.9701447500000002,-0.9087000000000001,0.2,-0.027718421428571435,1.7713958000003913,0.03542791600000783,1,8626.228571428572
