tag,base,n,net,dpnl_pct,pf,win,max_dd,dd/flatref,dd/net,cohort_pnl,virtual_blocked_pnl,triggers,blocked
K2,FLAT,17900,172344.0,-8.92,2.138,0.4905,2270.0,1.009,0.01317,-595.0,16883.0,3398,3398
K2,v2B,17900,262915.0,-9.42,2.489,0.4905,3433.0,1.526,0.01306,65.0,27354.0,3398,3398
K3,FLAT,20421,185573.0,-1.93,2.081,0.4858,2250.0,1.0,0.01212,146.0,3654.0,877,877
K3,v2B,20421,284493.0,-1.99,2.434,0.4858,3426.0,1.522,0.01204,1588.0,5776.0,877,877
K4,FLAT,21170,189110.0,-0.06,2.067,0.4831,2250.0,1.0,0.0119,946.0,118.0,128,128
K4,v2B,21170,290124.0,-0.05,2.42,0.4831,3426.0,1.522,0.01181,2864.0,146.0,128,128
