policy_name,hour,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_5m_pullback_reclaim,0,17,6,11,38,0.001947051689552337,0.0016311578249538544,0.7058823529411765,0.008378124558356292,0.003055656526188888,0.001278823030131493,0.002195894731250624,0.6470588235294118,0.008842645381984093,0.004456025128498076,0.0011488362161009569,0.007374275321718121,0.5882352941176471,0.013669515007343813,0.006857859726105642,0.0031612398213656245,0.002161793228673603,0.6470588235294118,0.02375425969764211,0.009568996495045168
htf_1h_15m_structure_5m_pullback_reclaim,1,20,9,11,45,0.0008332595617777105,0.0036629213646038163,0.6,0.007277432049158761,0.0031995999407991027,0.005472425704630246,0.004907801025402914,0.6,0.01079563418525531,0.003741999982844524,0.00021194395684703826,0.0036082407859751977,0.5,0.011462424769472457,0.006153614950510977,0.0024222483466693756,0.001872305484091108,0.6,0.017939217569657218,0.00876447650491785
htf_1h_15m_structure_5m_pullback_reclaim,2,17,4,13,44,-0.0017278027874931823,-0.0018457945199794143,0.35294117647058826,0.0013016915071835111,0.004127588613059396,-0.00464670658682631,-0.004560478250603298,0.17647058823529413,0.0018056191893636164,0.005967252008555413,-0.008589876136036678,-0.006931289585846486,0.4117647058823529,0.002566616462299054,0.011882392967407784,-0.006401527460899725,-0.0074929608609275705,0.35294117647058826,0.012352104316600387,0.014727708803611628
htf_1h_15m_structure_5m_pullback_reclaim,3,21,11,10,69,-7.123724853252966e-05,0.0005983411266677843,0.42857142857142855,0.002134296028880822,0.00284884953618747,0.001310765372998235,0.002478422130787237,0.7142857142857143,0.00401755408957194,0.005520906351288879,0.002125719496210099,0.0005908152121743269,0.6666666666666666,0.006860193904370648,0.0059567673790222875,0.0023477038691066543,0.0033252099626010423,0.5714285714285714,0.0215070479333348,0.012308405243535048
htf_1h_15m_structure_5m_pullback_reclaim,4,15,6,9,42,4.1879601804239996e-05,0.0004825956833505766,0.5333333333333333,0.00255766456182438,0.0027412398921832226,0.00024411466662610515,0.0012920914599379608,0.6,0.00255766456182438,0.0034960414415261543,0.0007985800001586441,-0.00046270181979553754,0.5333333333333333,0.004342956947289922,0.004577766842444708,-0.0001981132075471459,0.00028582487306039184,0.4666666666666667,0.014129727972255202,0.0055777488938894
htf_1h_15m_structure_5m_pullback_reclaim,5,16,6,10,44,-0.0003506188450450032,-0.00033204409747712715,0.4375,0.002971013501590458,0.0034088640445374963,-0.001532657477729682,-0.0013953627290765255,0.375,0.00526998946665469,0.00419135695924544,-0.0005641493521322261,-0.001776976112728347,0.5,0.011308751219654578,0.008371737290610581,-0.0010845461673719137,0.0015093751772536218,0.375,0.014794072032851102,0.011500886352009299
htf_1h_15m_structure_5m_pullback_reclaim,6,26,9,17,74,-0.0003479556491587932,-0.002211096199699084,0.38461538461538464,0.0026870860439263122,0.002549605844941072,-0.0024712684395046813,-0.004596932004661803,0.34615384615384615,0.004230856921358606,0.007034256191696675,-0.004794984263667812,-0.006219767182892099,0.3076923076923077,0.005819162389101851,0.014525729206335547,-0.004167541286062282,-0.004141329478612044,0.3076923076923077,0.014037467782399782,0.016610532055528926
htf_1h_15m_structure_5m_pullback_reclaim,7,23,11,12,66,-0.0013678648098198742,-0.0021788284782482984,0.43478260869565216,0.004372980192406839,0.005285714285714338,-0.0021575832517999327,-0.005672021581955316,0.2608695652173913,0.004971077267322599,0.009440193757912718,-0.0034634599114046205,-0.00339894180891998,0.391304347826087,0.009396651442013848,0.012486101341078637,-0.0004239359358877426,-0.002168759121430017,0.391304347826087,0.011825951859298911,0.015145593658832057
htf_1h_15m_structure_5m_pullback_reclaim,8,19,11,8,57,-0.0005031527966173899,-0.0031683871356532026,0.3684210526315789,0.0021100882469826665,0.0025044189241422155,-0.0009071334582718693,-0.0032855260847726867,0.3684210526315789,0.002901194090711101,0.0068127376216953195,-0.0001694157378888672,-0.0010548469905686225,0.47368421052631576,0.0056226171158690885,0.008752237867810098,-0.001359521448450196,-0.004816540685215309,0.3684210526315789,0.009556747600225846,0.016547982842244013
htf_1h_15m_structure_5m_pullback_reclaim,9,18,9,9,55,-0.00017471882294683994,-0.0005364379436025425,0.4444444444444444,0.0023931644961677767,0.0050212378769781685,0.0009758247845417234,0.0013599971641987734,0.6111111111111112,0.004715442375030632,0.008066760111832494,-0.0013293627484140536,0.0024938477217450027,0.4444444444444444,0.011226831652212166,0.009409196449795043,-0.0011830417120849979,0.003816067231231802,0.3888888888888889,0.011226831652212166,0.010467438519169647
htf_1h_15m_structure_5m_pullback_reclaim,10,14,5,9,44,0.0004013092228899451,0.0012468862692080235,0.5714285714285714,0.007476452720644233,0.006682801484220013,0.0012364402507135108,0.003512978082778736,0.5,0.011175498628119618,0.006862991319686262,0.003630605480495208,0.0037821705807031653,0.6428571428571429,0.011872516214351037,0.008002820070659777,0.00028681359151766506,0.0006470496404690852,0.5,0.0218150873046129,0.009446441183569465
htf_1h_15m_structure_5m_pullback_reclaim,11,22,10,12,68,0.0003752811924910837,0.0003023787940959881,0.5,0.005209374358527752,0.004747948263588764,1.6677153717503668e-05,-0.0009382433716993231,0.5,0.006552196557577328,0.0074891688436988235,-0.0007944525903076372,-0.0016393050587431872,0.4090909090909091,0.006576618558517433,0.009196512489472841,-0.0027766053668970003,-0.0015965115012409705,0.36363636363636365,0.011276631618986066,0.010721676494203247
htf_1h_15m_structure_5m_pullback_reclaim,12,26,12,14,67,-0.00030187322651720194,-0.000347301694261145,0.4230769230769231,0.0021364282682349023,0.0029549254180147866,-0.0029246735731355278,-0.0027521613281317916,0.15384615384615385,0.004100887621536264,0.007940302000383315,-0.0029358146777734295,-0.002447746189987413,0.38461538461538464,0.010921153050971855,0.011307439679026976,-0.001587528707971353,-0.002674504499372168,0.38461538461538464,0.012525070222853318,0.012894583947680172
htf_1h_15m_structure_5m_pullback_reclaim,13,18,5,13,39,-0.0004279764072057102,0.0005617500882721887,0.4444444444444444,0.0027333676147586194,0.003095674165528417,-0.0011096444306195608,-0.0005972704437831908,0.3888888888888889,0.003505583180381855,0.003959315280464226,-0.005117894787240285,-0.0022569262568895823,0.2222222222222222,0.007510638297872463,0.009846525307041054,-0.0034836599929368717,-0.00034770174023661545,0.2777777777777778,0.00804061935319822,0.011420273326480213
htf_1h_15m_structure_5m_pullback_reclaim,14,23,7,16,76,-0.0004437229437229684,0.000364969579384299,0.391304347826087,0.003220349656575472,0.004171617353000756,0.0,0.00045533700294345716,0.4782608695652174,0.008753032345484968,0.007544807704455758,-0.0011864239205661153,0.0013773276006891996,0.43478260869565216,0.012426160451781687,0.011650496141124567,0.0021280800158085533,0.0027905441132901514,0.5217391304347826,0.01806260185932196,0.014743430817923953
htf_1h_15m_structure_5m_pullback_reclaim,15,18,8,10,61,-0.000921903046747774,-0.0015081342713442563,0.4444444444444444,0.0027168902754532986,0.0038394189321320216,-0.0009430131626991245,-0.0030810698001492967,0.4444444444444444,0.00397701758454394,0.008027761731261684,0.00037826185622780173,-0.0008746557023802423,0.5555555555555556,0.007484331025304991,0.009795585654353789,0.001653428832454229,-0.0027432291093114993,0.6111111111111112,0.016974799311097244,0.01355540084959772
htf_1h_15m_structure_5m_pullback_reclaim,16,18,6,12,70,-0.001741290318115929,-0.0038441846569333324,0.3888888888888889,0.003722435337650598,0.006339910720694009,-0.0025209053978431095,-0.0032352176989287546,0.3888888888888889,0.004250945171146436,0.009305289783957837,0.00048784693982528715,0.0018481113629458257,0.5555555555555556,0.015354103583090306,0.01344688051281917,0.002558127560406298,0.0061677721191886565,0.5555555555555556,0.020699469779192126,0.017870991882380505
