family,scope,forward_trade_count,reverse_trade_count,random_trade_count,forward_no_cost_pnl,forward_cost_aware_pnl,forward_funding_adjusted_pnl,reverse_no_cost_pnl,reverse_cost_aware_pnl,reverse_funding_adjusted_pnl,random_no_cost_pnl,random_cost_aware_pnl,random_funding_adjusted_pnl,forward_gt_reverse,forward_gt_random,reverse_clearly_weaker,random_clearly_weaker,control_pass,reverse_or_random_stronger
cross_symbol_breadth_acceleration,all_splits,5778,5778,5778,4832.655978873796,-945.3440211262035,-787.9121428581724,364.3234020359357,-5413.676597964064,-5401.828930659255,3020.0728161011602,-2757.92718389884,-2569.571284656984,True,True,True,True,True,False
cross_symbol_breadth_acceleration,train_ext,2610,2610,2610,235.19297738630922,-2374.8070226136915,-2283.6863348488455,1105.9345339411218,-1504.0654660588784,-1505.1136629499042,1988.699124999016,-621.3008750009841,-512.617484950253,False,False,False,False,False,True
cross_symbol_breadth_acceleration,validation_ext,1804,1804,1804,3247.3202379598924,1443.320237959892,1483.8271074639229,-653.5192060868495,-2457.5192060868494,-2449.2827921243743,745.2290089422343,-1058.7709910577655,-1001.5738830613445,True,True,True,True,True,False
cross_symbol_breadth_acceleration,oos_ext,1364,1364,1364,1350.142763527595,-13.857236472404708,11.947084526750615,-88.0919258183369,-1452.0919258183367,-1447.4324755849773,286.1446821599088,-1077.8553178400912,-1055.379916645388,True,True,True,True,True,False
