exit_variant,oracle,source_policy,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share,avg_hold_bars,max_hold_bars_used,exit_reason_distribution
health_drawdown_only,False,v3_1d_donchian_20_10_atr4,89,0.026879999999999064,-0.20626559500000163,-1.0611780245159248,8600,True,0.34831460674157305,0.9335985997491466,4.3538631332334585,0.6679074452978815,-7.338265810997796,0.5470183432349629,0.39325842696629215,0.30337078651685395,31.95505617977528,50,"{""data_end"": 2, ""hard_drawdown"": 18, ""health_deterioration"": 44, ""max_hold_bars"": 25}"
health_drawdown_only,False,v3_1d_donchian_55_20_atr5,43,1.448500000000001,1.336375425000001,0.6831625391820528,4493,True,0.46511627906976744,1.0766887507043432,3.9759267735539225,0.9121641160056235,7.028549469259896,0.46725245999763404,0.3023255813953488,0.16279069767441862,34.55813953488372,50,"{""hard_drawdown"": 12, ""health_deterioration"": 15, ""max_hold_bars"": 16}"
health_drawdown_only,False,v3_1d_ema_50_200_atr5,162,3.340750000000002,2.837679090000003,0.7253319295037159,18795,True,0.43209876543209874,1.0189027781529127,16.642856375483774,0.766114163124846,24.48309292408117,0.5143356111184085,0.5246913580246914,0.4506172839506173,38.388888888888886,50,"{""data_end"": 3, ""hard_drawdown"": 34, ""health_deterioration"": 43, ""max_hold_bars"": 82}"
health_drawdown_only,False,v3_4h_donchian_100_30_atr5,170,-6.763190000000003,-7.218668970000002,-7.5202737201767516,2845,True,0.3941176470588235,0.6246008815234678,8.064215596521606,0.36122664478756705,-0.9514385088518962,0.5205487307719889,0.3235294117647059,0.041176470588235294,32.688235294117646,50,"{""data_end"": 1, ""hard_drawdown"": 51, ""health_deterioration"": 50, ""max_hold_bars"": 68}"
health_drawdown_only,False,v3_4h_donchian_20_10_atr4,517,-9.96911,-11.288036599999995,-11.83456220921586,8976,True,0.40618955512572535,0.7284665978234638,13.480304493539437,0.3651816685602065,-1.4571856051995815,0.593702365776574,0.379110251450677,0.2727272727272727,34.03868471953578,50,"{""data_end"": 3, ""hard_drawdown"": 136, ""health_deterioration"": 190, ""max_hold_bars"": 188}"
health_drawdown_only,False,v3_4h_donchian_55_20_atr4,278,-10.535300000000003,-11.287693785000005,-11.691384079946031,4723,True,0.4064748201438849,0.5928349543729154,12.398975086509857,0.43480230713235957,-0.7927743897596289,0.5514562441734773,0.37410071942446044,0.12589928057553956,33.28776978417266,50,"{""data_end"": 1, ""hard_drawdown"": 84, ""health_deterioration"": 88, ""max_hold_bars"": 105}"
health_drawdown_only,False,v3_4h_donchian_55_with_risk_filters,73,3.4091299999999998,3.2599786750000015,3.1314146396302935,1185,True,0.3424657534246575,2.0809513030314686,0.8228966645740425,0.5243065257574038,1.148047475483883,0.5833297646185358,0.3835616438356164,0.136986301369863,31.835616438356166,50,"{""data_end"": 1, ""hard_drawdown"": 29, ""health_deterioration"": 22, ""max_hold_bars"": 21}"
health_drawdown_only,False,v3_4h_ema_50_200_atr4,1116,6.863220000000005,3.6043205650000134,1.1955794716891477,21885,True,0.43637992831541217,1.0132759155313107,19.994366047858215,0.9972912032545367,38.8399034476038,0.5006152061175565,0.53584229390681,0.471326164874552,38.42921146953405,50,"{""data_end"": 9, ""hard_drawdown"": 228, ""health_deterioration"": 308, ""max_hold_bars"": 571}"
health_drawdown_only,False,v3_4h_vol_compression_donchian_breakout,349,-4.52243,-5.419819979999997,-5.840749566191359,5592,True,0.40974212034383956,0.7722366609256588,6.147771486145818,0.8814305290279427,-1.8315499717100645,0.5485692029293182,0.4355300859598854,0.30945558739255014,31.369627507163322,50,"{""data_end"": 3, ""hard_drawdown"": 118, ""health_deterioration"": 136, ""max_hold_bars"": 92}"
health_drawdown_only,False,v3_ensemble_core,1154,-4.443260000000001,-7.750303649999995,-9.978080391563129,22319,True,0.4202772963604853,0.8961444100957732,22.198593324496414,1.0,-4.530558646248294,0.5047080973950118,0.5363951473136915,0.4506065857885615,37.61871750433276,50,"{""data_end"": 10, ""hard_drawdown"": 255, ""health_deterioration"": 325, ""max_hold_bars"": 564}"
health_ema20_core,False,v3_1d_donchian_20_10_atr4,89,2.052299999999999,1.8191544050000013,1.1363892651037677,4588,True,0.38202247191011235,1.1073609994169102,3.5428977974788247,0.7072613340817328,6.507488785030821,0.34336429973104976,0.5168539325842697,0.30337078651685395,16.921348314606742,50,"{""hard_drawdown"": 9, ""health_deterioration"": 77, ""max_hold_bars"": 3}"
health_ema20_core,False,v3_1d_donchian_55_20_atr5,43,3.4435800000000025,3.3314554250000015,2.784113588047731,2447,True,0.37209302325581395,1.4657773135032433,3.0322338596619502,0.39514062976446845,1.8658603145686794,0.24807454795275538,0.4186046511627907,0.16279069767441862,18.697674418604652,50,"{""hard_drawdown"": 7, ""health_deterioration"": 34, ""max_hold_bars"": 2}"
