exit_variant,oracle,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share,avg_hold_bars,max_hold_bars_used,exit_reason_distribution
health_drawdown_only,False,BTCUSDT_SWAP_OKX.GLOBAL,764,14.588709999999988,9.467966869999984,3.3553277972738016,21436,True,0.45157068062827227,1.0236383696284443,33.79609128369087,1.0,16.910852402512308,0.4884660506829433,0.5143979057591623,0.38481675392670156,37.39528795811518,50,"{""data_end"": 8, ""hard_drawdown"": 152, ""health_deterioration"": 232, ""max_hold_bars"": 372}"
health_drawdown_only,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-12.546180000000007,-15.018427979999991,-15.797643379847576,17674,True,0.42994505494505497,0.7834840884203975,24.355247158258116,1.0,-1.8477104916428972,0.5250666046811143,0.4491758241758242,0.40384615384615385,37.527472527472526,50,"{""data_end"": 7, ""hard_drawdown"": 167, ""health_deterioration"": 188, ""max_hold_bars"": 366}"
health_drawdown_only,False,ETHUSDT_SWAP_OKX.GLOBAL,806,-15.267429999999987,-17.443995124999994,-19.26156730313427,20619,True,0.3771712158808933,0.8009144492074572,19.493416773880007,1.0,-1.7460266465767018,0.5233231607307893,0.5037220843672456,0.37220843672456577,35.858560794044664,50,"{""data_end"": 6, ""hard_drawdown"": 217, ""health_deterioration"": 242, ""max_hold_bars"": 341}"
health_drawdown_only,False,LINKUSDT_SWAP_OKX.GLOBAL,949,0.11202999999999985,-0.05103185499999463,-0.14979006461877686,21979,True,0.422550052687039,0.9728846201800425,1.2883282015306952,1.0,-13.987425678545653,0.554739536168166,0.45521601685985247,0.3340358271865121,32.93150684931507,50,"{""data_end"": 6, ""hard_drawdown"": 259, ""health_deterioration"": 378, ""max_hold_bars"": 306}"
health_drawdown_only,False,SOLUSDT_SWAP_OKX.GLOBAL,704,-8.031939999999999,-9.086946734999994,-10.33706646127703,17705,True,0.4090909090909091,0.8052711023439646,17.501515697099947,1.0,-1.9021058595469535,0.5288518484449458,0.46448863636363635,0.3536931818181818,37.62073863636363,50,"{""data_end"": 6, ""hard_drawdown"": 170, ""health_deterioration"": 181, ""max_hold_bars"": 347}"
health_ema20_core,False,BTCUSDT_SWAP_OKX.GLOBAL,764,0.8600200000000378,-4.260723129999958,-7.241814525553349,8815,True,0.3913612565445026,0.9057157597969547,24.074758905718006,1.0,-5.234799463537732,0.2475168610907426,0.6400523560209425,0.38481675392670156,13.74476439790576,50,"{""data_end"": 7, ""hard_drawdown"": 42, ""health_deterioration"": 696, ""max_hold_bars"": 19}"
health_ema20_core,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-6.102980000000006,-8.57522797999999,-8.870314614190796,6605,True,0.4175824175824176,0.771916794754181,13.252592864067797,1.0,-1.9836776243977514,0.27732181893294355,0.625,0.40384615384615385,13.74587912087912,50,"{""hard_drawdown"": 63, ""health_deterioration"": 624, ""max_hold_bars"": 41}"
health_ema20_core,False,ETHUSDT_SWAP_OKX.GLOBAL,806,-1.720119999999994,-3.896685124999998,-4.993255639121243,8043,True,0.38337468982630274,0.9017529209285498,15.796698816346252,1.0,-5.127563635859984,0.27285037414178454,0.6699751861042184,0.37220843672456577,13.481389578163771,50,"{""data_end"": 5, ""hard_drawdown"": 83, ""health_deterioration"": 689, ""max_hold_bars"": 29}"
health_ema20_core,False,LINKUSDT_SWAP_OKX.GLOBAL,949,-0.6709300000000002,-0.8339918549999947,-0.8892216411172698,10682,True,0.3793466807165437,0.7613671953146026,1.2049774776438498,1.0,-1.5678687397441626,0.35381674873784646,0.5795574288724974,0.3340358271865121,15.342465753424657,50,"{""data_end"": 2, ""hard_drawdown"": 118, ""health_deterioration"": 807, ""max_hold_bars"": 22}"
health_ema20_core,False,SOLUSDT_SWAP_OKX.GLOBAL,704,-3.8927399999999985,-4.947746734999993,-5.4157921748051825,5869,True,0.390625,0.8165186413481867,12.219841413727421,1.0,-2.656713875500351,0.2503281752770092,0.6633522727272727,0.3536931818181818,12.414772727272727,50,"{""data_end"": 4, ""hard_drawdown"": 77, ""health_deterioration"": 616, ""max_hold_bars"": 7}"
health_ema50_core,False,BTCUSDT_SWAP_OKX.GLOBAL,764,22.346300000000006,17.225556870000013,12.451921816727536,14596,True,0.3507853403141361,1.1257247757697015,20.98561890323252,1.0,4.5535530103833946,0.382392969309899,0.599476439790576,0.38481675392670156,23.592931937172775,50,"{""data_end"": 7, ""hard_drawdown"": 94, ""health_deterioration"": 512, ""max_hold_bars"": 151}"
health_ema50_core,False,DOGEUSDT_SWAP_OKX.GLOBAL,728,-1.496960000000004,-3.969207979999994,-4.376685862544045,10614,True,0.3489010989010989,0.911479072141201,12.010789959545207,1.0,-6.284590564689908,0.3991838671547126,0.5604395604395604,0.40384615384615385,22.14835164835165,50,"{""data_end"": 3, ""hard_drawdown"": 114, ""health_deterioration"": 486, ""max_hold_bars"": 125}"
health_ema50_core,False,ETHUSDT_SWAP_OKX.GLOBAL,806,-8.027649999999984,-10.204215124999985,-11.600084398151482,13050,True,0.3225806451612903,0.8240168549447131,15.984992136138752,1.0,-2.446915078316256,0.41091961342403305,0.609181141439206,0.37220843672456577,23.01985111662531,50,"{""data_end"": 6, ""hard_drawdown"": 152, ""health_deterioration"": 517, ""max_hold_bars"": 131}"
