group,timeframe,split,trade_count,total_funding_adjusted_pnl,largest_symbol_pnl_share,largest_symbol_pnl_symbol,largest_symbol_trade_count_share,largest_symbol_trade_count_symbol,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count,max_drawdown,max_drawdown_pct
D,15m,validation,496,484.09718426058726,0.46598650587214596,ETHUSDT_SWAP_OKX.GLOBAL,0.37701612903225806,BTCUSDT_SWAP_OKX.GLOBAL,3.295848499975914,1595.51097858782,25,526.2696868347789,0.31000816977513107
D,1h,oos,138,789.3384774778945,0.6648632091376199,SOLUSDT_SWAP_OKX.GLOBAL,0.36231884057971014,BTCUSDT_SWAP_OKX.GLOBAL,0.7694731737115674,607.3747833975722,7,445.2332168783323,0.20038782638111877
D,1h,train,450,3829.5583176097666,0.604808610908765,SOLUSDT_SWAP_OKX.GLOBAL,0.3466666666666667,ETHUSDT_SWAP_OKX.GLOBAL,0.7813607516177831,2992.2665654116995,23,318.63839675531017,0.1256104797511876
D,1h,validation,102,392.340787747778,0.41186836114739733,ETHUSDT_SWAP_OKX.GLOBAL,0.4019607843137255,ETHUSDT_SWAP_OKX.GLOBAL,1.280941669311277,502.56566359653993,6,235.71348857229464,0.16761218819813634
D,30m,oos,500,2455.836103373191,0.4406983176328668,ETHUSDT_SWAP_OKX.GLOBAL,0.348,BTCUSDT_SWAP_OKX.GLOBAL,0.7487035648453031,1838.6932452713063,25,168.75222012411496,0.10500455652414552
D,30m,train,1583,8124.803687132906,0.5623885757621356,SOLUSDT_SWAP_OKX.GLOBAL,0.34238787113076435,BTCUSDT_SWAP_OKX.GLOBAL,0.7357966514458668,5978.203346647426,80,568.4814819039166,0.1363924427733723
D,30m,validation,406,2341.1484082515076,0.4130210843703333,SOLUSDT_SWAP_OKX.GLOBAL,0.39901477832512317,BTCUSDT_SWAP_OKX.GLOBAL,0.5663068487771181,1325.808377596477,21,330.781607800791,0.2519817535565452
E,15m,oos,662,3653.297929783486,0.5263159318149552,ETHUSDT_SWAP_OKX.GLOBAL,0.3685800604229607,BTCUSDT_SWAP_OKX.GLOBAL,0.8223170853136812,3004.1693054020616,34,283.9398863696606,0.19701428032896628
E,15m,train,1941,5528.836409747149,0.9851750216850425,SOLUSDT_SWAP_OKX.GLOBAL,0.3384853168469861,ETHUSDT_SWAP_OKX.GLOBAL,2.0063857094022843,11092.978362139713,98,2325.913031016962,0.5241575833256474
E,15m,validation,518,5751.6762165377095,0.9494936391413668,SOLUSDT_SWAP_OKX.GLOBAL,0.3783783783783784,BTCUSDT_SWAP_OKX.GLOBAL,1.0064256433558771,5788.634436603661,26,272.908759229348,0.25805778068581936
E,1h,oos,145,1154.3977372488687,0.547020315960957,ETHUSDT_SWAP_OKX.GLOBAL,0.3586206896551724,BTCUSDT_SWAP_OKX.GLOBAL,0.9509517779664501,1097.7765807172582,8,226.41064671593654,0.15940943986876804
E,1h,train,477,2494.9424464125805,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.3417190775681342,BTCUSDT_SWAP_OKX.GLOBAL,1.8991994074069665,4738.393215741258,24,1430.7891979822605,0.8001769903631623
E,1h,validation,107,695.2436720287068,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.40186915887850466,ETHUSDT_SWAP_OKX.GLOBAL,1.2200810154434936,848.253605349448,6,406.27837473086174,0.23031478704799901
E,30m,oos,505,3090.5181718346676,0.462677355379239,SOLUSDT_SWAP_OKX.GLOBAL,0.3485148514851485,BTCUSDT_SWAP_OKX.GLOBAL,0.9994392153595111,3088.78505671275,26,584.6612242251686,0.2341239058393797
E,30m,train,1533,4361.4591900983405,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.33659491193737767,BTCUSDT_SWAP_OKX.GLOBAL,2.2591652304289807,9853.256956205116,77,2363.3711038204283,0.7837969632994889
E,30m,validation,399,3212.31154870885,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.39348370927318294,BTCUSDT_SWAP_OKX.GLOBAL,1.3153739424359514,4225.390906157698,20,436.36427248604423,0.2895979220247815
