family,hold_label,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution
breakout_retest_reclaim,fixed_hold_10d,BTCUSDT_SWAP_OKX.GLOBAL,42,179.7982478036732,137.7982478036732,264.733783782999,1260,True,0.42857142857142855,1.2438632469157154,395.63479968491214,1.0,1.6401464418904619
breakout_retest_reclaim,fixed_hold_10d,DOGEUSDT_SWAP_OKX.GLOBAL,28,-34.69449521179229,-62.69449521179229,40.456207616668905,840,True,0.39285714285714285,1.0261884928780345,1179.4865377882847,1.0,25.80641699086414
breakout_retest_reclaim,fixed_hold_10d,ETHUSDT_SWAP_OKX.GLOBAL,45,-1700.1514652526705,-1745.1514652526705,-1571.1438818054844,1350,True,0.3111111111111111,0.3836073030566908,1862.2864855781897,1.0,-0.31726537535598487
breakout_retest_reclaim,fixed_hold_10d,LINKUSDT_SWAP_OKX.GLOBAL,52,105.70178859512802,53.701788595127994,157.77532157899617,1560,True,0.5,1.067125259301173,736.7413487705063,1.0,3.7600244403172214
breakout_retest_reclaim,fixed_hold_10d,SOLUSDT_SWAP_OKX.GLOBAL,24,31.538130067051156,7.538130067051156,83.57865826193233,720,True,0.5,1.0470847947535569,1416.2263527026553,1.0,10.701771947849089
breakout_retest_reclaim,fixed_hold_1d,BTCUSDT_SWAP_OKX.GLOBAL,238,-452.8982373227136,-690.8982373227136,-635.1909076085104,714,True,0.453781512605042,0.7832324976988344,764.0322955800809,1.0,-1.43802210706013
breakout_retest_reclaim,fixed_hold_1d,DOGEUSDT_SWAP_OKX.GLOBAL,213,-956.273229891563,-1169.273229891563,-1112.1721789952212,639,True,0.47417840375586856,0.8067003918956809,1644.0296909374238,1.0,-1.635226989341937
breakout_retest_reclaim,fixed_hold_1d,ETHUSDT_SWAP_OKX.GLOBAL,250,904.8867775140945,654.8867775140945,724.4769298665492,750,True,0.448,1.2136961290850912,610.0518858757005,1.0,2.905514422558538
breakout_retest_reclaim,fixed_hold_1d,LINKUSDT_SWAP_OKX.GLOBAL,412,945.693557099813,533.693557099813,625.7004981151208,1236,True,0.5194174757281553,1.0921724950116918,950.2302476161797,1.0,4.447290816994527
breakout_retest_reclaim,fixed_hold_1d,SOLUSDT_SWAP_OKX.GLOBAL,194,-1391.8721557249967,-1585.8721557249967,-1545.7955948091053,582,True,0.42783505154639173,0.7008296026222053,2158.941400285277,1.0,-1.0468509109979884
breakout_retest_reclaim,fixed_hold_3d,BTCUSDT_SWAP_OKX.GLOBAL,238,-905.7429540029076,-1143.7429540029075,-993.3973292237864,2142,True,0.4495798319327731,0.7795143919959486,1099.1675883373407,1.0,-1.1667061795690679
breakout_retest_reclaim,fixed_hold_3d,DOGEUSDT_SWAP_OKX.GLOBAL,213,-1358.3639104565834,-1571.3639104565834,-1394.9459574796426,1917,True,0.4835680751173709,0.8460553994308453,2162.226276367219,1.0,-2.03857263744827
breakout_retest_reclaim,fixed_hold_3d,ETHUSDT_SWAP_OKX.GLOBAL,250,924.6334531294383,674.6334531294383,863.4692875618456,2250,True,0.476,1.1433162552642928,1177.7126214341154,1.0,3.150497860104883
