exit_variant,oracle,scope,trade_count,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count
health_drawdown_only,False,all_splits,3951,1.0,-4.228921955849597,178.42134423126043,198
health_drawdown_only,False,oos_ext,1024,0.7921301970777543,-1.4002425793783533,52.192031759738235,52
health_drawdown_only,False,train_ext,1768,0.9879782886622341,-14.229674569443208,55.06614572581587,89
health_drawdown_only,False,validation_ext,1159,0.37385649105902957,-62.21215890987055,65.15880896360832,58
health_ema20_core,False,all_splits,3951,0.32361129603848626,-4.139984376613142,113.47862193916048,198
health_ema20_core,False,oos_ext,1024,1.0,-1.1415766837146961,31.826346172561887,52
health_ema20_core,False,train_ext,1768,0.9990292257958859,31.89135828085433,36.198768773851945,89
health_ema20_core,False,validation_ext,1159,0.47129177309926756,-65.618130282373,43.71314619595233,58
health_ema50_core,False,all_splits,3951,1.0,-17.481153160768386,162.6253684216427,198
health_ema50_core,False,oos_ext,1024,0.675816367952065,-1.782062074088368,46.12806762454516,52
health_ema50_core,False,train_ext,1768,1.0,13.409999075722189,49.1201439196369,89
health_ema50_core,False,validation_ext,1159,0.511663889388949,4.92326284173698,63.602707150099185,58
health_energy_confirmed,False,all_splits,3951,0.33779812375816193,-4.141369594160598,113.40882262282861,198
health_energy_confirmed,False,oos_ext,1024,1.0,-1.1338940407895963,31.82384517256189,52
health_energy_confirmed,False,train_ext,1768,0.9961176063905223,16.348187357698475,36.596618773060094,89
health_energy_confirmed,False,validation_ext,1159,0.6410620367181279,-27.761859046765945,43.224427060477,58
health_no_energy,False,all_splits,3951,0.3364280296692975,-2.4110599036746674,89.27187402116449,198
health_no_energy,False,oos_ext,1024,1.0,-0.7398153260677557,21.14505367273366,52
health_no_energy,False,train_ext,1768,1.0,-4.2225350117894385,28.484447363149208,89
health_no_energy,False,validation_ext,1159,0.6833542017729476,-22.082454062464386,37.51016596744437,58
oracle_hold_to_trend_end,True,all_splits,3951,0.4560279089404798,-1.1412165795688654,219.97003498961948,198
oracle_hold_to_trend_end,True,oos_ext,1024,1.0,-0.3925002100737299,52.95668141287213,52
oracle_hold_to_trend_end,True,train_ext,1768,1.0,-2.926236520000917,69.55440274738125,89
oracle_hold_to_trend_end,True,validation_ext,1159,1.0,-2.6073271163006755,88.8051149791662,58
original_exit,False,all_splits,3951,0.3839694503214699,-2.3573924939934683,142.5951602353996,198
original_exit,False,oos_ext,1024,1.0,-1.0696340229234254,39.96293063657193,52
original_exit,False,train_ext,1768,0.8756114485324775,-141.2765448331111,50.10560236849628,89
original_exit,False,validation_ext,1159,0.508569975617853,-2.2416876396311443,51.0489099833386,58
