exit_variant,oracle,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,avg_captured_fraction,early_exit_share,late_entry_share,avg_hold_bars,max_hold_bars_used,exit_reason_distribution,train_ext_trade_count,train_ext_no_cost_pnl,train_ext_cost_aware_pnl,train_ext_funding_adjusted_pnl,validation_ext_trade_count,validation_ext_no_cost_pnl,validation_ext_cost_aware_pnl,validation_ext_funding_adjusted_pnl,oos_ext_trade_count,oos_ext_no_cost_pnl,oos_ext_cost_aware_pnl,oos_ext_funding_adjusted_pnl,stable_like,rejected_reasons
health_drawdown_only,False,3951,-21.14481000000001,-32.13243482499997,-42.19073941160384,99413,True,0.4178688939508985,0.886052853696839,75.96835359773887,1.0,-4.228921955849597,0.5254352163015611,0.4770944064793723,0.3680080992153885,36.07415844090104,50,"{""data_end"": 33, ""hard_drawdown"": 965, ""health_deterioration"": 1221, ""max_hold_bars"": 1732}",1768,5.044609999999982,1.5808460699999944,-3.8698106170372206,1159,6.078650000000014,2.4648039450000283,-1.0473645362155963,1024,-32.26807,-36.17808483999999,-37.273564258351016,False,oos_ext:no_cost_pnl_not_positive;oos_ext:cost_aware_pnl_negative;oos_ext:funding_adjusted_pnl_negative;largest_symbol_pnl_share_gt_0.7;avg_captured_fraction_lt_original_plus_0.15;early_exit_share_not_reduced_by_0.20
health_ema20_core,False,3951,-11.526749999999968,-22.514374824999933,-27.41039859478785,40014,True,0.3915464439382435,0.8627872224808788,44.84073571819501,0.32361129603848626,-4.139984376613141,0.2842099968519411,0.6330043027081751,0.3680080992153885,13.838015692229815,50,"{""data_end"": 18, ""hard_drawdown"": 383, ""health_deterioration"": 3432, ""max_hold_bars"": 118}",1768,6.9589100000000075,3.495146070000019,1.135065131283021,1159,4.573660000000007,0.9598139450000192,-0.6661748210112481,1024,-23.059319999999982,-26.969334839999973,-27.879288905059617,False,oos_ext:no_cost_pnl_not_positive;oos_ext:cost_aware_pnl_negative;oos_ext:funding_adjusted_pnl_negative;avg_captured_fraction_lt_original_plus_0.15;early_exit_share_not_reduced_by_0.20
health_ema50_core,False,3951,9.111920000000016,-1.875704824999965,-9.302897064400216,63929,True,0.3421918501645153,0.9631475067309669,36.862263701960124,1.0,-17.481153160768375,0.41242317324766914,0.5783345988357378,0.3680080992153885,22.50164515312579,50,"{""data_end"": 24, ""hard_drawdown"": 673, ""health_deterioration"": 2631, ""max_hold_bars"": 623}",1768,10.67991,7.216146070000011,3.6629490906203994,1159,19.20315000000002,15.589303945000033,12.918812014444361,1024,-20.77114000000001,-24.681154839999998,-25.884658169464977,False,oos_ext:no_cost_pnl_not_positive;oos_ext:cost_aware_pnl_negative;oos_ext:funding_adjusted_pnl_negative;largest_symbol_pnl_share_gt_0.7;avg_captured_fraction_lt_original_plus_0.15;early_exit_share_not_reduced_by_0.20
health_energy_confirmed,False,3951,-11.510649999999975,-22.498274824999942,-27.38437612106318,41173,True,0.39205264490002534,0.8632693427850711,45.54576394373362,0.3377981237581619,-4.141369594160598,0.29047438040422396,0.630473297899266,0.3680080992153885,14.352568969881043,50,"{""data_end"": 18, ""hard_drawdown"": 515, ""health_deterioration"": 3278, ""max_hold_bars"": 140}",1768,8.085430000000008,4.621666070000022,2.2385734866089857,1159,3.686340000000003,0.07249394500001571,-1.5569716346323847,1024,-23.28241999999998,-27.192434839999976,-28.065977973039786,False,oos_ext:no_cost_pnl_not_positive;oos_ext:cost_aware_pnl_negative;oos_ext:funding_adjusted_pnl_negative;avg_captured_fraction_lt_original_plus_0.15;early_exit_share_not_reduced_by_0.20
health_no_energy,False,3951,-22.323239999999988,-33.310864824999946,-37.02598756883075,24419,True,0.36294608959757024,0.7703093152399347,46.03219135544892,0.3364280296692975,-2.4110599036746674,0.1914850529616501,0.6641356618577575,0.3680080992153885,8.298911667932169,50,"{""hard_drawdown"": 204, ""health_deterioration"": 3736, ""max_hold_bars"": 11}",1768,-1.4916099999999997,-4.955373929999988,-6.7458167389067984,1159,3.222690000000016,-0.3911560549999695,-1.6986411864070767,1024,-24.054320000000004,-27.964334839999992,-28.581529643516873,False,train_ext:no_cost_pnl_not_positive;oos_ext:no_cost_pnl_not_positive;oos_ext:cost_aware_pnl_negative;oos_ext:funding_adjusted_pnl_negative;avg_captured_fraction_lt_original_plus_0.15;early_exit_share_not_reduced_by_0.20
original_exit,False,3951,-39.82208999999998,-50.80971482499996,-60.48851033450126,71435,True,0.26651480637813213,0.758658948723223,77.8522894732609,0.38396945032146984,-2.3573924939934683,0.47032678313273985,0.5707415844090103,0.3680080992153885,24.81422424702607,371,"{""original_exit"": 3951}",1768,7.973160000000003,4.50939607000002,-0.3546632771043896,1159,-15.665469999999974,-19.27931605499997,-22.772534888820807,1024,-32.129780000000004,-36.039794839999985,-37.36131216857605,False,original_exit_reference_excluded_from_health_gate;validation_ext:no_cost_pnl_not_positive;oos_ext:no_cost_pnl_not_positive;oos_ext:cost_aware_pnl_negative;oos_ext:funding_adjusted_pnl_negative;avg_captured_fraction_lt_original_plus_0.15;early_exit_share_not_reduced_by_0.20
oracle_hold_to_trend_end,True,3951,-172.61614999999992,-183.60377482499993,-192.7504725463425,112716,True,0.4507719564667173,0.6571889234267155,209.9497019665365,0.45602790894047984,-1.1412165795688654,0.7382262397503991,0.27613262465198685,0.3680080992153885,41.6099721589471,331,"{""oracle_hold_to_trend_end"": 3951}",1768,-15.20335999999998,-18.66712392999998,-23.769234739562158,1159,-27.95616999999999,-31.570016054999993,-34.05982871269508,1024,-129.45662,-133.36663483999996,-134.92140909408528,False,oracle_variant_excluded_from_stable_gate;train_ext:no_cost_pnl_not_positive;validation_ext:no_cost_pnl_not_positive;oos_ext:no_cost_pnl_not_positive;oos_ext:cost_aware_pnl_negative;oos_ext:funding_adjusted_pnl_negative
