exit_variant,oracle,avg_captured_fraction,capture_improvement_vs_original,early_exit_share,early_exit_reduction_vs_original,previous_best_non_oracle_variant,previous_best_non_oracle_avg_capture,beats_previous_best_capture
health_drawdown_only,False,0.5254352163015611,0.05510843316882125,0.4770944064793723,0.09364717792963806,atr_chandelier_5x,0.466567052552656,True
health_ema20_core,False,0.2842099968519411,-0.18611678628079875,0.6330043027081751,-0.06226271829916474,atr_chandelier_5x,0.466567052552656,False
health_ema50_core,False,0.41242317324766914,-0.057903609885070706,0.5783345988357378,-0.00759301442672744,atr_chandelier_5x,0.466567052552656,False
health_energy_confirmed,False,0.29047438040422396,-0.17985240272851588,0.630473297899266,-0.059731713490255633,atr_chandelier_5x,0.466567052552656,False
health_no_energy,False,0.1914850529616501,-0.2788417301710897,0.6641356618577575,-0.09339407744874717,atr_chandelier_5x,0.466567052552656,False
original_exit,False,0.47032678313273985,0.0,0.5707415844090103,0.0,atr_chandelier_5x,0.466567052552656,True
oracle_hold_to_trend_end,True,0.7382262397503991,0.2678994566176593,0.27613262465198685,0.2946089597570235,atr_chandelier_5x,0.466567052552656,True
