trend_segment_id,symbol,timeframe,direction,start_time,end_time,start_idx,end_idx,duration_bars,duration_days,start_price,end_price,trend_return,mfe,mae,labels,atr_labels,efficiency_labels,has_atr_move,has_efficiency,has_run_length,run_length,max_run_return,max_run_drawdown,run_duration_bars,month,quarter,abs_trend_return,is_major_trend
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00009,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2023-12-09T23:59:00+08:00,2023-12-11T23:59:00+08:00,342,344,3,2.0,44055.0,41817.2,0.05351386510813749,0.10137499999999999,-0.03279771849594615,downtrend_2atr,downtrend_2atr,,True,False,False,2,0.05351386510813749,0.0,3,2023-12,2023Q4,0.05351386510813749,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00010,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-01-02T23:59:00+08:00,2024-01-03T23:59:00+08:00,366,367,2,1.0,45194.4,42964.2,0.05190833298420561,0.13079290414592037,-0.022612456747404863,downtrend_2atr,downtrend_2atr,,True,False,False,1,0.05190833298420561,0.0,2,2024-01,2024Q1,0.05190833298420561,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00011,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-01-09T23:59:00+08:00,2024-01-23T23:59:00+08:00,373,387,15,14.0,46865.2,39203.8,0.19542493329728217,0.22262252913385017,-0.059460544272296745,downtrend_2atr;downtrend_3atr;run_length,downtrend_2atr;downtrend_3atr,,True,False,True,4,0.19542493329728217,-0.027097285925832937,15,2024-01,2024Q1,0.19542493329728217,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00012,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-03-04T23:59:00+08:00,2024-03-06T23:59:00+08:00,428,430,3,2.0,66463.8,66516.5,-0.0007922846211090295,0.12847705057481806,-0.04368633093525176,downtrend_2atr,downtrend_2atr,,True,False,False,1,0.0,-0.0068170950388523055,3,2024-03,2024Q1,0.0007922846211090295,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00013,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-03-11T23:59:00+08:00,2024-08-05T23:59:00+08:00,435,582,148,147.0,71988.0,54300.0,0.3257458563535911,0.5015487302497783,-0.055895081967213156,downtrend_2atr;downtrend_3atr;downtrend_5atr;run_length;trend_efficiency_20_ge_0.45,downtrend_2atr;downtrend_3atr;downtrend_5atr,trend_efficiency_20_ge_0.45,True,True,True,4,0.3257458563535911,-0.2596455156644275,148,2024-03,2024Q1,0.3257458563535911,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00025,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2024-03-22T23:59:00+08:00,2024-03-26T23:59:00+08:00,446,450,5,4.0,63892.0,70272.0,0.09985600701183239,0.16047862017153958,-0.06363550992299505,run_length,,,False,False,True,4,0.09985600701183239,0.0,5,2024-03,2024Q1,0.09985600701183239,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00026,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2024-04-17T23:59:00+08:00,2024-05-22T23:59:00+08:00,472,507,36,35.0,60583.3,70457.6,0.16298715982787337,0.19577507332878863,-0.0814184767089281,run_length;trend_efficiency_20_ge_0.45;uptrend_2atr;uptrend_3atr,uptrend_2atr;uptrend_3atr,trend_efficiency_20_ge_0.45,True,True,True,6,0.16298715982787337,-0.15713901355654125,36,2024-04,2024Q2,0.16298715982787337,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00027,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2024-05-31T23:59:00+08:00,2024-06-05T23:59:00+08:00,516,521,6,5.0,67231.9,71574.5,0.06459136213612893,0.07357073056093921,-0.008283270292822276,run_length,,,False,False,True,5,0.06459136213612893,0.0,6,2024-05,2024Q2,0.06459136213612893,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00028,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2024-07-05T23:59:00+08:00,2024-07-26T23:59:00+08:00,551,572,22,21.0,56667.5,67574.7,0.19247716945339044,0.24233467154894783,-0.058843252305113114,run_length;uptrend_2atr;uptrend_3atr,uptrend_2atr;uptrend_3atr,,True,False,True,5,0.19247716945339044,-0.05634270084263471,22,2024-07,2024Q3,0.19247716945339044,False
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00029,BTCUSDT_SWAP_OKX.GLOBAL,1d,up,2024-08-05T23:59:00+08:00,2024-12-17T23:59:00+08:00,582,716,135,134.0,54300.0,106482.3,0.9610000000000001,1.0194953959484345,-0.11708103130755065,run_length;trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_55_ge_0.45;uptrend_2atr;uptrend_3atr;uptrend_5atr,uptrend_2atr;uptrend_3atr;uptrend_5atr,trend_efficiency_20_ge_0.45;trend_efficiency_20_ge_0.60;trend_efficiency_55_ge_0.45,True,True,True,7,0.9610000000000001,-0.1924438305709023,135,2024-08,2024Q3,0.9610000000000001,True
TOM_BTCUSDT_SWAP_OKX_GLOBAL_1d_00014,BTCUSDT_SWAP_OKX.GLOBAL,1d,down,2024-08-10T23:59:00+08:00,2024-08-14T23:59:00+08:00,587,591,5,4.0,60521.0,59423.5,0.018469124168047912,0.055292066259808204,-0.038480786615212814,run_length,,,False,False,True,4,0.018469124168047912,0.0,5,2024-08,2024Q3,0.018469124168047912,False
