month,trend_segment_count,uptrend_count,downtrend_count,avg_duration_bars,median_duration_bars,avg_trend_return,median_trend_return,avg_mfe,avg_mae,trend_opportunity_days_ratio,strongest_month,weakest_month
2023-01,49,15,34,42.673469387755105,14.0,0.37933997979373335,0.07304262855746924,0.4966195295611461,-0.08786924678845016,0.15682967959527824,2023-01,2023-01
2023-02,43,24,19,32.0,11.0,0.12960709555306388,0.09019691882753533,0.1786959889670709,-0.04088525556410103,0.03372681281618887,2023-02,2023-02
2023-03,44,23,21,35.77272727272727,15.0,0.12316204290455836,0.0691537082223086,0.17437344772597677,-0.03682984923356428,0.04047217537942664,2023-03,2023-03
2023-04,33,14,19,54.78787878787879,22.0,0.22214049806598948,0.07018687289138148,0.30677094520674225,-0.04932864879227788,0.08853288364249579,2023-04,2023-04
2023-05,41,29,12,28.902439024390244,10.0,0.06083266906661114,0.04068522483940051,0.09371862631184448,-0.027015726515015416,0.0387858347386172,2023-05,2023-05
2023-06,41,23,18,35.951219512195124,8.0,0.1115051701317885,0.03691816473483778,0.15547181606404395,-0.03489430842260624,0.08600337268128162,2023-06,2023-06
2023-07,45,21,24,40.91111111111111,11.0,0.3114560444970191,0.0556021905104529,0.47358154412109194,-0.04427029263368172,0.2209106239460371,2023-07,2023-07
2023-08,36,25,11,54.361111111111114,25.5,0.22095452796199824,0.04941478728082005,0.30318455611871087,-0.03553553868884739,0.19477234401349072,2023-08,2023-08
2023-09,37,15,22,43.891891891891895,9.0,0.09893292831370037,0.030502885408079106,0.12942699619622877,-0.015555446161555254,0.16610455311973019,2023-09,2023-09
2023-10,29,9,20,46.3448275862069,11.0,0.20314618992306593,0.03646677471636961,0.2524311105498473,-0.026531508745839292,0.03962900505902192,2023-10,2023-10
2023-11,39,7,32,28.564102564102566,10.0,0.11083866708975347,0.06390600372546196,0.1944515780215307,-0.04433065010007326,0.05311973018549747,2023-11,2023-11
2023-12,45,15,30,29.844444444444445,20.0,0.08164668786289096,0.059308072487644026,0.14651335022796277,-0.0326844281708062,0.06323777403035413,2023-12,2023-12
2024-01,46,17,29,45.97826086956522,13.5,0.15915183304125494,0.06459838540682683,0.20491420942371766,-0.03435590995134331,0.06155143338954469,2024-01,2024-01
2024-02,34,4,30,15.676470588235293,7.0,0.05593626109920026,0.02818666524447866,0.10761379396084407,-0.019167923867605137,0.02782462057335582,2024-02,2024-02
2024-03,47,16,31,40.93617021276596,16.0,0.21021016469614612,0.12354749126310516,0.44795073372626903,-0.10365987571119237,0.14249578414839797,2024-03,2024-03
2024-04,48,35,13,28.166666666666668,9.0,0.1603415548643138,0.11050899563372207,0.28748896976111776,-0.07893950891239097,0.10118043844856661,2024-04,2024-04
2024-05,43,19,24,53.06976744186046,25.0,0.15208667273449772,0.06106071179344008,0.22704378834958264,-0.044161712554037204,0.10961214165261383,2024-05,2024-05
2024-06,37,34,3,17.2972972972973,8.0,0.055928409525558206,0.048596564725597036,0.08393044872162984,-0.02465529183726084,0.02951096121416526,2024-06,2024-06
2024-07,36,16,20,39.25,20.0,0.24778483465667125,0.08483774178765047,0.3887664424798254,-0.04566355283878343,0.050590219224283306,2024-07,2024-07
2024-08,44,19,25,46.27272727272727,16.0,0.3500891972577271,0.0785775672969371,0.4640563254035824,-0.06338270535753804,0.11467116357504216,2024-08,2024-08
2024-09,44,11,33,31.545454545454547,12.0,0.08498027540660408,0.04424325528793771,0.18561432701899977,-0.02792634806657075,0.03372681281618887,2024-09,2024-09
2024-10,35,10,25,42.97142857142857,24.0,0.18466738324747256,0.09247724005749891,0.3124914287968642,-0.08283022137280521,0.04131534569983136,2024-10,2024-10
2024-11,40,7,33,39.8,8.0,0.20089903257440983,0.06793187587202398,0.4770207823598106,-0.10335125837771308,0.14249578414839797,2024-11,2024-11
2024-12,46,22,24,34.06521739130435,23.5,0.17700930553793356,0.10466624448822592,0.3287273829641992,-0.09294318139209723,0.10792580101180438,2024-12,2024-12
2025-01,36,19,17,35.861111111111114,21.0,0.198521742910875,0.11002374504766343,0.49315526182769254,-0.10092875054240331,0.081787521079258,2025-01,2025-01
2025-02,45,35,10,31.6,14.0,0.13862208225823577,0.06495496851849714,0.3339575854152005,-0.13760416621646218,0.20826306913996628,2025-02,2025-02
2025-03,41,18,23,37.09756097560975,15.0,0.15021024652062293,0.0878764714147251,0.33502273899904844,-0.07552177662880671,0.1703204047217538,2025-03,2025-03
2025-04,41,15,26,41.31707317073171,7.0,0.22020389240989616,0.05442717696722732,0.331464076618629,-0.09144532334495332,0.12310286677908938,2025-04,2025-04
2025-05,50,19,31,26.04,13.0,0.12558340950765262,0.08148596651905704,0.40095056557947323,-0.11963706957008419,0.04384485666104553,2025-05,2025-05
2025-06,40,21,19,39.025,18.5,0.15444277475393758,0.06876668493353955,0.2740134223822341,-0.0682810786369125,0.08853288364249579,2025-06,2025-06
2025-07,38,11,27,23.736842105263158,7.0,0.1240560414964103,0.07322412904565345,0.22175980925280528,-0.04942388726635735,0.04215851602023609,2025-07,2025-07
2025-08,38,14,24,58.44736842105263,18.5,0.21110289077894653,0.07284208870459774,0.2915512191264895,-0.040729186301800516,0.18549747048903878,2025-08,2025-08
2025-09,33,17,16,34.696969696969695,13.0,0.15824083545915724,0.10412758887811613,0.25741468456410377,-0.054105047821093856,0.1399662731871838,2025-09,2025-09
2025-10,48,28,20,36.3125,17.5,0.15535737451263798,0.08139601567050703,0.28807897602971827,-0.04721356296899396,0.13322091062394603,2025-10,2025-10
2025-11,35,27,8,31.885714285714286,17.0,0.11887878862464984,0.08853503184713363,0.22311000732408232,-0.07801959768708987,0.06155143338954469,2025-11,2025-11
2025-12,42,22,20,37.595238095238095,15.0,0.10606226533330043,0.075324627486414,0.19760523344469413,-0.05462540273296086,0.0387858347386172,2025-12,2025-12
2026-01,29,17,12,42.827586206896555,7.0,0.1422019647670349,0.04524140326502257,0.26904186566478705,-0.04323524622215164,0.047217537942664416,2026-01,2026-01
2026-02,36,23,13,40.94444444444444,25.5,0.12453451324008606,0.09236981252909138,0.20738793516327197,-0.062400499006557815,0.03794266441821248,2026-02,2026-02
2026-03,47,18,29,19.595744680851062,11.0,0.1077774835178659,0.05941047693971302,0.15881371863312746,-0.03896615438200748,0.026138279932546374,2026-03,2026-03
