feature,pre_window_bars,trend_sample_count,non_trend_sample_count,trend_mean,non_trend_mean,delta,trend_median,non_trend_median,effect_size,abs_effect_size
pre_trend_compression_score,20,1547,2,0.4966298427231262,0.8845833333333333,-0.38795349061020706,0.49364583333333345,0.8845833333333333,-1.5398624696181553,1.5398624696181553
pre_trend_atr_percentile,20,1547,2,0.4993048032678073,0.10770833333333334,0.39159646993447395,0.504375,0.10770833333333334,1.4693351852814711,1.4693351852814711
pre_trend_drawdown_state,20,1570,2,-0.1198807409777096,-0.24115870998773722,0.12127796901002763,-0.0914242298891869,-0.24115870998773722,1.1732891963675085,1.1732891963675085
pre_trend_correlation,20,1569,2,0.6654271694267312,0.49251103304513405,0.17291613638159714,0.712787801618266,0.49251103304513405,0.8062021827576981,0.8062021827576981
pre_trend_market_breadth,20,1572,2,0.4960099495500259,0.31,0.18600994955002592,0.505,0.31,0.5851757567489906,0.5851757567489906
pre_trend_funding_rate,20,1572,2,7.583713904767634e-05,3.695693261305e-05,3.888020643462634e-05,5.369877282095e-05,3.695693261305e-05,0.21153477443049853,0.21153477443049853
pre_trend_volatility,20,1570,2,0.021437270268272645,0.023788904899316336,-0.0023516346310436913,0.015224163736852155,0.023788904899316336,-0.09885824116834872,0.09885824116834872
pre_trend_range_width,20,1570,2,0.22668879266204564,0.20581809776511636,0.020870694896929276,0.1482500275949129,0.20581809776511636,0.09864969552027432,0.09864969552027432
pre_trend_funding_percentile,20,1572,2,0.4992112526780054,0.4739668833585046,0.025244369319500803,0.4978944475947086,0.4739668833585046,0.0927174372398396,0.0927174372398396
pre_trend_volume_ratio,20,1570,2,134.94218966347432,1.1140753503616903,133.82811431311262,1.0382678278537,1.1140753503616903,0.025901211057254403,0.025901211057254403
pre_trend_drawdown_state,55,1570,2,-0.118927925392015,-0.24244110185819115,0.12351317646617616,-0.09260125685714098,-0.24244110185819115,1.2665338674149396,1.2665338674149396
pre_trend_compression_score,55,1547,2,0.502373431544365,0.7207765151515151,-0.2184030836071501,0.5119318181818181,0.7207765151515151,-1.0687503747085203,1.0687503747085203
pre_trend_atr_percentile,55,1547,2,0.4938985016628078,0.2828409090909091,0.2110575925718987,0.48416666666666675,0.2828409090909091,0.9638103791431724,0.9638103791431724
pre_trend_market_breadth,55,1572,2,0.49715445562684135,0.32272727272727275,0.1744271828995686,0.4963636363636364,0.32272727272727275,0.7374348985028136,0.7374348985028136
pre_trend_correlation,55,1569,2,0.6646661477934945,0.5398149947079792,0.12485115308551531,0.7029847235317207,0.5398149947079792,0.6481120228237403,0.6481120228237403
pre_trend_funding_rate,55,1572,2,7.583713904767634e-05,3.695693261305e-05,3.888020643462634e-05,5.369877282095e-05,3.695693261305e-05,0.21153477443049853,0.21153477443049853
pre_trend_range_width,55,1570,2,0.2235976412367367,0.24430990202286845,-0.020712260786131753,0.1481425840363601,0.24430990202286845,-0.10512573539312516,0.10512573539312516
pre_trend_funding_percentile,55,1572,2,0.4992112526780054,0.4739668833585046,0.025244369319500803,0.4978944475947086,0.4739668833585046,0.0927174372398396,0.0927174372398396
pre_trend_volatility,55,1570,2,0.02081103020141545,0.022061303267996834,-0.0012502730665813824,0.01556809354600733,0.022061303267996834,-0.0629077871835294,0.0629077871835294
pre_trend_volume_ratio,55,1570,2,402.0975157583939,1.2654386994552804,400.83207705893864,1.0933507257478694,1.2654386994552804,0.04115211734094991,0.04115211734094991
