,daily_net_pnl_usd
2023-01-01 00:00:00+00:00,0.0
2023-01-02 00:00:00+00:00,0.0
2023-01-03 00:00:00+00:00,0.0
2023-01-04 00:00:00+00:00,0.0
2023-01-05 00:00:00+00:00,0.0
2023-01-06 00:00:00+00:00,0.0
2023-01-07 00:00:00+00:00,0.0
2023-01-08 00:00:00+00:00,0.0
2023-01-09 00:00:00+00:00,0.0
2023-01-10 00:00:00+00:00,0.0
2023-01-11 00:00:00+00:00,0.0
2023-01-12 00:00:00+00:00,0.0
2023-01-13 00:00:00+00:00,0.0
2023-01-14 00:00:00+00:00,0.0
2023-01-15 00:00:00+00:00,0.0
2023-01-16 00:00:00+00:00,0.0
2023-01-17 00:00:00+00:00,0.0
2023-01-18 00:00:00+00:00,-167.47636956463313
2023-01-19 00:00:00+00:00,-736.9703501120702
2023-01-20 00:00:00+00:00,336.0294216789621
2023-01-21 00:00:00+00:00,1315.7304695632324
2023-01-22 00:00:00+00:00,-273.2200078012273
2023-01-23 00:00:00+00:00,124.14577931209905
2023-01-24 00:00:00+00:00,59.246498696601385
2023-01-25 00:00:00+00:00,-698.2779848736544
2023-01-26 00:00:00+00:00,607.4487952362448
2023-01-27 00:00:00+00:00,43.62229668167782
2023-01-28 00:00:00+00:00,131.8670342362418
2023-01-29 00:00:00+00:00,-169.3893691380586
2023-01-30 00:00:00+00:00,658.3459040936509
2023-01-31 00:00:00+00:00,-828.6904515888424
2023-02-01 00:00:00+00:00,365.51297773478416
2023-02-02 00:00:00+00:00,369.7554843718485
2023-02-03 00:00:00+00:00,-292.6439837344472
2023-02-04 00:00:00+00:00,391.14014196008986
2023-02-05 00:00:00+00:00,27.071208540523063
2023-02-06 00:00:00+00:00,-886.2125462920649
2023-02-07 00:00:00+00:00,-587.4246503588103
2023-02-08 00:00:00+00:00,1090.2717930182966
2023-02-09 00:00:00+00:00,-500.7325527237325
2023-02-10 00:00:00+00:00,-1401.952191244076
2023-02-11 00:00:00+00:00,-81.27377550460783
2023-02-12 00:00:00+00:00,-24.210636052583197
2023-02-13 00:00:00+00:00,2.829276866914512
2023-02-14 00:00:00+00:00,28.172902348127053
2023-02-15 00:00:00+00:00,-212.36683399510082
2023-02-16 00:00:00+00:00,-556.147761214886
2023-02-17 00:00:00+00:00,-976.683156288613
2023-02-18 00:00:00+00:00,1148.1278588613604
2023-02-19 00:00:00+00:00,395.2255859871217
2023-02-20 00:00:00+00:00,95.46747664487376
2023-02-21 00:00:00+00:00,631.0080540391722
2023-02-22 00:00:00+00:00,-1046.4872745426428
2023-02-23 00:00:00+00:00,-346.616770616262
2023-02-24 00:00:00+00:00,95.17797207830414
2023-02-25 00:00:00+00:00,-882.6814336258313
2023-02-26 00:00:00+00:00,-434.93721290765967
2023-02-27 00:00:00+00:00,-43.00226525007372
2023-02-28 00:00:00+00:00,-170.0378912472206
2023-03-01 00:00:00+00:00,75.09665206413612
2023-03-02 00:00:00+00:00,-94.48000383406531
2023-03-03 00:00:00+00:00,60.90732295441052
2023-03-04 00:00:00+00:00,24.62558931807297
2023-03-05 00:00:00+00:00,270.12012611734383
2023-03-06 00:00:00+00:00,-32.46218936619018
2023-03-07 00:00:00+00:00,172.03082645846763
2023-03-08 00:00:00+00:00,195.74064445636145
2023-03-09 00:00:00+00:00,1161.829946980329
2023-03-10 00:00:00+00:00,1684.1661097436117
2023-03-11 00:00:00+00:00,-174.60819210572572
2023-03-12 00:00:00+00:00,-249.03937225335494
2023-03-13 00:00:00+00:00,-1998.7827682328925
2023-03-14 00:00:00+00:00,-1224.330795937898
2023-03-15 00:00:00+00:00,-444.01389006417185
2023-03-16 00:00:00+00:00,767.2242369860521
2023-03-17 00:00:00+00:00,-166.73193782449516
2023-03-18 00:00:00+00:00,-158.5867872559055
2023-03-19 00:00:00+00:00,-646.6365855310111
2023-03-20 00:00:00+00:00,340.85067285321514
2023-03-21 00:00:00+00:00,-242.4344639184281
2023-03-22 00:00:00+00:00,171.0770684541851
2023-03-23 00:00:00+00:00,-893.9321373026003
2023-03-24 00:00:00+00:00,1081.072881110225
2023-03-25 00:00:00+00:00,-1147.4687159563916
2023-03-26 00:00:00+00:00,-190.12785656599144
2023-03-27 00:00:00+00:00,437.1684912924754
2023-03-28 00:00:00+00:00,-577.2473997641141
2023-03-29 00:00:00+00:00,-8.588526160041312
2023-03-30 00:00:00+00:00,-20.265830293250872
2023-03-31 00:00:00+00:00,-50.49063317795134
2023-04-01 00:00:00+00:00,326.10853467990626
2023-04-02 00:00:00+00:00,243.1768299410728
2023-04-03 00:00:00+00:00,-1140.0203150099128
2023-04-04 00:00:00+00:00,2098.3693498477355
2023-04-05 00:00:00+00:00,537.8806633061103
2023-04-06 00:00:00+00:00,-173.91729029693013
2023-04-07 00:00:00+00:00,-1321.9143669228733
2023-04-08 00:00:00+00:00,-404.8597321645924
2023-04-09 00:00:00+00:00,-362.2352731328983
2023-04-10 00:00:00+00:00,452.478930005981
2023-04-11 00:00:00+00:00,1020.9229229114817
2023-04-12 00:00:00+00:00,-62.79135506994996
2023-04-13 00:00:00+00:00,232.82745235469366
2023-04-14 00:00:00+00:00,1811.5187292244154
2023-04-15 00:00:00+00:00,1038.8498411304633
2023-04-16 00:00:00+00:00,-33.716086378962146
2023-04-17 00:00:00+00:00,1108.3346037696047
2023-04-18 00:00:00+00:00,-807.3773148734285
2023-04-19 00:00:00+00:00,1528.112364991435
2023-04-20 00:00:00+00:00,-4412.240163292963
2023-04-21 00:00:00+00:00,-1297.0731143856565
2023-04-22 00:00:00+00:00,-1440.7004763026655
2023-04-23 00:00:00+00:00,-9.517067392364899
2023-04-24 00:00:00+00:00,64.05237667106175
2023-04-25 00:00:00+00:00,-86.28331961772605
2023-04-26 00:00:00+00:00,-215.81451336504136
2023-04-27 00:00:00+00:00,291.0944844443035
2023-04-28 00:00:00+00:00,-664.8133503191814
2023-04-29 00:00:00+00:00,-230.95631922284653
2023-04-30 00:00:00+00:00,-352.11920639312257
2023-05-01 00:00:00+00:00,261.39072051887246
2023-05-02 00:00:00+00:00,-424.96311930753365
2023-05-03 00:00:00+00:00,31.351588424408597
2023-05-04 00:00:00+00:00,-301.38804147671624
2023-05-05 00:00:00+00:00,177.86752784777153
2023-05-06 00:00:00+00:00,-283.6841469553444
2023-05-07 00:00:00+00:00,298.9000347928963
2023-05-08 00:00:00+00:00,-187.4915228542965
2023-05-09 00:00:00+00:00,692.8787422691099
2023-05-10 00:00:00+00:00,-35.72999880538487
2023-05-11 00:00:00+00:00,-239.16104192350554
2023-05-12 00:00:00+00:00,662.0790451523637
2023-05-13 00:00:00+00:00,-584.981032904473
2023-05-14 00:00:00+00:00,290.1317302579543
2023-05-15 00:00:00+00:00,-223.8116515080182
2023-05-16 00:00:00+00:00,-73.74874869266958
2023-05-17 00:00:00+00:00,9.405988412059482
2023-05-18 00:00:00+00:00,-584.6990838866965
2023-05-19 00:00:00+00:00,890.875366978503
2023-05-20 00:00:00+00:00,1.274317899943341
2023-05-21 00:00:00+00:00,20.235882639888786
2023-05-22 00:00:00+00:00,636.6820146399717
2023-05-23 00:00:00+00:00,-212.44162857767304
2023-05-24 00:00:00+00:00,-239.99897459875285
2023-05-25 00:00:00+00:00,895.2518930567601
2023-05-26 00:00:00+00:00,0.4234485269012893
2023-05-27 00:00:00+00:00,-179.04225330075585
2023-05-28 00:00:00+00:00,-831.1009840491681
2023-05-29 00:00:00+00:00,-517.3036862896296
2023-05-30 00:00:00+00:00,74.40977245300729
2023-05-31 00:00:00+00:00,19.820465159571974
2023-06-01 00:00:00+00:00,-21.78524969604598
