feature,target,count,spearman,abs_spearman
breakout_distance_atr,future_return_15m,1716,-0.08002632082003214,0.08002632082003214
breakout_distance_atr,future_return_30m,1716,-0.12090936679335633,0.12090936679335633
breakout_distance_atr,future_return_60m,1716,-0.11928353343493657,0.11928353343493657
breakout_distance_atr,future_return_120m,1716,-0.1076333244448015,0.1076333244448015
breakout_distance_atr,mfe_atr,1716,0.012684252768546346,0.012684252768546346
breakout_distance_atr,mae_atr,1716,0.13399712330341634,0.13399712330341634
atr_pct,future_return_15m,1716,-0.29287713480633276,0.29287713480633276
atr_pct,future_return_30m,1716,-0.30993673296842517,0.30993673296842517
atr_pct,future_return_60m,1716,-0.27476558718758565,0.27476558718758565
atr_pct,future_return_120m,1716,-0.27113485565935846,0.27113485565935846
atr_pct,mfe_atr,1716,-0.27352760107695334,0.27352760107695334
atr_pct,mae_atr,1716,0.02813446739747006,0.02813446739747006
ema_spread_pct,future_return_15m,1716,-0.02121885461312181,0.02121885461312181
ema_spread_pct,future_return_30m,1716,-0.03658140686546859,0.03658140686546859
ema_spread_pct,future_return_60m,1716,-0.02806584973630009,0.02806584973630009
ema_spread_pct,future_return_120m,1716,-0.03686665989923927,0.03686665989923927
ema_spread_pct,mfe_atr,1716,-0.043791554099798576,0.043791554099798576
ema_spread_pct,mae_atr,1716,0.05911021866452687,0.05911021866452687
rsi,future_return_15m,1716,-0.01311023139027437,0.01311023139027437
rsi,future_return_30m,1716,-0.0346634455833671,0.0346634455833671
rsi,future_return_60m,1716,-0.04161524235217078,0.04161524235217078
rsi,future_return_120m,1716,-0.028067507356252557,0.028067507356252557
rsi,mfe_atr,1716,-0.04439418152401857,0.04439418152401857
rsi,mae_atr,1716,0.07667716894886994,0.07667716894886994
donchian_width_atr,future_return_15m,1716,0.06925303196277949,0.06925303196277949
donchian_width_atr,future_return_30m,1716,0.060592383406337005,0.060592383406337005
donchian_width_atr,future_return_60m,1716,0.012983730994499657,0.012983730994499657
donchian_width_atr,future_return_120m,1716,-0.006441883981018445,0.006441883981018445
donchian_width_atr,mfe_atr,1716,0.1322189887461949,0.1322189887461949
donchian_width_atr,mae_atr,1716,0.03773298107919312,0.03773298107919312
close_location_in_donchian,future_return_15m,1715,,
close_location_in_donchian,future_return_30m,1715,,
close_location_in_donchian,future_return_60m,1715,,
close_location_in_donchian,future_return_120m,1715,,
close_location_in_donchian,mfe_atr,1715,,
close_location_in_donchian,mae_atr,1715,,
recent_return_5m,future_return_15m,1716,-0.054562951407549846,0.054562951407549846
recent_return_5m,future_return_30m,1716,-0.11373960707685868,0.11373960707685868
recent_return_5m,future_return_60m,1716,-0.1444417691242805,0.1444417691242805
recent_return_5m,future_return_120m,1716,-0.13307239290301684,0.13307239290301684
recent_return_5m,mfe_atr,1716,0.009452159737486966,0.009452159737486966
recent_return_5m,mae_atr,1716,-0.018921124996703217,0.018921124996703217
recent_return_15m,future_return_15m,1716,-0.0266655405616431,0.0266655405616431
recent_return_15m,future_return_30m,1716,-0.07198910245457192,0.07198910245457192
recent_return_15m,future_return_60m,1716,-0.10693248723405212,0.10693248723405212
recent_return_15m,future_return_120m,1716,-0.11970200333423384,0.11970200333423384
recent_return_15m,mfe_atr,1716,0.03381787869536141,0.03381787869536141
recent_return_15m,mae_atr,1716,-0.04440233964090215,0.04440233964090215
recent_return_30m,future_return_15m,1716,-0.03976614370538488,0.03976614370538488
recent_return_30m,future_return_30m,1716,-0.08727168688840387,0.08727168688840387
recent_return_30m,future_return_60m,1716,-0.10022664486375486,0.10022664486375486
recent_return_30m,future_return_120m,1716,-0.10400900599673966,0.10400900599673966
recent_return_30m,mfe_atr,1716,0.03215062954599958,0.03215062954599958
recent_return_30m,mae_atr,1716,-0.012993222790928197,0.012993222790928197
recent_volatility_30m,future_return_15m,1716,-0.28513210268338873,0.28513210268338873
recent_volatility_30m,future_return_30m,1716,-0.3108132292055424,0.3108132292055424
recent_volatility_30m,future_return_60m,1716,-0.29341684428986675,0.29341684428986675
recent_volatility_30m,future_return_120m,1716,-0.286020653303408,0.286020653303408
recent_volatility_30m,mfe_atr,1716,-0.23301411610204975,0.23301411610204975
recent_volatility_30m,mae_atr,1716,0.08957794207451458,0.08957794207451458
volume_zscore_30m,future_return_15m,1716,-0.06898294440216989,0.06898294440216989
volume_zscore_30m,future_return_30m,1716,-0.06419033538980799,0.06419033538980799
volume_zscore_30m,future_return_60m,1716,-0.0556095895594071,0.0556095895594071
volume_zscore_30m,future_return_120m,1716,-0.013859581280212899,0.013859581280212899
volume_zscore_30m,mfe_atr,1716,0.04080113446329649,0.04080113446329649
volume_zscore_30m,mae_atr,1716,0.05399802329453924,0.05399802329453924
upper_wick_ratio,future_return_15m,1713,-0.044674130198814686,0.044674130198814686
upper_wick_ratio,future_return_30m,1713,-0.03470642326276138,0.03470642326276138
upper_wick_ratio,future_return_60m,1713,-0.018989582294673533,0.018989582294673533
upper_wick_ratio,future_return_120m,1713,0.0178398809968772,0.0178398809968772
upper_wick_ratio,mfe_atr,1713,-0.06293660322805357,0.06293660322805357
upper_wick_ratio,mae_atr,1713,0.001801139306565773,0.001801139306565773
lower_wick_ratio,future_return_15m,1713,0.03193182356196337,0.03193182356196337
