policy_name,month,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_1h_donchian_20_10_atr3,2025-01,11,5,6,-0.9119199999999983,-1.0221084299999985,-0.9119199999999983,0.10974843000000001,0.00044,0.2727272727272727,0.3297677305653357,0.16763262166666684,-0.19062578687499987,-0.09291894818181805,-0.124228375,1.1996905249998235,0.02399295835603445,-0.8519767462530796,-1.3987723078490353,1489.090909090909,900.0,-0.27226233717688936,0.2782816300000006,-0.6093421600000004,0.11018843000000023
tf_1h_donchian_20_10_atr3,2025-02,9,3,6,0.7851800000000018,0.6985513700000017,0.7851800000000018,0.08626863,0.00036,0.4444444444444444,1.8896408401336233,0.37093935499999986,-0.15704120999999954,0.07761681888888908,-0.05596869499999942,0.5933271499998227,0.011865331489589058,1.1773460391964372,0.6383765079496644,2033.3333333333333,1980.0,1.265123866266267,0.8837540099999996,-0.3680092549999994,0.0866286300000001
tf_1h_donchian_20_10_atr3,2025-03,15,6,9,0.19845999999999905,0.0699611699999989,0.19845999999999905,0.12789883000000002,0.0006000000000000001,0.3333333333333333,1.0464641656793578,0.3151325599999999,-0.15057016300000003,0.0046640779999999275,-0.06358269499999943,1.1635897349997322,0.023266054727421687,0.060125289778372795,0.06837724849849733,1520.0,1200.0,9.700577834819095,0.678663775,-0.33917664000000003,0.12849883000000015
tf_1h_donchian_20_10_atr3,2025-04,14,8,6,-0.4922599999999965,-0.6091414799999962,-0.4922599999999965,0.11632148000000002,0.0005600000000000001,0.21428571428571427,0.6168506900915008,0.32689548833333376,-0.14452981318181798,-0.043510105714285444,-0.07780280249999985,1.1692300550002983,0.023384601100005967,-0.5209765840306259,-0.7050352901619062,1242.857142857143,900.0,-0.9194720658327258,0.5600885750000005,-0.4268505850000003,0.11688147999999976
tf_1h_donchian_20_10_atr3,2025-05,9,4,5,0.7196600000000005,0.6275951800000004,0.7196600000000005,0.09170481999999999,0.00036,0.5555555555555556,2.1211997272226606,0.23746968400000004,-0.13993830999999995,0.06973279777777781,0.08876215000000118,0.38763186000051064,0.007751531556353391,1.619049528073295,0.8318926806811802,2620.0,1380.0,1.0615086224849575,0.6661976949999994,-0.24140142999999945,0.09206482000000016
tf_1h_donchian_20_10_atr3,2025-06,12,6,6,-0.0605399999999994,-0.18738467999999942,-0.0605399999999994,0.12636468,0.00048,0.4166666666666667,0.7671519096527246,0.12347321800000013,-0.11496439571428572,-0.015615389999999951,-0.015055275000000146,0.6030923050002457,0.012061846100004913,-0.31070646805868807,-0.3026599910865849,1790.0,1470.0,-2.496846033517795,0.4678706949999998,-0.2901777550000006,0.12684468000000002
tf_1h_donchian_20_10_atr3,2025-07,9,4,5,-0.4076599999999991,-0.5112806299999991,-0.4076599999999991,0.10326062999999999,0.00036,0.2222222222222222,0.5408102954932591,0.3010801700000005,-0.1590629957142857,-0.05680895888888879,-0.08968519000000029,1.0388369649999731,0.02077454735118709,-0.4921663814687345,-0.7124838233522114,2606.6666666666665,1800.0,-1.1119711986742034,0.5685293350000009,-0.271895,0.10362063000000005
tf_1h_donchian_20_10_atr3,2025-08,22,11,11,-0.8510699999999984,-1.1054818449999986,-0.8510699999999984,0.253531845,0.00088,0.3181818181818182,0.4375245282511215,0.12284355928571412,-0.1310257839999998,-0.05024917477272721,-0.08126423999999957,1.554687025000021,0.031092784894567127,-0.7110639165461509,-1.672570208337145,1448.1818181818182,1290.0,-0.49691160690205655,0.28483962499999943,-0.2595685850000003,0.25441184500000014
tf_1h_donchian_20_10_atr3,2025-09,15,8,7,-0.8998099999999991,-1.0694888549999992,-0.8998099999999991,0.169078855,0.0006000000000000001,0.26666666666666666,0.2525697219506291,0.09034973250000046,-0.13008070772727282,-0.07129925699999995,-0.02941096000000029,1.0694888549996904,0.021389777099993807,-1.0000000000002889,-2.1693400461656713,1427.0,1200.0,-0.10742200300909256,0.11488663500000088,-0.2606510650000003,0.16967885500000013
tf_1h_donchian_20_10_atr4,2025-01,11,5,6,-0.9609399999999995,-1.0711529399999997,-0.9609399999999995,0.10977294000000001,0.00044,0.2727272727272727,0.29760752889220016,0.15128445166666646,-0.19062578687499987,-0.09737753999999997,-0.124228375,1.1996905249998235,0.023993193694561682,-0.8928577142844045,-1.515255569939408,1532.7272727272727,900.0,-0.2140097006128737,0.2292371199999994,-0.6093421600000004,0.11021294000000026
