policy_name,base_policy_name,atr_mult,timeframe,direction,volume,contract_size,entry_time,entry_price,exit_time,exit_price,exit_reason,holding_minutes,gross_pnl,fee,slippage,net_pnl,no_cost_net_pnl,r_multiple,mfe,mae,size,entry_signal_time,exit_signal_time,used_htf_bar_time,entry_atr,initial_risk
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-01-02T13:14:00+08:00,95482.9,2025-01-03T16:14:00+08:00,96475.0,donchian_exit,1620.0,0.09921000000000059,0.009597895000000002,4e-05,0.08957210500000058,0.09921000000000059,0.4335187943152105,0.3254900000000009,0.02828999999999942,0.01,2025-01-02T12:59:00+08:00,2025-01-03T15:59:00+08:00,2025-01-02T12:59:00+08:00,688.721428571429,0.2066164285714287
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-01-04T03:14:00+08:00,98915.7,2025-01-04T18:14:00+08:00,97736.3,donchian_exit,900.0,-0.11793999999999942,0.0098326,4e-05,-0.12781259999999944,-0.11793999999999942,-0.5000409114535288,0.0972300000000003,0.23620000000000002,0.01,2025-01-04T02:59:00+08:00,2025-01-04T17:59:00+08:00,2025-01-04T02:59:00+08:00,852.0142857142845,0.25560428571428534
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-01-06T23:14:00+08:00,101252.0,2025-01-07T20:14:00+08:00,100728.8,donchian_exit,1260.0,-0.052319999999999714,0.010099040000000002,4e-05,-0.062459039999999716,-0.052319999999999714,-0.18913226744185982,0.3192399999999994,0.1227,0.01,2025-01-06T22:59:00+08:00,2025-01-07T19:59:00+08:00,2025-01-06T22:59:00+08:00,1100.7999999999988,0.33023999999999964
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-01-08T00:14:00+08:00,97823.5,2025-01-10T18:14:00+08:00,94943.9,atr_trailing_stop,3960.0,0.2879600000000006,0.00963837,4e-05,0.2782816300000006,0.2879600000000006,1.063175497483926,0.6859600000000006,0.06395,0.01,2025-01-07T23:59:00+08:00,2025-01-10T17:59:00+08:00,2025-01-07T23:59:00+08:00,872.4857142857165,0.261745714285715
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-01-13T19:14:00+08:00,91404.5,2025-01-14T05:14:00+08:00,93792.1,donchian_exit,600.0,-0.23876000000000058,0.009259830000000002,4e-05,-0.2480598300000006,-0.23876000000000058,-0.727783565949957,0.2332300000000003,0.3428800000000003,0.01,2025-01-13T18:59:00+08:00,2025-01-14T04:59:00+08:00,2025-01-13T18:59:00+08:00,1136.1428571428582,0.3408428571428575
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-01-15T22:14:00+08:00,98955.5,2025-01-16T23:14:00+08:00,97812.0,atr_trailing_stop,1500.0,-0.11435000000000001,0.009838375,4e-05,-0.124228375,-0.11435000000000001,-0.338004860576661,0.2913300000000003,0.2348800000000003,0.01,2025-01-15T21:59:00+08:00,2025-01-16T22:59:00+08:00,2025-01-15T21:59:00+08:00,1225.1142857142872,0.3675342857142862
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-01-17T10:14:00+08:00,101832.0,2025-01-20T07:14:00+08:00,103285.4,donchian_exit,4140.0,0.14533999999999941,0.010255870000000002,4e-05,0.1350441299999994,0.14533999999999941,0.3129374428951636,0.5907300000000003,0.1082,0.01,2025-01-17T09:59:00+08:00,2025-01-20T06:59:00+08:00,2025-01-17T09:59:00+08:00,1438.4571428571446,0.43153714285714345
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-01-20T08:14:00+08:00,103228.2,2025-01-20T15:14:00+08:00,109215.0,atr_trailing_stop,420.0,-0.5986800000000003,0.010622160000000002,4e-05,-0.6093421600000004,-0.5986800000000003,-1.094263440363677,0.3228199999999997,0.7402900000000009,0.01,2025-01-20T07:59:00+08:00,2025-01-20T14:59:00+08:00,2025-01-20T07:59:00+08:00,1856.1714285714302,0.5568514285714291
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-01-23T13:14:00+08:00,102206.0,2025-01-23T23:14:00+08:00,103538.7,atr_trailing_stop,600.0,-0.13326999999999972,0.010287235,4e-05,-0.14359723499999974,-0.13326999999999972,-0.4309650145022592,0.1303600000000006,0.39576999999999973,0.01,2025-01-23T12:59:00+08:00,2025-01-23T22:59:00+08:00,2025-01-23T12:59:00+08:00,1110.664285714287,0.33319928571428614
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-01-27T09:14:00+08:00,101450.8,2025-01-27T23:14:00+08:00,101555.2,donchian_exit,840.0,-0.010439999999999418,0.010150300000000001,4e-05,-0.020630299999999418,-0.010439999999999418,-0.10602710659823643,0.4287600000000006,0.1338699999999997,0.01,2025-01-27T08:59:00+08:00,2025-01-27T22:59:00+08:00,2025-01-27T08:59:00+08:00,648.5857142857141,0.19457571428571424
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-01-29T06:14:00+08:00,100774.2,2025-01-29T15:14:00+08:00,102560.9,donchian_exit,540.0,-0.17866999999999972,0.010166755000000001,4e-05,-0.18887675499999973,-0.17866999999999972,-0.5407083218311828,0.048600000000000004,0.2356300000000003,0.01,2025-01-29T05:59:00+08:00,2025-01-29T14:59:00+08:00,2025-01-29T05:59:00+08:00,1164.3785714285707,0.3493135714285712
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-01-30T04:14:00+08:00,103455.2,2025-02-01T03:14:00+08:00,102671.0,atr_trailing_stop,2820.0,-0.07841999999999971,0.01030631,4e-05,-0.08876630999999971,-0.07841999999999971,-0.28948794856563725,0.4184800000000003,0.09551999999999972,0.01,2025-01-30T03:59:00+08:00,2025-02-01T02:59:00+08:00,2025-01-30T03:59:00+08:00,1022.1071428571429,0.30663214285714285
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-02-01T04:14:00+08:00,102113.8,2025-02-03T23:14:00+08:00,96723.2,donchian_exit,4020.0,0.5390600000000006,0.00994185,4e-05,0.5290781500000006,0.5390600000000006,1.6111870471516896,1.1872900000000008,0.20910999999999913,0.01,2025-02-01T03:59:00+08:00,2025-02-03T22:59:00+08:00,2025-02-01T03:59:00+08:00,1094.5928571428594,0.3283778571428579
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-02-04T00:14:00+08:00,98464.6,2025-02-04T14:14:00+08:00,99266.0,donchian_exit,840.0,0.08013999999999942,0.009886530000000001,4e-05,0.07021346999999942,0.08013999999999942,0.11768315686640593,0.43853999999999943,0.06445000000000001,0.01,2025-02-03T23:59:00+08:00,2025-02-04T13:59:00+08:00,2025-02-03T23:59:00+08:00,1988.771428571432,0.5966314285714296
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-02-05T06:14:00+08:00,96494.1,2025-02-06T15:14:00+08:00,98089.9,donchian_exit,1980.0,-0.15957999999999883,0.0097292,4e-05,-0.16934919999999884,-0.15957999999999883,-0.37145313768068,0.049410000000000585,0.33508999999999944,0.01,2025-02-05T05:59:00+08:00,2025-02-06T14:59:00+08:00,2025-02-05T05:59:00+08:00,1519.7000000000003,0.45591000000000004
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-02-07T22:14:00+08:00,99583.5,2025-02-08T05:14:00+08:00,96001.6,atr_trailing_stop,420.0,-0.35818999999999945,0.009779255,4e-05,-0.3680092549999994,-0.35818999999999945,-1.4162762026499496,0.2147300000000003,0.40835000000000005,0.01,2025-02-07T21:59:00+08:00,2025-02-08T04:59:00+08:00,2025-02-07T21:59:00+08:00,866.1428571428581,0.25984285714285743
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-02-16T03:14:00+08:00,96155.5,2025-02-17T23:14:00+08:00,96618.4,atr_trailing_stop,2640.0,-0.04628999999999942,0.009638695000000001,4e-05,-0.05596869499999942,-0.04628999999999942,-0.17084014241734283,0.19746000000000058,0.34685,0.01,2025-02-16T02:59:00+08:00,2025-02-17T22:59:00+08:00,2025-02-16T02:59:00+08:00,1092.0285714285721,0.3276085714285717
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-02-22T02:14:00+08:00,96734.2,2025-02-22T20:14:00+08:00,96630.0,atr_trailing_stop,1080.0,0.010419999999999709,0.00966821,4e-05,0.000711789999999709,0.010419999999999709,0.002447509646297297,0.1865699999999997,0.05545,0.01,2025-02-22T01:59:00+08:00,2025-02-22T19:59:00+08:00,2025-02-22T01:59:00+08:00,969.4071428571448,0.2908221428571434
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-02-25T00:14:00+08:00,94724.0,2025-02-27T14:14:00+08:00,85795.8,donchian_exit,3720.0,0.8928199999999997,0.009025990000000001,4e-05,0.8837540099999996,0.8928199999999997,3.53446062475896,1.3196899999999996,0.0589,0.01,2025-02-24T23:59:00+08:00,2025-02-27T13:59:00+08:00,2025-02-24T23:59:00+08:00,833.4642857142868,0.2500392857142861
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-02-28T10:14:00+08:00,82452.0,2025-02-28T23:14:00+08:00,83399.8,donchian_exit,780.0,-0.0947800000000003,0.00829259,4e-05,-0.1031125900000003,-0.0947800000000003,-0.18917162798255607,0.42081000000000063,0.0947800000000003,0.01,2025-02-28T09:59:00+08:00,2025-02-28T22:59:00+08:00,2025-02-28T09:59:00+08:00,1816.914285714285,0.5450742857142855
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-03-01T11:14:00+08:00,85024.5,2025-03-03T15:14:00+08:00,91900.0,donchian_exit,3120.0,0.68755,0.008846225000000001,4e-05,0.678663775,0.68755,1.7655210644457568,1.0833699999999997,0.08048999999999942,0.01,2025-03-01T10:59:00+08:00,2025-03-03T14:59:00+08:00,2025-03-01T10:59:00+08:00,1281.3285714285719,0.3843985714285716
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-03-03T23:14:00+08:00,90399.9,2025-03-05T03:14:00+08:00,87988.0,donchian_exit,1680.0,0.24118999999999943,0.008919395,4e-05,0.23223060499999942,0.24118999999999943,0.3876380030236249,0.9713599999999992,0.13354000000000088,0.01,2025-03-03T22:59:00+08:00,2025-03-05T02:59:00+08:00,2025-03-03T22:59:00+08:00,1996.9714285714301,0.5990914285714292
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-03-05T04:14:00+08:00,88254.0,2025-03-06T21:14:00+08:00,90301.6,donchian_exit,2460.0,0.20476000000000058,0.00892778,4e-05,0.19579222000000057,0.20476000000000058,0.32025721138960944,0.5699000000000001,0.2087300000000003,0.01,2025-03-05T03:59:00+08:00,2025-03-06T20:59:00+08:00,2025-03-05T03:59:00+08:00,2037.8642857142852,0.6113592857142855
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-03-07T09:14:00+08:00,86494.6,2025-03-07T20:14:00+08:00,89196.6,atr_trailing_stop,660.0,-0.2702,0.00878456,4e-05,-0.27902456,-0.2702,-0.4397490791523697,0.12886000000000059,0.44935999999999915,0.01,2025-03-07T08:59:00+08:00,2025-03-07T19:59:00+08:00,2025-03-07T08:59:00+08:00,2115.028571428572,0.6345085714285716
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-03-09T18:14:00+08:00,85482.7,2025-03-11T17:14:00+08:00,81340.0,donchian_exit,2820.0,0.41426999999999975,0.008341135000000001,4e-05,0.40588886499999977,0.41426999999999975,2.7904361176586057,0.8898199999999997,0.019690000000000873,0.01,2025-03-09T17:59:00+08:00,2025-03-11T16:59:00+08:00,2025-03-09T17:59:00+08:00,484.8571428571439,0.14545714285714317
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-03-14T02:14:00+08:00,80729.6,2025-03-14T11:14:00+08:00,82103.9,donchian_exit,540.0,-0.13742999999999883,0.008141675,4e-05,-0.14561167499999883,-0.13742999999999883,-0.3315643053712208,0.07296000000000058,0.15450999999999915,0.01,2025-03-14T01:59:00+08:00,2025-03-14T10:59:00+08:00,2025-03-14T01:59:00+08:00,1463.885714285714,0.43916571428571416
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-03-14T19:14:00+08:00,83069.3,2025-03-15T16:14:00+08:00,83784.0,donchian_exit,1260.0,0.07146999999999971,0.008342665,4e-05,0.06308733499999972,0.07146999999999971,0.3030068991306607,0.3147300000000003,0.08814000000000087,0.01,2025-03-14T18:59:00+08:00,2025-03-15T15:59:00+08:00,2025-03-14T18:59:00+08:00,694.0142857142845,0.20820428571428534
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-03-16T20:14:00+08:00,82636.9,2025-03-18T02:14:00+08:00,84112.3,atr_trailing_stop,1800.0,-0.1475400000000009,0.00833746,4e-05,-0.1559174600000009,-0.1475400000000009,-0.874810413510635,0.06568999999999942,0.24635,0.01,2025-03-16T19:59:00+08:00,2025-03-18T01:59:00+08:00,2025-03-16T19:59:00+08:00,594.1000000000016,0.17823000000000047
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-03-18T22:14:00+08:00,81274.0,2025-03-19T08:14:00+08:00,82723.3,donchian_exit,600.0,-0.1449300000000003,0.008199864999999999,4e-05,-0.15316986500000032,-0.1449300000000003,-0.583318538043672,0.022039999999999418,0.1529300000000003,0.01,2025-03-18T21:59:00+08:00,2025-03-19T07:59:00+08:00,2025-03-18T21:59:00+08:00,875.278571428571,0.2625835714285713
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-03-20T03:14:00+08:00,85801.9,2025-03-20T19:14:00+08:00,85252.0,donchian_exit,960.0,-0.05498999999999942,0.008552695,4e-05,-0.06358269499999943,-0.05498999999999942,-0.2235392116239863,0.2464800000000003,0.16468999999999942,0.01,2025-03-20T02:59:00+08:00,2025-03-20T18:59:00+08:00,2025-03-20T02:59:00+08:00,948.1214285714284,0.28443642857142853
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,short,0.01,0.01,2025-03-21T01:14:00+08:00,84163.9,2025-03-21T12:14:00+08:00,86306.7,atr_trailing_stop,660.0,-0.2142800000000003,0.008523530000000001,4e-05,-0.22284353000000032,-0.2142800000000003,-0.7869900131929816,0.19147999999999885,0.21679000000000087,0.01,2025-03-21T00:59:00+08:00,2025-03-21T11:59:00+08:00,2025-03-21T00:59:00+08:00,943.864285714283,0.2831592857142849
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,long,0.01,0.01,2025-03-24T13:14:00+08:00,86950.0,2025-03-26T23:14:00+08:00,86857.6,atr_trailing_stop,3480.0,-0.009239999999999419,0.008690380000000001,4e-05,-0.017970379999999418,-0.009239999999999419,-0.10252677221508744,0.30798999999999943,0.22396999999999972,0.01,2025-03-24T12:59:00+08:00,2025-03-26T22:59:00+08:00,2025-03-24T12:59:00+08:00,584.249999999999,0.17527499999999968
