signal_id,datetime,vt_symbol,price,close_1m,atr_1m,breakout_distance_atr,atr_pct,ema_spread_pct,rsi,donchian_width_atr,close_location_in_donchian,recent_return_5m,recent_return_15m,recent_return_30m,recent_volatility_30m,volume_zscore_30m,upper_wick_ratio,lower_wick_ratio,body_ratio,range_atr,hour,weekday,is_weekend,direction,regime,future_return_15m,future_return_30m,future_return_60m,future_return_120m,mfe_60m,mae_60m,mfe_atr,mae_atr,stop_first,tp_first,good_signal_60m,bad_signal_60m
OkxAdaptiveMhfStrategy-20260101015400-000009,2026-01-01T01:55:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,89418.5,89422.8,65.96322067264512,0.1288596874640619,0.0007376555047778,8.986475168657698e-05,67.89059734887059,3.0820205248757846,1.0,0.0,0.0,0.0012979094467184963,0.0004178106272954382,0.17317226213604348,0.0,0.0,1.0,1.247664973916785,1,3,False,long,long,-0.0015175830504872,-0.0043402651576575,-0.0046802395477445,-0.0129548136012122,0.0035272342971532,0.0046802395477445,4.781452403078151,6.344444612201039,False,True,False,True
OkxAdaptiveMhfStrategy-20260101021900-000016,2026-01-01T02:20:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,89123.7,89123.9,47.06012973776798,1.1729674420279177,0.0005280304131413,-0.0001154722308555,29.56552241257797,8.88862827898842,1.0,0.0011757163575880688,0.003414125735552342,0.0024502945054747593,0.0005464205387233898,-0.17132834766762944,0.8118181818182083,0.15727272727275374,0.030909090909037994,2.337435119982676,2,3,False,short,short,-0.0028914867762446,0.0013879585340374,0.0025099945356846,0.0148535125898049,0.0025099945356846,0.0068466636820508,4.75349305763736,12.96639009284916,True,False,False,False
OkxAdaptiveMhfStrategy-20260101030500-000018,2026-01-01T03:06:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,88999.3,88999.2,17.392443254444128,0.0459969877894236,0.0001954224673305,-0.0011742171827529,33.236452702616084,1.1039277069419844,1.0,0.00011460674157300101,0.00011573020704474388,0.0034736842105262834,0.00024024332514599144,-1.4599411602252528,0.0,0.0,1.0,0.5462142299974188,3,3,False,short,short,0.0011157391125548,0.0056090328800338,0.0110708735911406,0.0179698042568874,0.0110922220736567,0.0,56.760282931941994,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260101032500-000021,2026-01-01T03:26:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,88885.0,88885.0,8.083759575539238,1.855572256922226,9.094627412430936e-05,-0.0018422867093234,15.010288704859391,12.444704603092449,1.0,0.00027671541057374375,0.00027671541057374375,0.0014000000000000655,9.365132733564613e-05,-1.8372592655200761,0.15789473684223962,0.0,0.8421052631577604,1.4102349152619718,3,3,False,short,short,0.0044889463914046,0.0071305619620858,0.0124824211059233,0.0171525004218935,0.0124914214996906,0.0,137.34945845738307,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260101033000-000024,2026-01-01T03:31:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,88656.6,88656.8,21.02515472814076,1.8026026676164035,0.0002371521950729,-0.0021896402102603,3.357355770299063,11.619415084400009,1.0,0.0028095513494172416,0.003085489313835803,0.004205617977528123,0.0002582863609199629,-1.3410461681153407,0.23899371069198508,0.022012578616258664,0.7389937106917562,1.5124740060742927,3,3,False,short,short,0.0023720738219151,0.0062206310641283,0.0131462293839375,0.0147558106221083,0.0136774927078187,0.0,57.67377294860122,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260101033500-000027,2026-01-01T03:36:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,88502.5,88502.7,27.382492542396413,0.9531637764383608,0.0003093972561559,-0.0026287458650305,1.8888411855908396,13.793484994662293,1.0,0.0014171961406227683,0.00449831271091107,0.005502877857911773,0.00027133571925639955,0.21377747516279832,0.9629629629607672,0.0,0.0370370370392328,0.09860314928659872,3,3,False,short,short,0.0017355441936669,0.0055196180898844,0.0114719923166012,0.013380412982684,0.0122188638739018,0.0,39.49238727357118,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260101034900-000030,2026-01-01T03:50:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,88367.5,88367.5,22.14669110452414,0.0225767360749371,0.0002506203197388,-0.0038040343732805,0.9477300969693676,15.668254836006387,1.0,0.0013088842496465324,0.0016519270033569268,0.006113610798650169,0.0002612421747803999,-0.42023525718601074,0.05797101449295229,0.1449275362318535,0.7971014492751942,0.6231179156683969,3,3,False,short,short,0.0039505474297677,0.0064231759413812,0.0103069567431465,0.0122081081845701,0.0107596118482474,0.0,42.93192132010059,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260101035800-000032,2026-01-01T03:59:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,88247.3,88247.3,19.584298503812672,0.0714858385007574,0.0002219251864228,-0.0041533814881241,0.524371102717621,12.561083050899613,1.0,0.0011173589122108773,0.0027509663419154388,0.005187457649667808,0.0001937974943372987,0.3717321228947036,0.004098360655380848,0.47540983606592574,0.5204918032786934,1.2458960424466563,3,3,False,short,short,0.0029949924813564,0.0084671145746101,0.009382723324113,0.0108626552880372,0.0095459011210542,0.0,43.01405025234924,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260101040400-000035,2026-01-01T04:05:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,88019.5,88019.5,31.43023100748592,0.0381798021055358,0.0003570825897384,-0.0051013413101189,0.2164428486419881,14.597411005052043,1.0,0.002068008453438163,0.003826543604601878,0.00547214943724884,0.0002531242454008116,-0.36143172121595485,0.02127659574586661,0.7446808510619852,0.23404255319214812,0.14953755824741521,4,3,False,short,short,0.0024949016979192,0.0060452513363516,0.007037077011344,0.0082992973147995,0.0070382131232283,0.0,19.710322837030482,0.0,False,True,True,False
OkxAdaptiveMhfStrategy-20260101041800-000038,2026-01-01T04:19:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,87898.2,87898.2,20.89244395847813,0.038291355553847,0.000237689098963,-0.0058937841424211,0.1178955279300933,16.757254474191644,1.0,0.0009763249718694996,0.0013906009463811335,0.005323224035986015,0.0002604548302535021,0.42570475720580375,0.002610966057593033,0.9686684073107833,0.028720626631623634,1.8331986471338992,4,3,False,short,short,0.0046667622317635,0.0050330951031988,0.0058931809752645,0.0071980996197874,0.0062595138466999,0.0,26.334879782062384,0.0,False,True,True,False
