policy_name,month,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_1d_donchian_20_10_atr4,2025-08,3,3,0,3,0.4021999999999997,0.3872950999999997,0.014784900000000002,0.00012000000000000002,0.014904899999999999,0.6666666666666666,2.1228685866029573,0.3661054425,-0.34491578500000025,0.12909836666666658,0.010599240000000001,0.34491578500001197,0.006897305643546363,1.122868586602919,0.5042992825530919,40800.0,34560.0,1.863208816739485,0.721611645,-0.34491578500000025,0.98552433429066,29.5698,3
v3_1d_donchian_20_10_atr4,2025-09,2,2,0,2,-0.11628999999999941,-0.12075011499999941,0.004380115,8e-05,0.004460115000000001,0.5,0.007303362911828249,0.0008883699999999722,-0.12163848499999938,-0.060375057499999704,-0.060375057499999704,0.1216384850004033,0.0024327697000080663,-0.9926966370848753,-1.3937063045575682,63360.0,63360.0,-0.007357094442518556,0.0008883699999999722,-0.12163848499999938,1.0,8.760230000000002,2
v3_1d_donchian_20_10_atr4,2025-10,3,2,1,3,-2.475489999999999,-2.4960061949999988,0.018436195000000002,0.0020800000000000003,0.020516194999999904,0.0,0.0,,-0.8320020649999996,-0.8320020649999996,-1.0050233399999997,2.496006194999609,0.049920123899992175,-1.0000000000001563,-5.173883340990698,22560.0,15840.0,0.17589583947326676,-0.43903710499999915,-1.0519457499999998,0.42145157816805834,36.87239,2
v3_1d_donchian_20_10_atr4,2025-12,1,0,1,1,0.06220999999999999,0.06198890499999999,0.00018109500000000001,4e-05,0.00022109499999999754,1.0,,0.06198890499999999,,0.06198890499999999,0.06198890499999999,0.0,0.0,,,103680.0,103680.0,1.0,0.06198890499999999,0.06198890499999999,1.0,0.36219,1
v3_1d_donchian_20_10_atr4,2026-01,1,1,0,1,-0.45217999999999986,-0.45531687999999987,0.0030968799999999998,4e-05,0.0031368800000000086,0.0,0.0,,-0.45531687999999987,-0.45531687999999987,-0.45531687999999987,0.45531688000028225,0.009106337600005645,-0.9999999999993798,,72000.0,72000.0,1.0,-0.45531687999999987,-0.45531687999999987,1.0,6.193759999999999,1
v3_1d_donchian_20_10_atr4,2026-03,5,2,3,4,2.523769999999999,2.5036697949999986,0.017580205000000005,0.00252,0.020100205000000315,0.6,5.083386566525252,1.0389351416666663,-0.3065678150000002,0.5007339589999997,0.898432,0.6131356300002153,0.012257560212588316,4.08338656652382,1.618651481032013,109439.8,47520.0,0.48060897543399866,1.2032861749999988,-0.6004215200000004,0.40339125043004936,35.160410000000006,3
v3_1d_donchian_55_20_atr5,2025-09,2,2,0,2,1.0982700000000007,1.0944171650000007,0.0037728350000000004,8e-05,0.003852834999999999,1.0,,0.5472085825000004,,0.5472085825000004,0.5472085825000004,0.0,0.0,,1.5027340721503462,100080.0,100080.0,0.9705468481024783,1.0621831300000006,0.032234035,0.9705468481024783,7.54567,2
v3_1d_donchian_55_20_atr5,2025-11,1,1,0,1,-1.3105,-1.32149725,0.010957250000000002,4e-05,0.010997249999999958,0.0,0.0,,-1.32149725,-1.32149725,-1.32149725,1.321497249999993,0.026429944999999858,-1.000000000000005,,167040.0,167040.0,1.0,-1.32149725,-1.32149725,1.0,21.914500000000004,1
v3_1d_donchian_55_20_atr5,2025-12,1,0,1,1,0.18927,0.185812395,0.003417605,4e-05,0.0034576050000000025,1.0,,0.185812395,,0.185812395,0.185812395,0.0,0.0,,,51840.0,51840.0,1.0,0.185812395,0.185812395,1.0,6.83521,1
v3_1d_donchian_55_20_atr5,2026-02,1,1,0,1,-1.92164,-1.92463374,0.00295374,4e-05,0.002993739999999967,0.0,0.0,,-1.92463374,-1.92463374,-1.92463374,1.9246337399999902,0.03849267479999981,-1.000000000000005,,48960.0,48960.0,1.0,-1.92463374,-1.92463374,1.0,5.90748,1
