policy_name,time,net_pnl,no_cost_net_pnl,cumulative_net_pnl,cumulative_no_cost_net_pnl,equity,no_cost_equity,drawdown,ddpercent
v3_1d_donchian_20_10_atr4,2025-07-12T00:00:00+08:00,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0
v3_1d_donchian_20_10_atr4,2025-08-02T00:00:00+08:00,0.010599240000000001,0.0108,0.010599240000374266,0.010800000000017462,5000.01059924,5000.0108,0.0,0.0
v3_1d_donchian_20_10_atr4,2025-08-04T00:00:00+08:00,0.721611645,0.72483,0.7322108850003133,0.7356300000001283,5000.732210885,5000.73563,0.0,0.0
v3_1d_donchian_20_10_atr4,2025-08-21T00:00:00+08:00,-0.34491578500000025,-0.3334300000000003,0.3872951000003013,0.4022000000004482,5000.3872951,5000.4022,0.34491578500001197,0.006897305643546363
v3_1d_donchian_20_10_atr4,2025-09-23T00:00:00+08:00,-0.12163848499999938,-0.11742999999999938,0.265656614999898,0.2847700000002078,5000.265656615,5000.28477,0.46655427000041527,0.009329719135627286
v3_1d_donchian_20_10_atr4,2025-09-23T00:00:00+08:00,0.0008883699999999722,0.0011399999999999722,0.2665449850001096,0.2859099999996033,5000.266544985,5000.28591,0.4656659000002037,0.009311954337138818
v3_1d_donchian_20_10_atr4,2025-10-04T00:00:00+08:00,-0.43903710499999915,-0.43466999999999917,-0.17249212000024272,-0.14876000000003842,4999.82750788,4999.85124,0.904703005000556,0.01809141075443524
v3_1d_donchian_20_10_atr4,2025-10-12T00:00:00+08:00,-1.0519457499999998,-1.0474999999999999,-1.224437869999747,-1.196259999999711,4998.77556213,4998.80374,1.9566487550000602,0.039127245221031025
v3_1d_donchian_20_10_atr4,2025-10-12T00:00:00+08:00,-1.0050233399999997,-0.9933199999999998,-2.2294612100004088,-2.1895800000002055,4997.77053879,4997.81042,2.961672095000722,0.059224768895925
v3_1d_donchian_20_10_atr4,2025-12-04T00:00:00+08:00,0.06198890499999999,0.06220999999999999,-2.1674723050000466,-2.1273700000001554,4997.832527695,4997.87263,2.89968319000036,0.05798517232513818
v3_1d_donchian_20_10_atr4,2026-01-30T00:00:00+08:00,-0.45531687999999987,-0.45217999999999986,-2.622789185000329,-2.5795500000003813,4997.377210815,4997.42045,3.355000070000642,0.06709017656850083
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,0.898432,0.9002,-1.7243571850003718,-1.6793500000003405,4998.275642815,4998.32065,2.456568070000685,0.04912416754997437
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,1.2032861749999988,1.211129999999999,-0.5210710100000142,-0.4682199999997465,4999.47892899,4999.53178,1.2532818950003275,0.025061967770886276
v3_1d_donchian_20_10_atr4,2026-03-23T00:00:00+08:00,-0.012714109999999992,-0.012579999999999992,-0.5337851200001751,-0.4808000000002721,4999.46621488,4999.5192,1.2659960050004884,0.025316212738702916
