policy_name,time,equity,drawdown,ddpercent
v3_1d_donchian_20_10_atr4,2025-07-12T00:00:00+08:00,5000.0,0.0,0.0
v3_1d_donchian_20_10_atr4,2025-08-02T00:00:00+08:00,5000.01059924,0.0,0.0
v3_1d_donchian_20_10_atr4,2025-08-04T00:00:00+08:00,5000.732210885,0.0,0.0
v3_1d_donchian_20_10_atr4,2025-08-21T00:00:00+08:00,5000.3872951,0.34491578500001197,0.006897305643546363
v3_1d_donchian_20_10_atr4,2025-09-23T00:00:00+08:00,5000.265656615,0.46655427000041527,0.009329719135627286
v3_1d_donchian_20_10_atr4,2025-09-23T00:00:00+08:00,5000.266544985,0.4656659000002037,0.009311954337138818
v3_1d_donchian_20_10_atr4,2025-10-04T00:00:00+08:00,4999.82750788,0.904703005000556,0.01809141075443524
v3_1d_donchian_20_10_atr4,2025-10-12T00:00:00+08:00,4998.77556213,1.9566487550000602,0.039127245221031025
v3_1d_donchian_20_10_atr4,2025-10-12T00:00:00+08:00,4997.77053879,2.961672095000722,0.059224768895925
v3_1d_donchian_20_10_atr4,2025-12-04T00:00:00+08:00,4997.832527695,2.89968319000036,0.05798517232513818
v3_1d_donchian_20_10_atr4,2026-01-30T00:00:00+08:00,4997.377210815,3.355000070000642,0.06709017656850083
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,4998.275642815,2.456568070000685,0.04912416754997437
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,4999.47892899,1.2532818950003275,0.025061967770886276
v3_1d_donchian_20_10_atr4,2026-03-23T00:00:00+08:00,4999.46621488,1.2659960050004884,0.025316212738702916
v3_1d_donchian_20_10_atr4,2026-03-28T00:00:00+08:00,4998.86579336,1.8664175250005428,0.03732288485550069
v3_1d_donchian_20_10_atr4,2026-03-31T23:59:00+08:00,4999.88088061,0.8513302750006915,0.017024112451924877
v3_1d_donchian_55_20_atr5,2025-07-12T00:00:00+08:00,5000.0,0.0,0.0
v3_1d_donchian_55_20_atr5,2025-09-23T00:00:00+08:00,5001.06218313,0.0,0.0
v3_1d_donchian_55_20_atr5,2025-09-23T00:00:00+08:00,5001.094417165,0.0,0.0
v3_1d_donchian_55_20_atr5,2025-11-05T00:00:00+08:00,4999.772919915,1.321497249999993,0.026424161188884694
v3_1d_donchian_55_20_atr5,2025-12-11T00:00:00+08:00,4999.95873231,1.1356848549994538,0.022708726535965826
v3_1d_donchian_55_20_atr5,2026-02-06T00:00:00+08:00,4998.03409857,3.060318594999444,0.061192977770938885
v3_1d_donchian_55_20_atr5,2026-03-05T00:00:00+08:00,4997.71981391,3.3746032549997835,0.06747729543792066
v3_1d_donchian_55_20_atr5,2026-03-14T00:00:00+08:00,4997.78737964,3.3070375249999415,0.06612627655357528
v3_1d_donchian_55_20_atr5,2026-03-31T23:59:00+08:00,4998.80246689,2.29195027500009,0.04582897429677686
v3_1d_ema_50_200_atr5,2025-07-02T00:00:00+08:00,5000.0,0.0,0.0
v3_1d_ema_50_200_atr5,2025-07-10T00:00:00+08:00,4999.98816425,0.011835749999590917,0.0002367149999918183
v3_1d_ema_50_200_atr5,2025-07-11T00:00:00+08:00,4999.81044525,0.1895547499998429,0.003791094999996858
v3_1d_ema_50_200_atr5,2025-08-03T00:00:00+08:00,4999.53449485,0.46550515000035375,0.009310103000007074
v3_1d_ema_50_200_atr5,2025-08-04T00:00:00+08:00,4999.4069861,0.5930139000001873,0.011860278000003745
v3_1d_ema_50_200_atr5,2025-08-06T00:00:00+08:00,4999.97456559,0.025434410000343632,0.0005086882000068727
v3_1d_ema_50_200_atr5,2025-08-07T00:00:00+08:00,4999.87003434,0.12996566000038,0.0025993132000076006
v3_1d_ema_50_200_atr5,2025-08-20T00:00:00+08:00,4999.77498204,0.2250179599996045,0.00450035919999209
v3_1d_ema_50_200_atr5,2025-09-23T00:00:00+08:00,5001.065309185,0.0,0.0
v3_1d_ema_50_200_atr5,2025-09-23T00:00:00+08:00,5001.115001945,0.0,0.0
v3_1d_ema_50_200_atr5,2025-09-26T00:00:00+08:00,5001.368195795,0.0,0.0
v3_1d_ema_50_200_atr5,2025-09-26T00:00:00+08:00,5001.445248545,0.0,0.0
v3_1d_ema_50_200_atr5,2025-10-01T00:00:00+08:00,5001.361377605,0.08387094000045181,0.0016769340827004194
v3_1d_ema_50_200_atr5,2025-10-05T00:00:00+08:00,5001.355476255,0.08977228999992803,0.0017949269768782177
v3_1d_ema_50_200_atr5,2025-10-11T00:00:00+08:00,5001.328964255,0.11628429000029428,0.00232501375545645
v3_1d_ema_50_200_atr5,2025-10-11T00:00:00+08:00,5001.141027475,0.30422107000049436,0.0060826632079796755
