policy_name,date,trade_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,cumulative_net_pnl,equity
v3_1d_donchian_20_10_atr4,2025-08-02,1,0.0108,0.010599240000000001,0.0108,0.00016076000000000003,4e-05,0.010599240000000001,5000.01059924
v3_1d_donchian_20_10_atr4,2025-08-04,1,0.72483,0.721611645,0.72483,0.0031783550000000003,4e-05,0.732210885,5000.732210885
v3_1d_donchian_20_10_atr4,2025-08-21,1,-0.3334300000000003,-0.34491578500000025,-0.3334300000000003,0.011445785000000002,4e-05,0.3872950999999997,5000.3872951
v3_1d_donchian_20_10_atr4,2025-09-23,2,-0.11628999999999941,-0.12075011499999941,-0.11628999999999941,0.004380115,8e-05,0.26654498500000035,5000.266544985
v3_1d_donchian_20_10_atr4,2025-10-04,1,-0.43466999999999917,-0.43903710499999915,-0.43466999999999917,0.0043271049999999995,4e-05,-0.1724921199999988,4999.82750788
v3_1d_donchian_20_10_atr4,2025-10-12,2,-2.0408199999999996,-2.0569690899999995,-2.0408199999999996,0.014109090000000001,0.00204,-2.2294612099999984,4997.77053879
v3_1d_donchian_20_10_atr4,2025-12-04,1,0.06220999999999999,0.06198890499999999,0.06220999999999999,0.00018109500000000001,4e-05,-2.167472304999998,4997.832527695
v3_1d_donchian_20_10_atr4,2026-01-30,1,-0.45217999999999986,-0.45531687999999987,-0.45217999999999986,0.0030968799999999998,4e-05,-2.6227891849999985,4997.377210815
v3_1d_donchian_20_10_atr4,2026-03-05,2,2.111329999999999,2.101718174999999,2.111329999999999,0.009171825000000002,0.00044,-0.5210710099999996,4999.47892899
v3_1d_donchian_20_10_atr4,2026-03-23,1,-0.012579999999999992,-0.012714109999999992,-0.012579999999999992,9.411e-05,4e-05,-0.5337851199999996,4999.46621488
v3_1d_donchian_20_10_atr4,2026-03-28,1,-0.5934800000000003,-0.6004215200000004,-0.5934800000000003,0.006901520000000001,4e-05,-1.13420664,4998.86579336
v3_1d_donchian_20_10_atr4,2026-03-31,1,1.0185000000000002,1.01508725,1.0185000000000002,0.00141275,0.002,-0.11911938999999983,4999.88088061
v3_1d_donchian_55_20_atr5,2025-09-23,2,1.0982700000000007,1.0944171650000007,1.0982700000000007,0.0037728350000000004,8e-05,1.0944171650000007,5001.094417165
v3_1d_donchian_55_20_atr5,2025-11-05,1,-1.3105,-1.32149725,-1.3105,0.010957250000000002,4e-05,-0.2270800849999992,4999.772919915
v3_1d_donchian_55_20_atr5,2025-12-11,1,0.18927,0.185812395,0.18927,0.003417605,4e-05,-0.04126768999999922,4999.95873231
v3_1d_donchian_55_20_atr5,2026-02-06,1,-1.92164,-1.92463374,-1.92164,0.00295374,4e-05,-1.9659014299999993,4998.03409857
v3_1d_donchian_55_20_atr5,2026-03-05,1,-0.30720000000000003,-0.31428466,-0.30720000000000003,0.007044660000000001,4e-05,-2.280186089999999,4997.71981391
v3_1d_donchian_55_20_atr5,2026-03-14,1,0.06774000000000001,0.06756573,0.06774000000000001,0.00013427,4e-05,-2.2126203599999994,4997.78737964
v3_1d_donchian_55_20_atr5,2026-03-31,1,1.0185000000000002,1.01508725,1.0185000000000002,0.00141275,0.002,-1.197533109999999,4998.80246689
v3_1d_ema_50_200_atr5,2025-07-10,1,-0.011659999999999986,-0.011835749999999987,-0.011659999999999986,0.00013575000000000002,4e-05,-0.011835749999999987,4999.98816425
v3_1d_ema_50_200_atr5,2025-07-11,1,-0.174,-0.177719,-0.174,0.001719,0.002,-0.18955474999999997,4999.81044525
v3_1d_ema_50_200_atr5,2025-08-03,1,-0.2738,-0.2759504,-0.2738,0.0017504,0.0004,-0.4655051499999999,4999.53449485
v3_1d_ema_50_200_atr5,2025-08-04,1,-0.1235,-0.12750875,-0.1235,0.00200875,0.002,-0.5930139,4999.4069861
v3_1d_ema_50_200_atr5,2025-08-06,1,0.5785,0.56757949,0.5785,0.010880510000000001,4e-05,-0.02543441000000002,4999.97456559
v3_1d_ema_50_200_atr5,2025-08-07,1,-0.10050000000000003,-0.10453125000000003,-0.10050000000000003,0.00203125,0.002,-0.12996566000000004,4999.87003434
v3_1d_ema_50_200_atr5,2025-08-20,1,-0.08360000000000001,-0.0950523,-0.08360000000000001,0.0114123,4e-05,-0.22501796000000007,4999.77498204
v3_1d_ema_50_200_atr5,2025-09-23,2,1.3437500000000004,1.3400199050000003,1.3437500000000004,0.0036500950000000003,8e-05,1.1150019450000004,5001.115001945
v3_1d_ema_50_200_atr5,2025-09-26,2,0.33699999999999974,0.3302465999999997,0.33699999999999974,0.0043534,0.0024000000000000002,1.4452485449999999,5001.445248545
v3_1d_ema_50_200_atr5,2025-10-01,1,-0.07250000000000001,-0.08387094,-0.07250000000000001,0.01133094,4e-05,1.361377605,5001.361377605
v3_1d_ema_50_200_atr5,2025-10-05,1,-0.005640000000000001,-0.005901350000000001,-0.005640000000000001,0.00022135,4e-05,1.355476255,5001.355476255
v3_1d_ema_50_200_atr5,2025-10-11,2,-0.2076599999999999,-0.21444877999999992,-0.2076599999999999,0.00634878,0.00044,1.141027475,5001.141027475
v3_1d_ema_50_200_atr5,2025-10-12,1,-0.99085,-1.0025521050000001,-0.99085,0.011662105,4e-05,0.13847536999999988,5000.13847537
v3_1d_ema_50_200_atr5,2025-10-15,1,-0.2599600000000006,-0.2714528500000006,-0.2599600000000006,0.011452850000000002,4e-05,-0.1329774800000007,4999.86702252
v3_1d_ema_50_200_atr5,2025-10-29,2,-0.22820000000000057,-0.24381991000000058,-0.22820000000000057,0.01553991,8e-05,-0.3767973900000013,4999.62320261
v3_1d_ema_50_200_atr5,2026-01-05,1,0.26349999999999985,0.25982924999999985,0.26349999999999985,0.00167075,0.002,-0.11696814000000144,4999.88303186
v3_1d_ema_50_200_atr5,2026-01-06,2,0.043099999999999986,0.04110487999999999,0.043099999999999986,0.0015551200000000001,0.00044,-0.07586326000000146,4999.92413674
v3_1d_ema_50_200_atr5,2026-01-07,1,-0.06286000000000012,-0.06615512000000012,-0.06286000000000012,0.00325512,4e-05,-0.14201838000000158,4999.85798162
v3_1d_ema_50_200_atr5,2026-01-09,1,-0.001699999999999875,-0.0034764499999998754,-0.001699999999999875,0.0013764500000000002,0.0004,-0.14549483000000146,4999.85450517
v3_1d_ema_50_200_atr5,2026-01-10,1,-0.24861000000000058,-0.25774789500000056,-0.24861000000000058,0.009097895000000002,4e-05,-0.403242725000002,4999.596757275
v3_1d_ema_50_200_atr5,2026-01-14,1,-0.0023900000000000076,-0.002564925000000008,-0.0023900000000000076,0.00013492499999999999,4e-05,-0.405807650000002,4999.59419235
v3_1d_ema_50_200_atr5,2026-01-15,2,-0.3021,-0.30886765,-0.3021,0.00472765,0.00204,-0.714675300000002,4999.2853247
v3_1d_ema_50_200_atr5,2026-01-18,2,-0.11933000000000005,-0.12282113500000004,-0.11933000000000005,0.0034111350000000005,8e-05,-0.837496435000002,4999.162503565
v3_1d_ema_50_200_atr5,2026-03-14,1,0.027620000000000006,0.027465790000000007,0.027620000000000006,0.00011420999999999999,4e-05,-0.810030645000002,4999.189969355
v3_1d_ema_50_200_atr5,2026-03-17,1,1.794379999999999,1.786115199999999,1.794379999999999,0.0082248,4e-05,0.9760845549999969,5000.976084555
v3_1d_ema_50_200_atr5,2026-03-18,1,-0.059000000000000004,-0.061346500000000005,-0.059000000000000004,0.0023065,4e-05,0.9147380549999969,5000.914738055
v3_1d_ema_50_200_atr5,2026-03-31,3,0.6421899999999999,0.6376309949999999,0.6421899999999999,0.0021190049999999998,0.00244,1.5523690499999967,5001.55236905
v3_4h_donchian_100_30_atr5,2025-07-21,1,0.6222800000000003,0.6109755900000002,0.6222800000000003,0.01126441,4e-05,0.6109755900000002,5000.61097559
v3_4h_donchian_100_30_atr5,2025-07-29,1,-1.4435,-1.44812475,-1.4435,0.00262475,0.002,-0.8371491599999998,4999.16285084
