policy_name,symbol,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,4,3,1,1,-0.7091000000000015,-0.7470744700000015,0.03781447,0.00016,0.03797446999999998,0.25,0.6169557297440231,1.2032861749999988,-0.6501202150000002,-0.18676861750000037,-0.47266865250000034,1.3499391249997643,0.026998782499995287,-0.5534134511436817,-0.4466289204527278,37440.0,40320.0,-1.610664295622358,1.2032861749999988,-1.0050233399999997,1.0,75.62894,1
v3_1d_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,2,1,1,1,-0.028999999999999693,-0.03685849999999968,0.0038585000000000004,0.004,0.00785849999999999,0.5,0.9649615961659622,1.01508725,-1.0519457499999998,-0.01842924999999984,-0.01842924999999984,1.0519457500004137,0.021038915000008273,-0.035038403834023936,-0.02521768669814574,143279.5,143279.5,-27.540112864061445,1.01508725,-1.0519457499999998,1.0,7.7170000000000005,1
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,4,3,1,1,-0.2794499999999984,-0.29438082499999846,0.014770825,0.00016,0.014930825000000036,0.25,0.7102529460676033,0.721611645,-0.33866415666666616,-0.07359520624999961,-0.2803377949999993,1.0159924700001284,0.020316917215191972,-0.2897470539323596,-0.30793220794144643,46440.0,48960.0,-2.4512861698787742,0.721611645,-0.45531687999999987,1.0,29.541649999999997,1
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,4,3,1,1,0.06156999999999997,0.06076240499999997,0.000647595,0.00016,0.0008075950000000012,0.75,5.779131610470572,0.024492171666666656,-0.012714109999999992,0.015190601249999993,0.005743804999999986,0.012714110000160872,0.0002542784633041528,4.779131610410099,1.0750807462634133,52560.0,46800.0,1.020185178647883,0.06198890499999999,-0.012714109999999992,1.0,1.29519,1
v3_1d_donchian_20_10_atr4,SOLUSDT_SWAP_OKX.GLOBAL,1,0,1,1,0.9002,0.898432,0.001368,0.0004,0.0017679999999999918,1.0,,0.898432,,0.898432,0.898432,0.0,0.0,,,207360.0,207360.0,1.0,0.898432,0.898432,1.0,2.736,1
v3_1d_donchian_55_20_atr5,BTCUSDT_SWAP_OKX.GLOBAL,2,1,1,1,-1.6177000000000001,-1.63578191,0.018001910000000003,8e-05,0.018081909999999812,0.0,0.0,,-0.817890955,-0.817890955,-0.817890955,1.6357819100003326,0.03271563820000665,-0.9999999999997966,-2.2967792352621066,102960.0,102960.0,0.1921311502949681,-0.31428466,-1.32149725,1.0,36.003820000000005,1
v3_1d_donchian_55_20_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,1,0,1,1,1.0185000000000002,1.01508725,0.00141275,0.002,0.0034127500000000754,1.0,,1.01508725,,1.01508725,1.01508725,0.0,0.0,,,246239.0,246239.0,1.0,1.01508725,1.01508725,1.0,2.8255,1
v3_1d_donchian_55_20_atr5,ETHUSDT_SWAP_OKX.GLOBAL,3,2,1,1,-0.6665699999999992,-0.6766382149999994,0.009948215,0.00012000000000000002,0.010068215000000214,0.6666666666666666,0.6484327376490867,0.6239977625000003,-1.92463374,-0.2255460716666665,0.185812395,1.9246337399999902,0.03848306946030486,-0.35156726235091507,-0.3116341876950019,68640.0,51840.0,-1.5697947683903746,1.0621831300000006,-1.92463374,1.0,19.89643,1
v3_1d_donchian_55_20_atr5,LINKUSDT_SWAP_OKX.GLOBAL,2,1,1,1,0.10021000000000001,0.09979976500000001,0.000330235,8e-05,0.0004102349999999949,1.0,,0.049899882500000006,,0.049899882500000006,0.049899882500000006,0.0,0.0,,3.9946620501690546,157680.0,157680.0,0.6770129168139825,0.06756573,0.032234035,1.0,0.66047,1
v3_1d_ema_50_200_atr5,BTCUSDT_SWAP_OKX.GLOBAL,8,6,2,1,0.5660599999999977,0.48027424999999757,0.08546575000000001,0.00032,0.0857857500000001,0.25,1.256362234416529,1.1768473449999994,-0.31223674000000023,0.060034281249999696,-0.12889832500000004,1.8734204399997907,0.03746415602268209,0.256362234416558,0.22221331492915342,20880.0,6480.0,3.718948496614191,1.786115199999999,-1.0025521050000001,1.0,170.93150000000003,1
v3_1d_ema_50_200_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,7,1,6,1,0.41599999999999954,0.3894774999999995,0.012522499999999999,0.014,0.02652250000000006,0.42857142857142855,1.8101746760544177,0.2900700833333332,-0.12018318750000002,0.05563964285714278,-0.07097375000000006,0.4097590000001219,0.008195180000002437,0.9505038327404246,0.6157998495014674,33119.857142857145,8640.0,1.369342901708059,0.5333282499999998,-0.177719,1.0,25.045,1
v3_1d_ema_50_200_atr5,ETHUSDT_SWAP_OKX.GLOBAL,7,3,4,1,0.5615999999999998,0.5373948599999999,0.02392514,0.00028000000000000003,0.024205139999999847,0.14285714285714285,1.7137359769344989,1.2903271450000005,-0.12548871416666676,0.07677069428571427,-0.08107556000000055,0.7529322850004974,0.01505476058676063,0.7137359769340279,0.4068881946662884,19131.428571428572,2880.0,2.401078315114515,1.2903271450000005,-0.23789389999999994,1.0,47.85028,1
