policy_name,signal_count,long_count,short_count,median_future_return_60m,median_future_return_120m,median_future_return_240m,median_future_return_480m,positive_rate_120m,median_mfe_120m,median_mae_120m,best_expectancy_r,best_stop_atr,best_tp_atr,stop_first_rate,tp_first_rate,horizon_exit_rate,notes,policy_description,overlap_count,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,mean_future_return_120m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_ema_regime_only,2847,1024,1823,-0.0001890133367086766,-0.0003606733672817941,-0.0006479729119349131,-0.0008578339798885337,0.471890372452565,0.005203979911426071,0.005640955256118241,-0.0087375796481309,4.0,2.0,0.08186929023190442,0.2565003513703443,0.6616303583977512,no_positive_edge_flag,1h close/EMA50/EMA200 regime baseline.,35776,-0.0002925941240208216,0.47399859451862264,0.0030831695713104956,0.003466453743279807,-0.0003980071004893167,-0.0004865952265305561,0.46099789177793393,0.008324306879504473,0.009382548895145892,-0.0004950776981760275,0.471890372452565,0.012875858859903833,0.013264336064199411
htf_1h_ema_15m_ema_structure,1597,555,1042,-0.000611752895047557,-0.0007637939107488778,-0.0012950812699496494,-0.0019883000369850246,0.42857142857142855,0.005178102767677939,0.006573038936547648,-0.027283013010956148,4.0,5.0,0.09523809523809523,0.07518796992481203,0.8295739348370927,no_positive_edge_flag,1h regime plus 15m EMA21/EMA55 structure.,13896,-0.0006453922904412731,0.43295739348370926,0.002938624074965701,0.004087576180813346,-0.0006953025631951743,-0.0010539352530661355,0.42543859649122806,0.008591255432954692,0.010648360487287789,-0.000956847354132759,0.43546365914786966,0.013355492240953226,0.014202814070500336
htf_1h_ema_15m_vwap_structure,1691,564,1127,-0.0005289269784006234,-0.0006709578889396162,-0.0010565040651686064,-0.0019301639944672155,0.4414201183431953,0.0052312786975147185,0.006441670229827445,-0.02383629257820836,4.0,5.0,0.08994082840236686,0.0727810650887574,0.8372781065088757,no_positive_edge_flag,1h regime plus 15m VWAP and EMA structure.,16040,-0.00046443432481483546,0.44260355029585796,0.002977351294392916,0.003973039558313907,-0.0005816811397271057,-0.000729539526187951,0.43431952662721895,0.00891935505631658,0.010417403935069458,-0.0008078751780397226,0.4390532544378698,0.013704144208659175,0.014209121377386447
htf_1h_ema_15m_donchian_structure,1633,615,1018,-0.0006832450319539385,-0.0009046270025225289,-0.0012693927340357014,-0.0018283995993754187,0.42340686274509803,0.004508958982170186,0.006671307917807789,-0.05464352548965046,4.0,3.0,0.09375,0.12928921568627452,0.7769607843137255,no_positive_edge_flag,1h regime plus 15m Donchian mid/slope structure.,12737,-0.0012751015945305687,0.4227941176470588,0.0027204083354379627,0.004089057214280878,-0.0012768589695587535,-0.0015044353449912425,0.41544117647058826,0.007195070563173589,0.010790132259562824,-0.001430463084309307,0.43504901960784315,0.011674765696816913,0.014672460195819637
htf_1h_15m_structure_with_vol_cap,1049,393,656,-0.0003668567741059725,-0.0006041481945094906,-0.0009251694141393374,-0.0013949723862121122,0.44232602478551003,0.004207688942263976,0.005338576127641881,-0.017876409276254144,4.0,5.0,0.11058150619637751,0.09246901811248809,0.7969494756911344,no_positive_edge_flag,15m EMA structure with loose volatility cap.,6556,-0.00018095321586269558,0.44804575786463297,0.0025820855132598908,0.003190262763218432,-7.669957457446872e-05,-0.00045387738874228537,0.4356530028598665,0.007654373322029118,0.009207582645119783,0.00015686881928051244,0.45281220209723544,0.012626475143472593,0.01291603249921669
htf_1h_15m_structure_strict_vol_cap,683,259,424,-0.0003668567741059725,-0.0006041481945094906,-0.0006877828054299151,-0.0010461367426348733,0.4407027818448023,0.0035660718976586736,0.004742464084192322,-0.03339188215753965,4.0,5.0,0.1376281112737921,0.1054172767203514,0.7569546120058566,no_positive_edge_flag,15m EMA structure with strict volatility cap.,3146,-0.0004951717928286495,0.4363103953147877,0.0021812637744165198,0.0027107511256785344,-0.00046522326990018116,-0.0003853343362593312,0.45095168374816985,0.007311336682649827,0.00869846812345132,0.0007270643020550523,0.4699853587115666,0.012252835163803821,0.012413538236858979
htf_1h_15m_structure_no_overextension,999,355,644,-0.0002845768209968069,-0.0004915696513113632,-0.0007331163308993416,-0.0013705475051752902,0.45245245245245247,0.004961351045838613,0.0059932205849890785,-0.012607392516716718,4.0,5.0,0.09509509509509509,0.08208208208208208,0.8228228228228228,no_positive_edge_flag,15m EMA structure with overextension filters.,5568,-0.00010068281603408862,0.46146146146146144,0.002913798890376018,0.0034329180970491535,-0.00011365265190244101,-0.0002089973164329629,0.45145145145145144,0.008762462962562445,0.010065673691891597,0.00045800408993177874,0.45845845845845845,0.013781313434866771,0.013703928531138665
htf_1h_15m_structure_5m_pullback_reclaim,456,186,270,-0.00038904560755592676,-0.0006817016571809553,-0.0004450998753354751,-0.0006113185773314878,0.43859649122807015,0.00528904439216249,0.006791905419336164,-0.009616878341071394,3.0,3.0,0.1337719298245614,0.15350877192982457,0.7127192982456141,no_positive_edge_flag,1h/15m trend with 5m pullback then EMA21 reclaim.,1299,-0.0003687088886206123,0.45394736842105265,0.0032193025015203602,0.0039723367752895755,-0.00041320802267227826,-8.02986215717895e-05,0.47149122807017546,0.009417727864266867,0.010206288458841972,0.00012179644305919877,0.46271929824561403,0.014775375213782804,0.013767740926295846
htf_1h_15m_structure_5m_pullback_reclaim_vol_cap,304,128,176,-0.00041158346888059416,-0.00048119325027679016,-8.129806197948453e-05,-0.00022105933451560533,0.45723684210526316,0.004296179475169248,0.005235705236607657,-0.007898331564930831,3.0,3.0,0.16447368421052633,0.18421052631578946,0.6513157894736842,no_positive_edge_flag,5m pullback reclaim with loose volatility cap.,681,-0.00017533822088036227,0.4407894736842105,0.002701581014959542,0.0033803460981385314,1.2747694544643012e-05,0.00042082325469071185,0.4901315789473684,0.009133642749083126,0.009028319443676547,0.0016231406614000085,0.4901315789473684,0.014193551671206506,0.012733205898756095
htf_1h_15m_structure_5m_pullback_reclaim_strict,145,61,84,-0.00019556875584958444,-0.00022719688740269195,0.0003030624297895024,-0.00023215876187787643,0.4896551724137931,0.0034526291318812685,0.004200358728571829,-0.0013985025640767769,1.5,4.0,0.4206896551724138,0.1310344827586207,0.4482758620689655,no_positive_edge_flag,5m pullback reclaim with volatility and overextension filters.,181,-0.0005470658982516242,0.4482758620689655,0.0024936204069356815,0.002839677288019926,-2.8096741930561875e-05,0.0004241154848943967,0.5310344827586206,0.008995293143493122,0.007873238499685686,0.001275554158208797,0.47586206896551725,0.012519598116050412,0.011262426987659224
