policy_name,weekday,signal_count,long_count,short_count,overlap_count,median_future_return_60m,mean_future_return_60m,positive_rate_60m,median_mfe_60m,median_mae_60m,median_future_return_120m,mean_future_return_120m,positive_rate_120m,median_mfe_120m,median_mae_120m,median_future_return_240m,mean_future_return_240m,positive_rate_240m,median_mfe_240m,median_mae_240m,median_future_return_480m,mean_future_return_480m,positive_rate_480m,median_mfe_480m,median_mae_480m
htf_1h_15m_structure_5m_pullback_reclaim,0,83,43,40,255,-0.00041413925190314504,-0.0011962247009876762,0.46987951807228917,0.004468632707774756,0.004522381934709219,-0.0009036995806016579,-0.002625631520010697,0.3855421686746988,0.006757679180887433,0.007890129355402231,-0.0019622745646238338,-0.0025647487664725304,0.43373493975903615,0.010933753246628042,0.013582000739783773,-0.0024683372943052895,-0.004615360710519369,0.43373493975903615,0.013716410343079355,0.016180249486577036
htf_1h_15m_structure_5m_pullback_reclaim,1,79,22,57,252,1.870292124039885e-05,0.0003717247089913285,0.5063291139240507,0.004372980192406839,0.003022498938729412,-0.0003774433524202925,0.0005992517322078601,0.4936708860759494,0.006517451467955349,0.00425720330320134,0.000898930675003129,0.0004275114280516806,0.569620253164557,0.01248030804347211,0.008165394107121138,-0.0005875453960895172,-0.0006511743099701155,0.45569620253164556,0.01687312382215156,0.014017517889302722
htf_1h_15m_structure_5m_pullback_reclaim,2,60,23,37,168,-0.0012080982935837037,-0.00035524084122544596,0.3333333333333333,0.0031006103632621462,0.005141258917755798,-0.0015432730567491726,-0.00035974110946854394,0.38333333333333336,0.0051736765436559695,0.005826774848480598,-0.0007988427082613048,-0.00017155105645609106,0.43333333333333335,0.01008620094117152,0.010124774378873769,0.00032246966604015936,0.0024601475457918815,0.5,0.019037265847740126,0.012661797412245934
htf_1h_15m_structure_5m_pullback_reclaim,3,57,20,37,131,0.0,0.00030976875745189724,0.49122807017543857,0.0029106334841628723,0.0029113342171708245,-0.0008750649506488184,0.002395193897859512,0.45614035087719296,0.005078022630885082,0.00570374215998537,-0.0026703602213915545,0.0014313397205505435,0.3684210526315789,0.008879736624650914,0.009154355016538052,-0.0016050705587685732,0.006332625550590366,0.47368421052631576,0.015486719398259519,0.016709076620650132
htf_1h_15m_structure_5m_pullback_reclaim,4,67,29,38,209,-7.123724853252966e-05,0.0009552429123068574,0.4626865671641791,0.007161590524534578,0.0050627177700347525,-1.3079495987611267e-05,-0.0002728607346677147,0.4925373134328358,0.007791314916753889,0.008873452768002,-0.0008803995643340556,0.0007410572981789991,0.4626865671641791,0.012962990149302023,0.010794375301221959,-0.0035908547519426515,-0.00115361150939832,0.40298507462686567,0.02203052859355359,0.01548711842390127
htf_1h_15m_structure_5m_pullback_reclaim,5,35,16,19,55,-0.0012911020065132783,-0.0014263187365856967,0.37142857142857144,0.0015037258986154711,0.003762135922330101,-0.00210946480225338,-0.000644817866904265,0.34285714285714286,0.0027840534817000773,0.006629493287137356,-0.00040747080297487415,0.0005631844466449915,0.4857142857142857,0.005926585877108925,0.012407558103141425,-0.0018343450463211841,-0.0006310669694326508,0.42857142857142855,0.006160117397684628,0.01556856659142214
htf_1h_15m_structure_5m_pullback_reclaim,6,75,33,42,229,-6.309724808972739e-05,-0.001448444574461713,0.48,0.002646244763614636,0.0032592903045544075,-0.00022719688740269195,-0.0012257016009011384,0.4666666666666667,0.0034645056613369363,0.00781978889942192,0.0004209953766656227,2.4386374264241025e-05,0.52,0.004785714285714393,0.008966924398625342,0.0007731139311113466,0.0010782359123254375,0.5333333333333333,0.011314345094148859,0.009858522791339364
htf_1h_15m_structure_5m_pullback_reclaim_strict,0,26,13,13,38,-0.00018817577266400098,-0.0011108612580690675,0.4230769230769231,0.002133606058228099,0.003399697495366505,-0.0005804575086731378,-0.0015195868365079485,0.4230769230769231,0.0037291898261011536,0.004767789518759558,0.0001440935942442767,-0.00022966184853494382,0.5384615384615384,0.010198487628039876,0.007365549112895664,-0.002758956368770049,-0.002964458434429675,0.38461538461538464,0.013503346424698637,0.014604538645513865
htf_1h_15m_structure_5m_pullback_reclaim_strict,1,24,8,16,37,0.00010395941047269819,0.001740182519729271,0.5416666666666666,0.0028847128565863134,0.0023880254600339157,0.00042515013968402737,0.0030742450431153617,0.5833333333333334,0.004941927732690754,0.003115283061095875,0.0016858782916436832,0.0019212388211775344,0.6666666666666666,0.015488541087419483,0.00481916056830789,0.001525142096557186,0.00393013241411883,0.6666666666666666,0.017537131842528364,0.015241942875001635
htf_1h_15m_structure_5m_pullback_reclaim_strict,2,18,9,9,15,-0.0018332342294671844,-0.002229575295359412,0.2777777777777778,0.002851232375802093,0.003824707156420526,-0.00123118606830247,-0.00261514450660236,0.3888888888888889,0.00436323278249795,0.004030270281919768,-0.000855481109022449,-0.0032357062731314112,0.3888888888888889,0.009557424256576907,0.007710975853788604,-0.0029897108978484965,-0.0015477675403232699,0.3888888888888889,0.017355962607861986,0.01131731161064542
